./DatasetA/instance_K3_N15_M45_01.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,508,252,15,266,0,252,0.07188300299458206
1,x10,0,507,260,15,274,0,249,0.07786318499711342
2,x2,0,445,252,15,266,0,174,0.08221971199964173
3,x15,1,396,174,15,188,0,91,0.08589502499671653
4,x8,1,340,106,15,174,0,82,0.0889891030092258
5,x5,1,290,88,15,150,0,68,0.09197940598824061
6,x12,0,234,93,15,143,0,55,0.09475544199813157
7,x3,0,168,57,15,102,0,26,0.09749367600306869
8,x11,0,112,34,15,64,0,16,0.09988152698497288
9,x14,0,64,19,15,46,0,10,0.10214799200184643
10,x13,1,32,18,15,35,0,11,0.10429500098689459
11,x9,1,16,16,15,33,0,12,0.10637528798542917
12,x7,1,8,16,15,33,0,13,0.10842028900515288
13,x6,1,4,17,15,34,0,14,0.11037919000955299
14,x4,1,2,17,15,34,0,15,0.11239733698312193
15,x1,1,1,16,15,33,0,16,0.11409507200005464
./DatasetA/instance_K3_N15_M45_02.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,456,215,15,231,0,215,0.03157577899401076
1,x4,1,413,227,15,290,0,169,0.03639450800255872
2,x13,0,369,211,15,274,0,146,0.04017255501821637
3,x7,0,330,187,15,246,0,142,0.04380732501158491
4,x15,1,274,181,15,197,0,103,0.04720430099405348
5,x3,1,221,108,15,183,0,70,0.050300146016525105
6,x5,0,182,79,15,127,0,48,0.05298381199827418
7,x6,0,148,63,15,106,0,34,0.055467197991674766
8,x8,1,112,48,15,93,0,18,0.057798944995738566
9,x10,1,64,18,15,52,0,10,0.05995262900250964
10,x14,1,32,19,15,36,0,11,0.06196872901637107
11,x12,1,16,19,15,36,0,12,0.06393437599763274
12,x11,1,8,20,15,37,0,13,0.06585291100782342
13,x9,1,4,20,15,37,0,14,0.06769595399964601
14,x2,1,2,15,15,32,0,15,0.06947790499543771
15,x1,1,1,16,15,33,0,16,0.0711855890112929
./DatasetA/instance_K3_N15_M45_03.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,557,238,15,253,0,238,0.030385784019017592
1,x9,1,554,246,15,379,0,227,0.03513820099760778
2,x10,1,531,248,15,376,0,209,0.03903256999910809
3,x4,0,468,218,15,336,0,194,0.04271698900265619
4,x3,1,345,201,15,319,0,133,0.046097768004983664
5,x2,1,271,136,15,223,0,97,0.0490378639951814
6,x1,0,213,98,15,149,0,66,0.05171551101375371
7,x5,1,162,71,15,102,0,32,0.05419222702039406
8,x14,1,112,42,15,73,0,15,0.05646030799834989
9,x15,1,64,22,15,38,0,10,0.05859496700577438
10,x13,1,32,18,15,35,0,11,0.06060524101485498
11,x12,1,16,19,15,36,0,12,0.06258538601105101
12,x11,1,8,20,15,37,0,13,0.06447283399756998
13,x8,1,4,19,15,36,0,14,0.06630997601314448
14,x7,1,2,20,15,37,0,15,0.06807319400832057
15,x6,1,1,21,15,38,0,16,0.06979491299716756
./DatasetA/instance_K3_N15_M45_04.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,296,148,15,163,0,148,0.029669848998310044
1,x9,0,273,167,15,277,0,114,0.03366257101879455
2,x4,0,255,117,15,221,0,97,0.037002349010435864
3,x11,0,225,115,15,198,0,90,0.0400366960093379
4,x5,0,210,95,15,174,0,76,0.04294668399961665
5,x7,0,182,102,15,181,0,60,0.045710881997365505
6,x14,1,144,101,15,173,0,50,0.04834275200846605
7,x12,0,108,67,15,133,0,26,0.05084127502050251
8,x6,0,96,28,15,70,0,11,0.053103053011000156
9,x3,0,64,11,15,38,0,10,0.05515857401769608
10,x15,1,32,20,15,36,0,11,0.05715953800245188
11,x13,1,16,20,15,37,0,12,0.05909328901907429
12,x10,1,8,19,15,36,0,13,0.06098040100187063
13,x8,1,4,19,15,36,0,14,0.0627928210014943
14,x2,1,2,15,15,32,0,15,0.0645489180169534
15,x1,1,1,16,15,33,0,16,0.06623396201757714
./DatasetA/instance_K3_N15_M45_05.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,492,203,15,219,0,203,0.022588877007365227
1,x8,0,491,210,15,343,0,198,0.02701004600385204
2,x2,1,450,201,15,337,0,156,0.03063829700113274
3,x6,0,383,169,15,270,0,134,0.03397518099518493
4,x4,0,317,143,15,241,0,90,0.037117857980774716
5,x1,0,250,91,15,154,0,55,0.039940780989127234
6,x14,0,184,79,15,120,0,37,0.0424893029849045
7,x7,0,144,50,15,83,0,28,0.044942870998056605
8,x11,0,96,41,15,82,0,15,0.04724385900772177
9,x9,1,64,17,15,48,0,10,0.04937431798316538
10,x15,1,32,20,15,36,0,11,0.051374881993979216
11,x13,1,16,20,15,37,0,12,0.05334555299486965
12,x12,1,8,21,15,38,0,13,0.05524652299936861
13,x10,1,4,21,15,38,0,14,0.05708983799559064
14,x5,1,2,18,15,35,0,15,0.05885738099459559
15,x3,1,1,18,15,35,0,16,0.06055575798382051
./DatasetA/instance_K3_N15_M45_06.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,408,226,15,241,0,226,0.029749081993941218
1,x1,0,406,227,15,328,0,218,0.034499533008784056
2,x7,0,372,248,15,349,0,197,0.03839428999344818
3,x12,1,323,241,15,337,0,176,0.04218150200904347
4,x14,0,271,193,15,269,0,119,0.04574188400874846
5,x6,0,231,143,15,207,0,115,0.048837809008546174
6,x10,1,167,149,15,213,0,60,0.05176384901278652
7,x11,0,122,61,15,117,0,36,0.05440057400846854
8,x8,1,88,47,15,88,0,20,0.056691658013733104
9,x5,0,64,21,15,57,0,10,0.05884447801508941
10,x15,1,32,20,15,36,0,11,0.06085321700084023
11,x13,1,16,20,15,37,0,12,0.0628360389964655
12,x9,1,8,18,15,35,0,13,0.06475506399874575
13,x4,1,4,15,15,32,0,14,0.06659529299940914
14,x3,1,2,16,15,33,0,15,0.06837806600378826
15,x2,1,1,17,15,34,0,16,0.07008545700227842
./DatasetA/instance_K3_N15_M45_07.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,343,169,15,185,0,169,0.022435544000472873
1,x4,1,319,176,15,208,0,166,0.02659256401238963
