./DatasetA/instance_K3_N15_M45_01.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,508,252,15,266,0,252,0.06527775101130828
1,x15,1,442,252,15,266,0,124,0.07145932601997629
2,x2,0,396,125,15,193,0,91,0.07511151902144775
3,x3,0,232,93,15,161,0,40,0.07842810201691464
4,x12,0,196,56,15,94,0,32,0.08124972399673425
5,x5,1,168,36,15,69,0,26,0.08401103000505827
6,x11,0,112,34,15,64,0,16,0.08656930300639942
7,x10,0,112,16,15,43,0,16,0.0889439060119912
8,x8,1,112,16,15,43,0,16,0.09125347199733369
9,x14,0,64,19,15,46,0,10,0.09479879902210087
10,x13,1,32,18,15,35,0,11,0.09988982300274074
11,x9,1,16,16,15,33,0,12,0.1020589719992131
12,x7,1,8,16,15,33,0,13,0.10409513302147388
13,x6,1,4,17,15,34,0,14,0.10608607501490042
14,x4,1,2,17,15,34,0,15,0.10799049801426008
15,x1,1,1,16,15,33,0,16,0.10983291201409884
./DatasetA/instance_K3_N15_M45_02.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,456,215,15,231,0,215,0.034499887988204136
1,x4,1,413,227,15,290,0,169,0.04001160300686024
2,x3,1,292,175,15,238,0,109,0.0443423250108026
3,x15,1,256,132,15,148,0,85,0.047983199008740485
4,x13,0,253,100,15,153,0,79,0.051408402010565624
5,x5,0,210,88,15,136,0,63,0.054667082004016265
6,x8,1,156,88,15,131,0,35,0.05765957900439389
7,x7,0,140,47,15,84,0,26,0.06037470299634151
8,x6,0,112,36,15,68,0,18,0.0628570860135369
9,x10,1,64,18,15,52,0,10,0.06519149700761773
10,x14,1,32,19,15,36,0,11,0.06736279599135742
11,x12,1,16,19,15,36,0,12,0.06953652101219632
12,x11,1,8,20,15,37,0,13,0.07160015200497583
13,x9,1,4,20,15,37,0,14,0.07358446001308039
14,x2,1,2,15,15,32,0,15,0.07550052998703904
15,x1,1,1,16,15,33,0,16,0.07733509299578145
./DatasetA/instance_K3_N15_M45_03.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
