./DatasetA/instance_K3_N15_M45_01.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,508,133,15,150,45,131,0.20057372492738068
1,x15,1,442,171,15,188,45,88,0.25793194700963795
2,x2,0,396,87,15,132,46,60,0.26453933701850474
3,x8,1,340,56,15,92,47,41,0.2704082819400355
4,x12,0,276,42,15,74,48,25,0.2756516709923744
5,x10,0,276,23,15,58,49,23,0.28039723192341626
6,x5,1,234,32,15,67,50,21,0.2851260229945183
7,x3,0,168,26,15,57,51,16,0.2897007189458236
8,x11,0,112,25,15,50,52,12,0.2957898270105943
9,x14,0,64,13,15,31,53,10,0.30121865193359554
10,x13,1,32,11,15,28,54,11,0.3048923509195447
11,x9,1,16,12,15,29,55,12,0.30854422494303435
12,x7,1,8,13,15,30,56,13,0.3134541189065203
13,x6,1,4,14,15,31,57,14,0.31752889801282436
14,x4,1,2,15,15,32,58,15,0.32142899301834404
15,x1,1,1,16,15,33,59,16,0.32520164793822914
./DatasetA/instance_K3_N15_M45_02.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,456,170,15,185,45,167,0.2155162780545652
1,x7,0,401,195,15,214,45,118,0.2760007680626586
2,x3,1,281,147,15,166,46,70,0.28328441898338497
3,x4,1,257,59,15,77,47,42,0.2892178889596835
4,x5,0,212,56,15,76,48,32,0.29727183596696705
5,x15,1,182,31,15,48,49,21,0.3036668150452897
6,x8,1,140,20,15,47,50,14,0.308703655959107
7,x13,0,140,14,15,32,51,14,0.31310227897483855
8,x6,0,112,18,15,39,52,12,0.3173086839960888
9,x10,1,64,21,15,38,53,10,0.32116408506408334
10,x14,1,32,11,15,28,54,11,0.32477598602417856
11,x12,1,16,12,15,29,55,12,0.32825124205555767
12,x11,1,8,13,15,30,56,13,0.33167851401958615
13,x9,1,4,14,15,31,57,14,0.33502331003546715
14,x2,1,2,15,15,32,58,15,0.3383086280664429
15,x1,1,1,16,15,33,59,16,0.34149021899793297
./DatasetA/instance_K3_N15_M45_03.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,557,109,15,124,45,106,0.1890152411069721
1,x10,1,534,127,15,177,45,90,0.2502411560853943
2,x6,1,377,91,15,140,46,57,0.25711975304875523
3,x4,0,340,58,15,102,47,46,0.26283041608985513
4,x9,1,340,43,15,94,48,43,0.2683768010465428
5,x1,0,213,65,15,116,49,29,0.2740622580749914
6,x12,1,152,36,15,75,50,20,0.27923772507347167
7,x7,1,120,25,15,56,51,16,0.2837686230195686
8,x14,0,96,21,15,50,52,14,0.2879770630970597
9,x5,1,64,19,15,45,53,10,0.2919893820071593
10,x15,1,32,11,15,28,54,11,0.29545059509109706
11,x13,1,16,12,15,29,55,12,0.29883849702309817
12,x11,1,8,13,15,30,56,13,0.30222849210258573
13,x8,1,4,14,15,31,57,14,0.3055003540357575
14,x3,1,2,15,15,32,58,15,0.30872929200995713
15,x2,1,1,16,15,33,59,16,0.31189672311302274
./DatasetA/instance_K3_N15_M45_04.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,296,91,15,105,45,88,0.1882225190056488
1,x9,0,273,111,15,188,45,72,0.24951526999939233
2,x5,0,228,72,15,139,46,50,0.25754739600233734
3,x4,0,210,45,15,96,47,34,0.2646104509476572
4,x11,0,210,30,15,74,48,30,0.2706230189651251
5,x6,0,124,38,15,82,49,17,0.27557222091127187
6,x7,0,112,27,15,44,50,14,0.28011879592668265
7,x12,0,112,12,15,30,51,12,0.2842187909409404
8,x14,1,96,21,15,39,52,11,0.28829624492209405
9,x3,0,64,11,15,29,53,10,0.2922095339745283
10,x15,1,32,11,15,28,54,11,0.2958152269711718
11,x13,1,16,12,15,29,55,12,0.2993504459736869
12,x10,1,8,13,15,30,56,13,0.3028547459980473
13,x8,1,4,14,15,31,57,14,0.3062939050141722
14,x2,1,2,15,15,32,58,15,0.30965357297100127
15,x1,1,1,16,15,33,59,16,0.3129308429779485
./DatasetA/instance_K3_N15_M45_05.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,492,108,15,124,45,105,0.196972987963818
1,x2,1,450,138,15,186,45,81,0.26204835902899504
2,x4,0,380,97,15,134,46,61,0.26898978801909834
3,x5,0,262,66,15,89,47,31,0.27547522401437163
4,x6,0,216,29,15,48,48,17,0.28098629298619926
5,x8,0,216,17,15,37,49,17,0.2857299790484831
6,x12,0,180,20,15,38,50,15,0.2905329699860886
7,x11,0,120,28,15,48,51,14,0.29520180204417557
8,x9,1,80,26,15,44,52,13,0.2995308539830148
9,x14,0,48,14,15,33,53,12,0.30363341502379626
10,x15,1,32,22,15,38,54,11,0.3076686010463163
11,x13,1,16,12,15,29,55,12,0.311379799968563
12,x10,1,8,13,15,30,56,13,0.3169965409906581
13,x7,1,4,14,15,31,57,14,0.32204024703241885
14,x3,1,2,15,15,32,58,15,0.32557687594089657
15,x1,1,1,16,15,33,59,16,0.32900740299373865
./DatasetA/instance_K3_N15_M45_06.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,408,102,15,118,45,100,0.1969423310365528
1,x14,0,319,101,15,135,45,66,0.260565806995146
2,x10,1,253,72,15,113,46,45,0.26721980900038034
3,x7,0,235,51,15,87,47,35,0.273303673020564
4,x1,0,235,31,15,60,48,31,0.27881881105713546
5,x12,1,207,34,15,63,49,27,0.2844563040416688
6,x6,0,167,32,15,60,50,21,0.2895711800083518
7,x11,0,122,31,15,58,51,17,0.2945731880608946
8,x8,1,88,24,15,51,52,13,0.2990410290658474
9,x5,0,64,17,15,35,53,10,0.3032329099951312
10,x15,1,32,11,15,28,54,11,0.3068954449845478
11,x13,1,16,12,15,29,55,12,0.31046469300054014
12,x9,1,8,13,15,30,56,13,0.3172924000537023
13,x4,1,4,14,15,31,57,14,0.32090487505774945
14,x3,1,2,15,15,32,58,15,0.32429698295891285
15,x2,1,1,16,15,33,59,16,0.32760610699187964
./DatasetA/instance_K3_N15_M45_07.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,343,90,15,107,45,89,0.19764278293587267
1,x10,0,274,118,15,140,45,57,0.2584796859882772
2,x9,1,96,56,15,75,46,15,0.26485282997600734
3,x15,0,96,14,15,31,47,14,0.26948069396894425
4,x14,0,96,14,15,31,48,14,0.2739629129646346
5,x13,1,96,14,15,31,49,14,0.2785135339945555
6,x12,1,96,14,15,31,50,14,0.2831644390244037
7,x3,1,96,14,15,43,51,14,0.2877281599212438
8,x4,1,72,24,15,53,52,13,0.2921546319266781
9,x6,1,48,13,15,31,53,12,0.2963034859858453
10,x5,1,32,22,15,39,54,11,0.3002031670184806
11,x11,1,16,12,15,29,55,12,0.30379481601994485
12,x8,1,8,13,15,30,56,13,0.3072930199559778
13,x7,1,4,14,15,31,57,14,0.31077749794349074
14,x2,1,2,15,15,32,58,15,0.3141525340033695
15,x1,1,1,16,15,33,59,16,0.3174969289684668
./DatasetA/instance_K3_N15_M45_08.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,280,131,15,146,45,128,0.2022356460802257
1,x7,1,209,164,15,181,45,85,0.26960124203469604
2,x15,0,208,75,15,106,46,62,0.27615698508452624
3,x14,0,180,64,15,83,47,47,0.28234464407432824
4,x5,0,116,45,15,88,48,25,0.28801110899075866
5,x12,1,108,25,15,53,49,19,0.29315454699099064
6,x9,0,108,19,15,47,50,19,0.29800349206198007
7,x8,0,72,26,15,53,51,15,0.30266897298861295
8,x4,1,72,15,15,33,52,15,0.3071775180287659
9,x2,1,48,18,15,36,53,12,0.3147194990888238
10,x11,1,32,21,15,39,54,11,0.31873905507382005
11,x13,1,16,12,15,29,55,12,0.3223415920510888
12,x10,1,8,13,15,30,56,13,0.3258573500206694
13,x6,1,4,14,15,31,57,14,0.3293150890385732
14,x3,1,2,15,15,32,58,15,0.3327029320644215
15,x1,1,1,16,15,33,59,16,0.3360701029887423
./DatasetA/instance_K3_N15_M45_09.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,228,114,15,129,45,111,0.20996004808694124
1,x11,1,218,124,15,185,45,88,0.2691055980976671
