./DatasetA/instance_K3_N15_M45_01.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,508,133,15,150,45,131,0.19954300508834422
1,x10,0,507,132,15,189,45,119,0.2510798940202221
2,x2,0,445,121,15,177,46,82,0.2583076620940119
3,x15,1,396,92,15,109,47,57,0.26450383209157735
4,x8,1,340,55,15,97,48,40,0.2698487570742145
5,x5,1,290,47,15,79,49,29,0.2751682020025328
6,x12,0,234,34,15,64,50,20,0.27987775206565857
7,x3,0,168,26,15,57,51,16,0.2842115700477734
8,x11,0,112,25,15,52,52,13,0.28815726307220757
9,x14,0,64,13,15,33,53,10,0.2919624090427533
10,x13,1,32,11,15,28,54,11,0.2955119690159336
11,x9,1,16,12,15,29,55,12,0.2990153970895335
12,x7,1,8,13,15,30,56,13,0.3023668590467423
13,x6,1,4,14,15,31,57,14,0.30563812609761953
14,x4,1,2,15,15,32,58,15,0.3089044390944764
15,x1,1,1,16,15,33,59,16,0.3152234520530328
./DatasetA/instance_K3_N15_M45_02.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,456,170,15,185,45,167,0.24999870499596
1,x4,1,413,168,15,187,45,132,0.30312407889869064
2,x13,0,369,179,15,197,46,113,0.31143896898720413
3,x7,0,330,127,15,146,47,76,0.31909954699222
4,x15,1,274,77,15,94,48,60,0.32604302396066487
5,x3,1,221,57,15,106,49,35,0.33257261698599905
6,x5,0,182,35,15,66,50,22,0.33847539289854467
7,x6,0,148,28,15,57,51,17,0.34418536094017327
8,x8,1,112,19,15,46,52,12,0.3493503578938544
9,x10,1,64,12,15,30,53,10,0.3541072589578107
10,x14,1,32,11,15,28,54,11,0.35865493898745626
11,x12,1,16,12,15,29,55,12,0.3630166288930923
12,x11,1,8,13,15,30,56,13,0.36721038492396474
13,x9,1,4,14,15,31,57,14,0.37134814995806664
14,x2,1,2,15,15,32,58,15,0.37553651991765946
15,x1,1,1,16,15,33,59,16,0.3796259599039331
./DatasetA/instance_K3_N15_M45_03.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,557,109,15,124,45,106,0.19442933506798
1,x9,1,554,114,15,164,45,97,0.2513818390434608
2,x10,1,531,120,15,171,46,82,0.2584439810598269
3,x4,0,468,81,15,125,47,70,0.26491483207792044
4,x3,1,345,76,15,130,48,56,0.27096681599505246
5,x2,1,271,54,15,97,49,40,0.2765209909994155
6,x1,0,213,48,15,83,50,26,0.28192744799889624
7,x5,1,162,34,15,66,51,20,0.28682561800815165
8,x14,1,112,24,15,54,52,12,0.29113427398260683
9,x15,1,64,13,15,30,53,10,0.29499915707856417
10,x13,1,32,11,15,28,54,11,0.29852905706502497
11,x12,1,16,12,15,29,55,12,0.301999056013301
12,x11,1,8,13,15,30,56,13,0.3053412219742313
13,x8,1,4,14,15,31,57,14,0.31191192707046866
14,x7,1,2,15,15,32,58,15,0.3154848429840058
15,x6,1,1,16,15,33,59,16,0.3188390820287168
./DatasetA/instance_K3_N15_M45_04.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,296,91,15,105,45,88,0.1893523409962654
1,x9,0,273,111,15,188,45,72,0.25534201494883746
2,x4,0,255,70,15,137,46,58,0.26170469098724425
3,x11,0,225,55,15,110,47,51,0.2679017720511183
4,x5,0,210,50,15,98,48,35,0.2736392120132223
5,x7,0,182,44,15,87,49,26,0.2790235229767859
6,x14,1,144,39,15,76,50,19,0.2843828370096162
7,x12,0,108,27,15,45,51,17,0.28917377605102956
8,x6,0,96,23,15,41,52,11,0.29355775797739625
9,x3,0,64,12,15,30,53,10,0.29746662895195186
10,x15,1,32,11,15,28,54,11,0.3010506300488487
11,x13,1,16,12,15,29,55,12,0.30457667994778603
12,x10,1,8,13,15,30,56,13,0.3080697190016508
13,x8,1,4,14,15,31,57,14,0.3114887239644304
14,x2,1,2,15,15,32,58,15,0.31481492100283504
15,x1,1,1,16,15,33,59,16,0.31809029495343566
./DatasetA/instance_K3_N15_M45_05.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,492,108,15,124,45,105,0.1865161790046841
1,x8,0,491,112,15,160,45,98,0.2567616830347106
2,x2,1,450,128,15,176,46,82,0.26372930500656366
3,x6,0,383,108,15,145,47,72,0.270239218021743
4,x4,0,317,92,15,126,48,47,0.2790707469685003
5,x1,0,250,50,15,91,49,33,0.28482529800385237
6,x14,0,184,42,15,64,50,23,0.2898127839434892
7,x7,0,144,30,15,63,51,15,0.29428759799338877
8,x11,0,96,24,15,51,52,11,0.29852440604008734
9,x9,1,64,20,15,37,53,10,0.3023735049646348
10,x15,1,32,11,15,28,54,11,0.3059690169757232
11,x13,1,16,12,15,29,55,12,0.30950957897584885
12,x12,1,8,13,15,30,56,13,0.31306732003577054
13,x10,1,4,14,15,31,57,14,0.3164848879678175
14,x5,1,2,15,15,32,58,15,0.31983310799114406
15,x3,1,1,16,15,33,59,16,0.3231418819632381
./DatasetA/instance_K3_N15_M45_06.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,408,102,15,118,45,100,0.1952030089451
1,x1,0,406,109,15,143,45,97,0.2625069699715823
2,x7,0,372,120,15,155,46,82,0.26941989397164434
3,x12,1,323,87,15,122,47,63,0.27586668194271624
4,x14,0,271,63,15,92,48,46,0.2819450619863346
5,x6,0,231,43,15,81,49,33,0.2875234769890085
6,x10,1,167,38,15,75,50,22,0.292598970932886
7,x11,0,122,29,15,59,51,17,0.2973725988995284
8,x8,1,88,25,15,53,52,13,0.30171588994562626
9,x5,0,64,18,15,36,53,10,0.30574878491461277
10,x15,1,32,11,15,28,54,11,0.30926559295039624
11,x13,1,16,12,15,29,55,12,0.31271435192320496
12,x9,1,8,13,15,30,56,13,0.3161244649672881
13,x4,1,4,14,15,31,57,14,0.31955132994335145
14,x3,1,2,15,15,32,58,15,0.3229279649676755
15,x2,1,1,16,15,33,59,16,0.3262070259079337
./DatasetA/instance_K3_N15_M45_07.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,343,90,15,107,45,89,0.2017162039410323
1,x4,1,319,100,15,122,45,84,0.262800551019609
2,x12,1,291,86,15,117,46,74,0.26959764398634434
3,x14,0,238,82,15,111,47,62,0.2762298040324822
4,x3,1,188,60,15,90,48,48,0.2821616679430008
5,x15,0,150,53,15,76,49,32,0.287814165931195
6,x10,0,116,44,15,79,50,21,0.29287369502708316
7,x13,1,94,32,15,49,51,17,0.2975615910254419
8,x9,1,72,27,15,59,52,13,0.30205750395543873
9,x6,1,48,14,15,32,53,12,0.3061114320298657
10,x5,1,32,21,15,39,54,11,0.3099718749290332
11,x11,1,16,12,15,29,55,12,0.3135354199912399
12,x8,1,8,13,15,30,56,13,0.31700187898240983
13,x7,1,4,14,15,31,57,14,0.32040480396244675
14,x2,1,2,15,15,32,58,15,0.32711471791844815
15,x1,1,1,16,15,33,59,16,0.3305649369722232
./DatasetA/instance_K3_N15_M45_08.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,280,131,15,146,45,128,0.20474737603217363
1,x15,0,279,129,15,146,45,117,0.26999091799370944
2,x9,0,253,119,15,138,46,98,0.27778292109724134
3,x14,0,225,121,15,165,47,92,0.28486877703107893
4,x12,1,202,84,15,134,48,60,0.2914656160864979
5,x7,1,156,86,15,129,49,45,0.29736959806177765
6,x11,1,112,38,15,76,50,28,0.3026614640839398
7,x2,1,88,34,15,68,51,23,0.31115554401185364
8,x6,0,60,28,15,57,52,21,0.31603886699303985
9,x3,0,42,33,15,59,53,17,0.320561770000495
10,x5,1,28,29,15,58,54,15,0.3247381020337343
11,x13,1,16,14,15,31,55,12,0.32872929400764406
12,x10,1,8,13,15,30,56,13,0.3324465280165896
13,x8,1,4,14,15,31,57,14,0.33605802000965923
14,x4,1,2,15,15,32,58,15,0.3395623260876164
15,x1,1,1,16,15,33,59,16,0.34295758802909404
./DatasetA/instance_K3_N15_M45_09.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,228,114,15,129,45,111,0.2088936329819262
1,x11,1,218,124,15,185,45,88,0.27135762001853436
2,x1,1,195,89,15,145,46,75,0.2782573710428551
3,x12,0,164,87,15,137,47,50,0.28439397597685456
4,x14,0,141,52,15,97,48,39,0.29012409201823175
5,x8,0,120,50,15,83,49,30,0.29531452304217964
6,x3,0,92,31,15,62,50,28,0.30032020702492446
7,x15,1,68,36,15,53,51,23,0.3049477549502626
8,x13,1,56,24,15,41,52,18,0.3092934499727562
9,x5,0,36,20,15,42,53,16,0.31680737796705216
10,x7,0,28,16,15,35,54,14,0.32112136599607766
11,x9,1,16,24,15,42,55,12,0.3252012679586187
12,x10,1,8,13,15,30,56,13,0.3288475889712572
13,x6,1,4,14,15,31,57,14,0.3324580539483577
14,x4,1,2,15,15,32,58,15,0.3359839669428766
15,x2,1,1,16,15,33,59,16,0.3394377549411729
./DatasetA/instance_K3_N15_M45_10.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,302,155,15,171,45,153,0.20506541396025568
1,x1,0,284,190,15,263,45,137,0.26202097500208765
2,x13,0,256,136,15,211,46,116,0.2695060899714008
3,x11,0,222,114,15,177,47,83,0.2763390858890489
4,x4,0,181,119,15,170,48,72,0.28228804597165436
5,x5,0,151,66,15,115,49,55,0.2879954259842634
6,x9,1,111,63,15,109,50,52,0.29344681499060243
7,x8,0,81,55,15,96,51,32,0.2985161159886047
8,x6,1,55,50,15,81,52,24,0.30687267892062664
9,x2,1,39,32,15,64,53,16,0.3115809279261157
10,x15,1,26,16,15,33,54,15,0.3158038828987628
11,x14,1,16,26,15,42,55,12,0.31980525190010667
12,x12,1,8,13,15,30,56,13,0.323512916918844
13,x10,1,4,14,15,31,57,14,0.3271938459947705
14,x7,1,2,15,15,32,58,15,0.33061383897438645
15,x3,1,1,16,15,33,59,16,0.33394985494669527
