./DatasetA/instance_K3_N15_M45_01.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,508,252,15,266,0,252,0.07403767600771971
./DatasetA/instance_K3_N15_M45_01.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,508,252,15,266,0,252,0.06631286401534453
1,x10,0,507,252,15,274,0,249,0.120208435022505
2,x2,0,446,252,15,269,0,177,0.12033814101596363
3,x15,1,442,252,15,266,0,124,0.12045453800237738
4,x8,1,429,252,15,321,0,221,0.12056990002747625
5,x12,0,422,252,15,342,0,212,0.12068488899967633
6,x5,1,388,252,15,278,0,144,0.12081318200216629
7,x4,1,365,252,15,281,0,212,0.12093406802159734
8,x6,0,361,252,15,294,0,200,0.1210491830133833
9,x13,1,339,252,15,330,0,200,0.12116501302807592
10,x11,0,335,252,15,344,0,166,0.12129393700161017
11,x3,0,291,252,15,273,0,142,0.12141110000084154
12,x1,1,287,252,15,267,0,200,0.12152547802543268
13,x9,0,282,252,15,314,0,218,0.12164000200573355
14,x7,1,261,252,15,335,0,191,0.12175379201653413
15,x14,0,256,252,15,318,0,152,0.12186962302075699
16,x14,1,252,252,15,365,0,117,0.12198457901831716
17,x7,0,247,252,15,330,0,165,0.1220994460163638
18,x9,1,226,252,15,312,0,156,0.12221381400013342
19,x1,0,221,252,15,267,0,125,0.12232787100947462
20,x3,1,217,252,15,273,0,159,0.12244193101651035
21,x11,1,173,252,15,387,0,172,0.1225567770015914
22,x13,0,169,252,15,352,0,95,0.12267092301044613
23,x6,1,147,252,15,287,0,88,0.12278606300242245
24,x4,0,143,252,15,278,0,92,0.12290104900603183
25,x5,0,120,252,15,287,0,170,0.12301562400534749
26,x12,1,86,252,15,331,0,73,0.12312968401238322
27,x8,0,79,252,15,322,0,115,0.12324376500328071
28,x15,0,66,252,15,313,0,86,0.12335826799971983
29,x2,1,62,252,15,269,0,94,0.12347257402143441
30,x10,1,1,252,15,276,0,16,0.12358629301888868
./DatasetA/instance_K3_N15_M45_02.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,456,215,15,231,0,215,0.03409269801340997
1,x4,1,413,215,15,243,0,169,0.0861997049942147
2,x13,0,404,215,15,285,0,184,0.08632854098686948
3,x7,0,401,215,15,283,0,208,0.08644819399341941
4,x15,1,391,215,15,278,0,178,0.08656595999491401
5,x6,0,378,215,15,258,0,183,0.08668375099659897
6,x5,0,324,215,15,247,0,161,0.08680106399697252
7,x9,1,322,215,15,332,0,205,0.08691776799969375
8,x3,1,319,215,15,237,0,133,0.0870346229930874
9,x8,1,314,215,15,303,0,144,0.08715197799028829
10,x10,1,313,215,15,282,0,174,0.08726854200358503
11,x12,1,306,215,15,290,0,165,0.08738558398908935
12,x1,0,295,215,15,232,0,167,0.0875020989915356
13,x14,1,293,215,15,311,0,172,0.0876187180110719
14,x2,0,291,215,15,234,0,149,0.08773563700378872
15,x11,1,285,215,15,325,0,184,0.0878535230003763
16,x11,0,171,215,15,340,0,148,0.0879702589882072
17,x2,1,165,215,15,234,0,113,0.0880881559860427
18,x14,0,163,215,15,301,0,96,0.08820567501243204
19,x1,1,161,215,15,232,0,88,0.08832274400629103
20,x12,0,150,215,15,325,0,122,0.08844046900048852
21,x10,0,143,215,15,294,0,104,0.08855675198719837
22,x8,0,142,215,15,285,0,141,0.08867433501291089
23,x3,0,137,215,15,237,0,116,0.08879139900091104
24,x9,0,134,215,15,318,0,125,0.08890762800001539
25,x5,1,132,215,15,247,0,113,0.0890245379996486
26,x6,1,78,215,15,258,0,84,0.08915091800736263
27,x15,0,65,215,15,283,0,63,0.08927346399286762
28,x7,1,55,215,15,272,0,75,0.08939061299315654
29,x13,1,52,215,15,308,0,83,0.08950667298631743
30,x4,0,43,215,15,243,0,70,0.08962442900519818
./DatasetA/instance_K3_N15_M45_03.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,557,238,15,253,0,238,0.033272052998654544
1,x9,1,554,238,15,261,0,227,0.08721178499399684
2,x10,1,534,238,15,274,0,220,0.08734592099790461
3,x4,0,483,238,15,262,0,209,0.08748598900274374
4,x2,1,431,238,15,256,0,192,0.08761257800506428
5,x1,0,401,238,15,254,0,166,0.08773335101432167
6,x13,0,401,238,15,331,0,166,0.08785284400801174
7,x7,1,401,238,15,290,0,176,0.08797247099573724
8,x5,1,400,238,15,280,0,152,0.08811198599869385
9,x3,1,394,238,15,260,0,170,0.0882368799939286
10,x12,1,386,238,15,367,0,179,0.08835748501587659
11,x6,1,386,238,15,277,0,175,0.08847803101525642
12,x8,1,360,238,15,294,0,196,0.08859845000552014
13,x15,0,347,238,15,333,0,180,0.08871812099823728
14,x14,0,329,238,15,290,0,152,0.08883850401616655
15,x11,0,282,238,15,369,0,185,0.08895818699966185
16,x11,1,275,238,15,413,0,197,0.08907752699451521
17,x14,1,228,238,15,293,0,66,0.08919778201379813
18,x15,1,210,238,15,371,0,122,0.08931754299555905
19,x8,0,197,238,15,312,0,139,0.08943728599115275
20,x12,0,171,238,15,371,0,142,0.08955691699520685
21,x6,0,171,238,15,276,0,116,0.08967715801554732
22,x3,0,163,238,15,260,0,125,0.08979727400583215
23,x5,0,157,238,15,275,0,125,0.08991763199446723
24,x1,1,156,238,15,254,0,104,0.0900378410005942
25,x13,1,156,238,15,360,0,118,0.0901594489987474
26,x7,0,156,238,15,293,0,106,0.09027924700058065
27,x2,0,126,238,15,256,0,75,0.09039883498917334
28,x4,1,74,238,15,262,0,47,0.09051780300796963
29,x10,0,23,238,15,289,0,55,0.09063637600047514
30,x9,0,3,238,15,266,0,25,0.09075550999841653
./DatasetA/instance_K3_N15_M45_04.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,296,148,15,163,0,148,0.03253198499442078
1,x9,0,273,148,15,182,0,114,0.08357012798660435
2,x4,0,270,148,15,170,0,127,0.08368367998627946
3,x11,0,262,148,15,189,0,140,0.08378806198015809
4,x7,0,255,148,15,210,0,124,0.0838916729844641
