./DatasetA/instance_K3_N15_M45_01.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,508,133,15,150,45,131,0.2066222010180354
1,x10,0,507,131,15,149,45,119,0.3158134190598503
2,x2,0,446,131,15,151,45,96,0.3161246720701456
3,x15,1,442,131,15,188,45,88,0.3162143680965528
4,x8,1,429,131,15,172,45,121,0.31630084209609777
5,x12,0,422,131,15,155,45,107,0.3163766050711274
6,x5,1,388,131,15,190,45,97,0.3164508870104328
7,x4,1,365,131,15,174,45,98,0.31651951209641993
8,x6,0,361,131,15,185,45,103,0.31658724101725966
9,x13,1,339,131,15,150,45,118,0.3166593140922487
10,x11,0,335,131,15,159,45,96,0.31673029507510364
11,x3,0,291,131,15,165,45,84,0.3168012750102207
12,x1,1,287,131,15,259,45,132,0.31686860602349043
13,x9,0,282,131,15,230,45,93,0.31693921599071473
14,x7,1,261,131,15,207,45,109,0.3170074240770191
15,x14,0,256,131,15,179,45,90,0.3170820550294593
16,x14,1,252,131,15,183,45,90,0.3171504019992426
17,x7,0,247,131,15,199,45,106,0.3172223659930751
18,x9,1,226,131,15,189,45,81,0.3172902580117807
19,x1,0,221,131,15,235,45,89,0.3173575800610706
20,x3,1,217,131,15,168,45,88,0.31743030005600303
21,x11,1,173,131,15,159,45,76,0.31750169105362147
22,x13,0,169,131,15,150,45,55,0.31757231208030134
23,x6,1,147,131,15,183,45,57,0.31764025404118
24,x4,0,143,131,15,170,45,85,0.31771542702335864
25,x5,0,120,131,15,199,45,62,0.31778465304523706
26,x12,1,86,131,15,155,45,51,0.31785766303073615
27,x8,0,79,131,15,173,45,73,0.3179258609889075
28,x15,0,66,131,15,202,45,74,0.3179964229930192
29,x2,1,62,131,15,151,45,48,0.31807294907048345
30,x10,1,1,131,15,149,45,16,0.3181432170094922
./DatasetA/instance_K3_N15_M45_02.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,456,170,15,185,45,167,0.21331993700005114
1,x4,1,413,167,15,184,45,132,0.33211237005889416
2,x13,0,404,167,15,242,45,145,0.3322996940696612
3,x7,0,401,167,15,211,45,118,0.3323804510291666
4,x15,1,391,167,15,186,45,149,0.3324557830346748
5,x6,0,378,167,15,235,45,131,0.33253728901036084
6,x5,0,324,167,15,251,45,139,0.3326144850580022
7,x9,1,322,167,15,228,45,155,0.3326913909986615
8,x3,1,319,167,15,213,45,111,0.3327680340735242
9,x8,1,314,167,15,197,45,124,0.33284682501107454
10,x10,1,313,167,15,193,45,135,0.3329231620300561
11,x12,1,306,167,15,301,45,139,0.33299981500022113
12,x1,0,295,167,15,218,45,148,0.33307329600211233
13,x14,1,293,167,15,185,45,133,0.3331489310367033
14,x2,0,291,167,15,223,45,137,0.3332229310180992
15,x11,1,285,167,15,257,45,162,0.33330879802815616
16,x11,0,171,167,15,242,45,97,0.3333833860233426
17,x2,1,165,167,15,250,45,98,0.3334724180167541
18,x14,0,163,167,15,185,45,57,0.33354644500650465
19,x1,1,161,167,15,217,45,90,0.3336200590711087
20,x12,0,150,167,15,236,45,70,0.33369649201631546
21,x10,0,143,167,15,193,45,65,0.33377041609492153
22,x8,0,142,167,15,197,45,99,0.3338493020273745
23,x3,0,137,167,15,212,45,94,0.3339256710605696
24,x9,0,134,167,15,231,45,98,0.3340011900290847
25,x5,1,132,167,15,262,45,101,0.33407455205451697
26,x6,1,78,167,15,243,45,62,0.33415118302218616
27,x15,0,65,167,15,186,45,42,0.3342268450651318
28,x7,1,55,167,15,241,45,64,0.3343021800974384
29,x13,1,52,167,15,243,45,69,0.33437503408640623
30,x4,0,43,167,15,184,45,57,0.3344535540090874
./DatasetA/instance_K3_N15_M45_03.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,557,109,15,124,45,106,0.18821506609674543
1,x9,1,554,106,15,130,45,97,0.2973030830034986
2,x10,1,534,106,15,143,45,90,0.29743134800810367
3,x4,0,483,106,15,124,45,91,0.2975003800820559
4,x2,1,431,106,15,123,45,88,0.2975664430996403
5,x1,0,401,106,15,161,45,80,0.29763194802217185
6,x13,0,401,106,15,153,45,103,0.29769658704753965
7,x7,1,401,106,15,141,45,86,0.2977615890558809
8,x5,1,400,106,15,162,45,87,0.29782545007765293
9,x3,1,394,106,15,144,45,93,0.297890083049424
10,x12,1,386,106,15,161,45,67,0.29797047399915755
11,x6,1,386,106,15,129,45,72,0.29803793504834175
12,x8,1,360,106,15,190,45,91,0.29810285405255854
13,x15,0,347,106,15,154,45,95,0.29816718003712595
14,x14,0,329,106,15,127,45,81,0.298244352103211
15,x11,0,282,106,15,171,45,89,0.2983268790412694
16,x11,1,275,106,15,180,45,92,0.29839310608804226
17,x14,1,228,106,15,127,45,46,0.2984642010414973
18,x15,1,210,106,15,156,45,81,0.298529448104091
19,x8,0,197,106,15,177,45,69,0.29859383101575077
20,x12,0,171,106,15,191,45,76,0.29865870403591543
21,x6,0,171,106,15,129,45,62,0.2987233470194042
22,x3,0,163,106,15,146,45,86,0.29878742701839656
23,x5,0,157,106,15,182,45,72,0.298852535081096
24,x1,1,156,106,15,163,45,53,0.29891699308063835
25,x13,1,156,106,15,158,45,62,0.29898124106694013
26,x7,0,156,106,15,140,45,69,0.2990450990619138
27,x2,0,126,106,15,123,45,33,0.29910888709127903
28,x4,1,74,106,15,124,45,38,0.2991731740767136
29,x10,0,23,106,15,147,45,27,0.2992369020357728
30,x9,0,3,106,15,139,45,19,0.29930047201924026
./DatasetA/instance_K3_N15_M45_04.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,296,91,15,105,45,88,0.1932069550966844
1,x9,0,273,88,15,126,45,72,0.3009022930637002
2,x4,0,270,88,15,106,45,73,0.30104096711147577
3,x11,0,262,88,15,112,45,87,0.3011177470907569
4,x7,0,255,88,15,145,45,80,0.30118326004594564
5,x5,0,249,88,15,104,45,67,0.301247701048851
6,x14,1,232,88,15,136,45,74,0.3013112600892782
7,x12,0,231,88,15,105,45,75,0.30137373006436974
8,x3,0,211,88,15,124,45,72,0.3014364060945809
9,x2,1,199,88,15,111,45,75,0.3014997420832515
10,x6,0,198,88,15,108,45,60,0.30156223999802023
11,x13,0,186,88,15,152,45,73,0.3016254850663245
12,x1,1,180,88,15,134,45,85,0.30168862105347216
13,x15,0,163,88,15,166,45,94,0.30175110104028136
14,x10,0,155,88,15,148,45,79,0.3018141461070627
15,x8,0,155,88,15,138,45,65,0.30187764309812337
16,x10,1,141,88,15,138,45,62,0.3019400420598686
17,x8,1,141,88,15,146,45,68,0.3020213770214468
18,x15,1,133,88,15,165,45,84,0.3020845160353929
19,x1,0,116,88,15,136,45,72,0.30214723106473684
20,x13,1,110,88,15,164,45,73,0.302209482062608
21,x6,1,98,88,15,108,45,47,0.30227181501686573
