./DatasetA/instance_K3_N15_M45_01.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,508,252,15,266,0,252,0.07144716699258424
./DatasetA/instance_K3_N15_M45_01.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,508,252,15,266,0,252,0.06977360800374299
./DatasetA/instance_K3_N15_M45_01.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,508,252,15,266,0,252,0.06084931408986449
./DatasetA/instance_K3_N15_M45_01.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,508,252,15,266,0,252,0.07179084792733192
./DatasetA/instance_K3_N15_M45_01.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,508,120,15,136,90,118,0.27150434104260057
1,x11,0,335,132,15,148,90,83,0.2730103509966284
2,x4,0,121,135,15,151,90,57,0.2741806070553139
3,x5,0,9,63,15,79,90,31,0.27531854005064815
4,x3,0,9,31,15,47,90,31,0.27644941105972975
5,x8,1,9,31,15,47,90,31,0.277587968041189
6,x15,0,3,32,15,48,90,27,0.2787161220330745
7,x7,1,3,27,15,43,90,27,0.2798407750669867
8,x12,1,1,41,15,57,90,16,0.28097709896974266
9,x10,1,0,16,15,33,90,1,0.2820668730419129
10,x6,0,0,1,15,19,90,1,0.28314783598762006
11,x9,0,0,1,15,19,90,1,0.2842273630667478
12,x14,0,0,1,15,19,90,1,0.2853213910711929
13,x13,1,0,1,15,19,90,1,0.28640381805598736
14,x1,1,0,1,15,19,90,1,0.28749911405611783
15,x2,0,0,1,15,19,90,1,0.2885808249702677
./DatasetA/instance_K3_N15_M45_02.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,456,170,15,185,90,167,0.3035900769755244
1,x11,0,171,218,15,234,90,103,0.3049636669456959
2,x4,0,16,129,15,145,90,31,0.30612573795951903
3,x5,0,16,31,15,48,90,31,0.30726482905447483
4,x3,0,2,37,15,54,90,15,0.3084076310042292
5,x8,1,2,15,15,32,90,15,0.30953830399084836
6,x15,0,0,15,15,32,90,1,0.3106318779755384
7,x7,1,0,1,15,19,90,1,0.3117219570558518
8,x12,1,0,1,15,19,90,1,0.3128228019922972
9,x10,1,0,1,15,19,90,1,0.3139132260112092
10,x6,0,0,1,15,19,90,1,0.31500226305797696
11,x9,0,0,1,15,19,90,1,0.31610232300590724
12,x14,0,0,1,15,19,90,1,0.3171952470438555
13,x13,1,0,1,15,19,90,1,0.31828601204324514
14,x1,1,0,1,15,19,90,1,0.31937405897770077
15,x2,0,0,1,15,19,90,1,0.32047147396951914
./DatasetA/instance_K3_N15_M45_03.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,557,109,15,124,90,106,0.2562684020958841
1,x11,0,282,155,15,171,90,84,0.25760937004815787
2,x4,0,248,110,15,126,90,68,0.25877642002888024
3,x5,0,77,116,15,132,90,54,0.2599424740765244
4,x3,0,24,83,15,99,90,37,0.2610894340323284
5,x8,1,17,40,15,56,90,38,0.26222533208783716
6,x15,0,11,47,15,63,90,31,0.26336187310516834
