./DatasetA/instance_K3_N15_M45_01.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,508,133,15,150,45,131,0.20248783600982279
1,x11,0,335,142,15,159,45,96,0.26132838102057576
2,x4,0,121,80,15,97,46,52,0.2663755069952458
3,x5,0,9,42,15,58,47,21,0.27088184107560664
4,x3,0,9,18,15,35,48,18,0.2744109680643305
5,x8,1,9,18,15,35,49,18,0.27798555500339717
6,x15,0,3,29,15,46,50,16,0.28153641999233514
7,x7,1,3,16,15,33,51,16,0.2848924590507522
8,x12,1,1,30,15,47,52,16,0.28825168206822127
9,x10,1,0,16,15,33,53,1,0.29143576498609036
10,x6,0,0,1,15,19,54,1,0.29456814797595143
11,x9,0,0,1,15,19,55,1,0.2976191870402545
12,x14,0,0,1,15,19,56,1,0.3007151180645451
13,x13,1,0,1,15,19,57,1,0.30375143396668136
14,x1,1,0,1,15,19,58,1,0.3068161819828674
15,x2,0,0,1,15,19,59,1,0.3098169700242579
./DatasetA/instance_K3_N15_M45_02.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,456,170,15,185,45,167,0.21054418093990535
1,x11,0,171,226,15,242,45,97,0.2690071399556473
2,x4,0,16,87,15,104,46,28,0.27413901197724044
3,x5,0,16,18,15,35,47,18,0.2781134049873799
4,x3,0,2,27,15,44,48,15,0.28196596703492105
5,x8,1,2,15,15,32,49,15,0.2852106320206076
6,x15,0,0,15,15,32,50,1,0.28834448102861643
7,x7,1,0,1,15,19,51,1,0.29151000001002103
8,x12,1,0,1,15,19,52,1,0.29460912698414177
9,x10,1,0,1,15,19,53,1,0.29772548901382834
10,x6,0,0,1,15,19,54,1,0.30079934000968933
11,x9,0,0,1,15,19,55,1,0.3038955939700827
12,x14,0,0,1,15,19,56,1,0.3069844819838181
13,x13,1,0,1,15,19,57,1,0.3100723259849474
14,x1,1,0,1,15,19,58,1,0.313157681026496
15,x2,0,0,1,15,19,59,1,0.31623530795332044
./DatasetA/instance_K3_N15_M45_03.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,557,109,15,124,45,106,0.18717188900336623
1,x11,0,282,155,15,171,45,89,0.25404758600052446
2,x4,0,248,75,15,92,46,62,0.2587370910914615
