./DatasetA/instance_K3_N15_M45_01.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,508,133,15,150,45,131,0.2857968299649656
1,x5,1,388,224,15,241,45,97,0.3624099150765687
2,x6,1,126,128,15,144,46,27,0.37006503203883767
3,x4,1,76,31,15,48,47,19,0.37678351206704974
4,x7,1,44,36,15,53,48,16,0.38237915304489434
5,x14,1,28,35,15,52,49,15,0.38777553592808545
6,x3,0,16,26,15,43,50,12,0.39301774301566184
7,x9,1,8,14,15,31,51,13,0.39833273086696863
8,x11,1,4,15,15,32,52,14,0.4029633419122547
9,x12,0,4,14,15,31,53,14,0.40755226789042354
10,x10,0,4,14,15,31,54,14,0.4121123938821256
11,x15,1,4,14,15,31,55,14,0.41668107896111906
12,x1,1,2,16,15,33,56,15,0.421301286900416
13,x2,0,2,15,15,32,57,15,0.426106960978359
14,x8,1,2,15,15,32,58,15,0.43067914503626525
15,x13,1,1,17,15,34,59,16,0.435302359983325
./DatasetA/instance_K3_N15_M45_02.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,456,170,15,185,45,167,0.29891300993040204
1,x5,0,324,314,15,330,45,139,0.3926971519831568
2,x6,0,268,209,15,225,46,105,0.40087577793747187
3,x4,1,236,98,15,115,47,74,0.4075626879930496
4,x7,0,211,112,15,129,48,53,0.413898112019524
5,x14,0,96,68,15,85,49,37,0.4200623838696629
6,x3,1,80,62,15,79,50,15,0.4259911119006574
7,x9,1,40,33,15,50,51,16,0.43151003401726484
8,x11,1,22,30,15,47,52,16,0.4364480869844556
9,x12,1,11,17,15,34,53,16,0.441281575942412
10,x10,1,8,28,15,45,54,13,0.44607713306322694
11,x15,1,8,13,15,30,55,13,0.4505783040076494
12,x1,1,4,15,15,32,56,14,0.45474686194211245
13,x2,1,2,16,15,33,57,15,0.45890008797869086
14,x8,1,1,17,15,34,58,16,0.4631060289684683
15,x13,0,1,16,15,33,59,16,0.46723703504540026
./DatasetA/instance_K3_N15_M45_03.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,557,109,15,124,45,106,0.26799690001644194
1,x5,1,400,206,15,222,45,87,0.32679922389797866
2,x6,1,268,93,15,110,46,51,0.3349984490778297
3,x4,0,242,47,15,64,47,29,0.3417977399658412
4,x7,1,182,49,15,66,48,28,0.34818296297453344
5,x14,0,126,36,15,53,49,17,0.3537549190223217
6,x3,1,68,28,15,45,50,15,0.35938770789653063
7,x9,1,68,14,15,31,51,14,0.36462999088689685
8,x11,1,44,34,15,51,52,15,0.3698556888848543
9,x12,1,24,36,15,53,53,13,0.3748049959540367
10,x10,1,24,13,15,30,54,13,0.37958799791522324
11,x15,1,12,15,15,32,55,14,0.3842841440346092
12,x1,0,8,38,15,54,56,13,0.3891432189848274
13,x2,1,4,15,15,32,57,14,0.3939006619621068
14,x8,1,2,16,15,33,58,15,0.3983195030596107
15,x13,1,1,17,15,34,59,16,0.4027471379376948
./DatasetA/instance_K3_N15_M45_04.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,296,91,15,105,45,88,0.284815208055079
1,x5,0,249,90,15,105,45,67,0.36265443288721144
2,x6,0,151,79,15,94,46,40,0.3694142489694059
3,x4,0,133,51,15,67,47,31,0.37561652692966163
4,x7,0,121,48,15,64,48,20,0.3811912739183754
5,x14,1,105,38,15,55,49,19,0.3874652290251106
6,x3,0,73,29,15,46,50,16,0.3934746489394456
7,x9,0,64,35,15,52,51,10,0.39908861299045384
8,x11,0,64,10,15,27,52,10,0.4044106730725616
9,x12,0,64,10,15,27,53,10,0.40880923601798713
10,x10,1,32,12,15,29,54,11,0.4132451470941305
11,x15,1,16,13,15,30,55,12,0.4176513340789825
12,x1,1,8,14,15,31,56,13,0.4220833668950945
13,x2,1,4,15,15,32,57,14,0.42649387405253947
14,x8,1,2,16,15,33,58,15,0.43091995595023036
15,x13,1,1,17,15,34,59,16,0.4353638968896121
./DatasetA/instance_K3_N15_M45_05.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,492,108,15,124,45,105,0.26467286003753543
1,x5,0,333,136,15,153,45,69,0.3257263710256666
2,x6,0,285,101,15,118,46,59,0.3346768340561539
3,x4,0,253,75,15,92,47,36,0.35050106002017856
4,x7,0,168,50,15,67,48,22,0.3631403110921383
5,x14,0,120,30,15,47,49,20,0.37070825509727
6,x3,0,82,46,15,63,50,18,0.3778555889148265
7,x9,0,44,30,15,47,51,16,0.38338787807151675
8,x11,0,32,37,15,54,52,16,0.38851164700463414
9,x12,0,24,30,15,47,53,13,0.3933062138967216
10,x10,0,16,15,15,32,54,12,0.39811435900628567
11,x15,1,8,14,15,31,55,13,0.402471266919747
12,x1,1,4,15,15,32,56,14,0.40666596591472626
13,x2,1,2,16,15,33,57,15,0.4108608670067042
14,x8,0,2,15,15,32,58,15,0.415025204885751
15,x13,1,1,17,15,34,59,16,0.4192329940851778
./DatasetA/instance_K3_N15_M45_06.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,408,102,15,118,45,100,0.28403980494476855
1,x5,1,133,112,15,128,45,37,0.3446475099772215
2,x6,0,117,49,15,66,46,34,0.3515044148080051
3,x4,0,82,72,15,89,47,26,0.3577011248562485
4,x7,0,78,66,15,82,48,34,0.36356795695610344
5,x14,0,78,20,15,36,49,20,0.36957790283486247
6,x3,0,66,35,15,52,50,17,0.375011018011719
7,x9,1,48,38,15,55,51,15,0.3804602758027613
8,x11,1,24,36,15,53,52,13,0.38585735694505274
9,x12,1,24,13,15,30,53,13,0.39087429479695857
10,x10,0,16,15,15,32,54,12,0.3957139339763671
11,x15,1,8,14,15,31,55,13,0.4005169759038836
12,x1,0,8,13,15,30,56,13,0.40502109401859343
13,x2,1,4,15,15,32,57,14,0.4096057820133865
14,x8,1,2,16,15,33,58,15,0.41423214692622423
15,x13,1,1,17,15,34,59,16,0.41884435387328267
./DatasetA/instance_K3_N15_M45_07.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,343,90,15,107,45,89,0.41309160203672945
1,x5,1,240,152,15,169,45,85,0.4798750050831586
2,x6,0,146,153,15,170,46,63,0.4902712700422853
3,x4,1,138,77,15,94,47,53,0.5004339620936662
4,x7,0,60,88,15,105,48,29,0.5097310340497643
5,x14,0,52,34,15,51,49,24,0.5185472280718386
6,x3,1,32,45,15,62,50,22,0.526551031973213
7,x9,0,24,33,15,50,51,20,0.5339446789585054
8,x11,1,20,29,15,46,52,14,0.5415217659901828
9,x12,1,20,14,15,31,53,14,0.5486805650871247
10,x10,0,20,14,15,31,54,14,0.5549887779634446
11,x15,1,12,18,15,35,55,15,0.5613163961097598
12,x1,0,8,18,15,35,56,13,0.5676579701248556
13,x2,1,4,19,15,36,57,14,0.5736924631055444
14,x8,1,2,16,15,33,58,15,0.5796149289235473
15,x13,1,1,17,15,34,59,16,0.5855129300616682
./DatasetA/instance_K3_N15_M45_08.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,280,131,15,146,45,128,0.2727160209324211
1,x5,1,130,152,15,168,45,69,0.33229231485165656
2,x6,0,130,63,15,79,46,63,0.3394218999892473
3,x4,1,78,118,15,133,47,50,0.3454036288894713
4,x7,1,58,89,15,104,48,40,0.35108501999638975
5,x14,0,38,50,15,67,49,31,0.3569812399800867
6,x3,0,36,50,15,67,50,25,0.36238199286162853
7,x9,0,30,44,15,61,51,21,0.36743313702754676
8,x11,1,23,39,15,56,52,20,0.37249652994796634
9,x12,1,17,38,15,55,53,17,0.37737245787866414
10,x10,1,10,38,15,55,54,16,0.38221227191388607
11,x15,0,10,16,15,33,55,16,0.38670692103914917
12,x1,0,6,30,15,47,56,15,0.39132932387292385
13,x2,1,3,17,15,34,57,16,0.39572355593554676
14,x8,0,2,44,15,60,58,15,0.400112863862887
15,x13,1,1,43,15,60,59,16,0.40445855585858226
./DatasetA/instance_K3_N15_M45_09.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,228,114,15,129,45,111,0.1836010899860412
1,x5,1,148,121,15,137,45,76,0.24727680603973567
2,x6,1,127,94,15,110,46,62,0.25230836193077266
3,x4,0,87,66,15,82,47,51,0.25641351100057364
4,x7,1,87,44,15,59,48,44,0.2602195159997791
5,x14,0,61,54,15,70,49,35,0.2643813518807292
6,x3,1,28,44,15,61,50,23,0.268063205992803
7,x9,1,21,51,15,68,51,26,0.2716850300785154
8,x11,1,21,18,15,35,52,18,0.27522171498276293
9,x12,0,16,44,15,61,53,14,0.2787045259028673
10,x10,1,8,16,15,33,54,15,0.2820606550667435
11,x15,1,4,17,15,33,55,16,0.285129388095811
12,x1,1,4,16,15,32,56,16,0.2887367189396173
13,x2,1,2,42,15,58,57,15,0.29186622402630746
14,x8,0,2,15,15,32,58,15,0.29508449602872133
15,x13,1,1,17,15,34,59,16,0.2979335410054773
./DatasetA/instance_K3_N15_M45_10.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,302,155,15,171,45,153,0.30132047715596855
1,x5,0,224,290,15,306,45,131,0.37465269211679697
2,x6,1,123,254,15,271,46,97,0.3803042150102556
3,x4,0,110,144,15,161,47,66,0.3861766420304775
4,x7,0,52,112,15,129,48,37,0.3910689421463758
5,x14,1,30,36,15,53,49,19,0.396141153993085
6,x3,0,16,37,15,54,50,19,0.40015628607943654
7,x9,1,8,18,15,35,51,17,0.40361736505292356
8,x11,0,8,16,15,33,52,16,0.4070618459954858
9,x12,1,5,33,15,50,53,17,0.4104877971112728
10,x10,0,3,32,15,49,54,17,0.4138514599762857
11,x15,1,2,32,15,49,55,15,0.41717353998683393
12,x1,0,2,15,15,32,56,15,0.42084387107752264
13,x2,1,2,15,15,32,57,15,0.4241696691606194
14,x8,1,1,17,15,34,58,16,0.42720534512773156
15,x13,0,1,16,15,33,59,16,0.43014028714969754
./DatasetA/instance_K3_N15_M45_01.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,508,133,15,150,45,131,0.20967205600754824
1,x5,1,388,224,15,241,45,97,0.21455564400821459
2,x6,1,126,128,15,144,46,27,0.22063257000991143
3,x4,1,76,31,15,48,47,19,0.22614203501143493
4,x7,1,44,36,15,53,48,16,0.23065646800387185
5,x14,1,28,35,15,52,49,15,0.2353095319995191
6,x3,0,16,26,15,43,50,12,0.24005130100704264
7,x9,1,8,14,15,31,51,13,0.2445943350030575
8,x11,1,4,15,15,32,52,14,0.248816067003645
9,x12,0,4,14,15,31,53,14,0.25313267500314396
10,x10,0,4,14,15,31,54,14,0.25730723500601016
11,x15,1,4,14,15,31,55,14,0.2611563780083088
12,x1,1,2,16,15,33,56,15,0.2648886310053058
13,x2,0,2,15,15,32,57,15,0.26852535500074737
14,x8,1,2,15,15,32,58,15,0.27228326300974004
15,x13,1,1,17,15,34,59,16,0.27627410100831185
./DatasetA/instance_K3_N15_M45_02.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,456,170,15,185,45,167,0.21526928000093903
1,x5,0,324,314,15,330,45,139,0.21893126699433196
2,x6,0,268,209,15,225,46,105,0.22556174200144596
3,x4,1,236,98,15,115,47,74,0.23141628899611533
4,x7,0,211,112,15,129,48,53,0.23663543799193576
5,x14,0,96,68,15,85,49,37,0.24203587499505375
6,x3,1,80,62,15,79,50,15,0.24785475600219797
7,x9,1,40,33,15,50,51,16,0.252883702996769
8,x11,1,22,30,15,47,52,16,0.25736863099155016
9,x12,1,11,17,15,34,53,16,0.26221796599566005
10,x10,1,8,28,15,45,54,13,0.26664126399555244
11,x15,1,8,13,15,30,55,13,0.2708039619901683
12,x1,1,4,15,15,32,56,14,0.27448312198976055
13,x2,1,2,16,15,33,57,15,0.27823632399667986
14,x8,1,1,17,15,34,58,16,0.28214287899027113
15,x13,0,1,16,15,33,59,16,0.28593249699042644
./DatasetA/instance_K3_N15_M45_03.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,557,109,15,124,45,106,0.1849416140030371
1,x5,1,400,206,15,222,45,87,0.18826394699863158
2,x6,1,268,93,15,110,46,51,0.1942887379991589
3,x4,0,242,47,15,64,47,29,0.19972462400619406
4,x7,1,182,49,15,66,48,28,0.20500600300147198
5,x14,0,126,36,15,53,49,17,0.20983620100014377
6,x3,1,68,28,15,45,50,15,0.21448448800947517
7,x9,1,68,14,15,31,51,14,0.21891109600255731
8,x11,1,44,34,15,51,52,15,0.2235073560004821
9,x12,1,24,36,15,53,53,13,0.22807751600339543
10,x10,1,24,13,15,30,54,13,0.23206137301167473
11,x15,1,12,15,15,32,55,14,0.2359827350010164
12,x1,0,8,38,15,54,56,13,0.24032057300792076
13,x2,1,4,15,15,32,57,14,0.2445639510115143
14,x8,1,2,16,15,33,58,15,0.24854020201019011
15,x13,1,1,17,15,34,59,16,0.25247783900704235
./DatasetA/instance_K3_N15_M45_04.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,296,91,15,105,45,88,0.20089714000641834
1,x5,0,249,90,15,105,45,67,0.20414050700492226
2,x6,0,151,79,15,94,46,40,0.20990067200909834
3,x4,0,133,51,15,67,47,31,0.21551814900885802
4,x7,0,121,48,15,64,48,20,0.2207381400075974
5,x14,1,105,38,15,55,49,19,0.22625935199903324
6,x3,0,73,29,15,46,50,16,0.23160916900087614
7,x9,0,64,35,15,52,51,10,0.23638887000561226
8,x11,0,64,10,15,27,52,10,0.24100286600878462
9,x12,0,64,10,15,27,53,10,0.24505693100218195
10,x10,1,32,12,15,29,54,11,0.24899111600825563
11,x15,1,16,13,15,30,55,12,0.2529181420104578
12,x1,1,8,14,15,31,56,13,0.2568234580103308
13,x2,1,4,15,15,32,57,14,0.2607622280047508
14,x8,1,2,16,15,33,58,15,0.26488278699980583
15,x13,1,1,17,15,34,59,16,0.2688106620043982
./DatasetA/instance_K3_N15_M45_05.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,492,108,15,124,45,105,0.19444407199625857
1,x5,0,333,136,15,153,45,69,0.19768583099357784
2,x6,0,285,101,15,118,46,59,0.20319383099558763
3,x4,0,253,75,15,92,47,36,0.20849294000072405
4,x7,0,168,50,15,67,48,22,0.21370251099870075
5,x14,0,120,30,15,47,49,20,0.2187582219921751
6,x3,0,82,46,15,63,50,18,0.22389287198893726
7,x9,0,44,30,15,47,51,16,0.2286710159969516
8,x11,0,32,37,15,54,52,16,0.23310932499589399
