./DatasetA/instance_K3_N15_M45_01.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,508,252,15,266,0,252,0.06506475899368525
./DatasetA/instance_K3_N15_M45_01.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,508,252,15,266,0,252,0.06513105900376104
1,x5,1,388,285,15,299,0,144,0.06781581498216838
2,x6,0,262,171,15,186,0,123,0.06972845498239622
3,x4,1,180,143,15,158,0,97,0.07156242997734807
4,x7,0,100,149,15,164,0,65,0.07340410698088817
5,x14,1,50,116,15,131,0,36,0.07523720199242234
6,x3,1,26,43,15,59,0,29,0.07703159298398532
7,x9,1,13,65,15,81,0,32,0.07882592198438942
8,x11,0,8,59,15,75,0,15,0.08063816599315032
9,x12,1,4,35,15,52,0,14,0.08241274298052303
10,x10,0,4,14,15,31,0,14,0.08415258998866193
11,x15,1,4,14,15,31,0,14,0.0859234590025153
12,x1,1,2,16,15,33,0,15,0.08768991898978129
13,x2,0,2,15,15,32,0,15,0.08944373999838717
14,x8,1,1,31,15,48,0,16,0.09121462499024346
15,x13,0,1,16,15,33,0,16,0.09297465198324062
./DatasetA/instance_K3_N15_M45_02.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,456,215,15,231,0,215,0.033660945016890764
1,x5,0,324,247,15,263,0,161,0.03581039002165198
2,x6,0,268,199,15,215,0,141,0.03771076301927678
3,x4,1,236,163,15,180,0,108,0.03959071802091785
4,x7,0,211,160,15,177,0,91,0.04146310201031156
5,x14,1,115,212,15,228,0,84,0.043358660012017936
6,x3,1,88,96,15,112,0,46,0.045207909017335624
7,x9,1,56,99,15,115,0,46,0.04703999499906786
8,x11,1,30,112,15,128,0,39,0.048903666000114754
9,x12,1,15,107,15,123,0,42,0.050750390015309677
10,x10,1,10,68,15,84,0,26,0.05259024500264786
11,x15,1,8,39,15,55,0,13,0.054444768000394106
12,x1,1,4,15,15,32,0,14,0.056279916025232524
13,x2,1,2,18,15,35,0,15,0.058084799005882815
14,x8,1,1,31,15,48,0,16,0.05990871202084236
15,x13,0,1,16,15,33,0,16,0.061690244008786976
./DatasetA/instance_K3_N15_M45_03.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,557,238,15,253,0,238,0.03275365798617713
1,x5,1,400,287,15,302,0,152,0.0348788789997343
2,x6,1,268,190,15,205,0,112,0.03676287698908709
3,x4,0,242,129,15,144,0,82,0.038605766982072964
4,x7,1,182,118,15,134,0,68,0.040434653987176716
5,x14,0,126,99,15,115,0,46,0.042278364999219775
6,x3,1,68,56,15,73,0,27,0.04407569899922237
7,x9,1,68,27,15,44,0,27,0.045858554978622124
8,x11,1,44,67,15,84,0,28,0.04765586499706842
9,x12,1,24,57,15,74,0,18,0.04945306197623722
10,x10,1,24,18,15,35,0,18,0.05122519997530617
11,x15,1,12,53,15,69,0,19,0.0530399139970541
12,x1,0,8,21,15,38,0,13,0.05485346997738816
13,x2,1,4,17,15,34,0,14,0.05663540598470718
14,x8,1,2,30,15,47,0,15,0.058431816985830665
15,x13,1,1,41,15,58,0,16,0.06022459699306637
./DatasetA/instance_K3_N15_M45_04.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,296,148,15,163,0,148,0.0318851130141411
1,x5,0,249,166,15,181,0,121,0.03389786899788305
2,x6,0,151,143,15,158,0,62,0.03569063000031747
3,x4,0,133,73,15,88,0,46,0.037461210013134405
4,x7,0,121,69,15,84,0,40,0.039211377006722614
5,x14,1,105,54,15,69,0,30,0.040960487007396296
6,x3,0,73,35,15,51,0,29,0.042703779006842524
7,x9,0,64,39,15,55,0,10,0.044438184006139636
8,x11,0,64,10,15,27,0,10,0.046152533002896234
9,x12,0,64,10,15,27,0,10,0.047849065012997016
10,x10,1,32,24,15,41,0,11,0.049579881015233696
11,x15,1,16,32,15,48,0,12,0.051307179004652426
12,x1,1,8,14,15,31,0,13,0.053028408001409844
13,x2,1,4,17,15,34,0,14,0.05479245900642127
14,x8,1,2,30,15,47,0,15,0.056526569998823106
15,x13,1,1,41,15,58,0,16,0.058273709000786766
./DatasetA/instance_K3_N15_M45_05.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,492,203,15,219,0,203,0.023085463006282225
1,x5,0,333,247,15,263,0,138,0.02517303198692389
2,x6,0,285,164,15,180,0,122,0.027040557994041592
3,x4,0,253,140,15,156,0,86,0.028874952986370772
4,x7,0,168,138,15,154,0,68,0.03069877900998108
5,x14,0,120,194,15,210,0,65,0.032550014002481475
6,x3,0,82,79,15,96,0,41,0.03435573700699024
7,x9,0,44,103,15,120,0,38,0.03617685099015944
8,x11,0,32,66,15,83,0,30,0.0379783810058143
9,x12,0,24,41,15,58,0,20,0.039783290994819254
10,x10,0,16,29,15,46,0,12,0.041566033993149176
11,x15,1,8,35,15,51,0,13,0.04337713299901225
12,x1,1,4,15,15,32,0,14,0.04515719099435955
13,x2,1,2,18,15,35,0,15,0.04693524198955856
14,x8,0,2,15,15,32,0,15,0.048730499984230846
15,x13,1,1,41,15,58,0,16,0.0505146500072442
./DatasetA/instance_K3_N15_M45_06.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,408,226,15,241,0,226,0.027620327018667012
1,x5,0,275,255,15,270,0,174,0.02976343099726364
2,x6,0,212,217,15,232,0,140,0.03165163201629184
3,x4,0,131,162,15,177,0,97,0.033534648013301194
4,x7,0,107,132,15,147,0,82,0.03538033401127905
5,x14,0,71,165,15,180,0,78,0.037260237004375085
6,x3,1,38,86,15,102,0,40,0.03908578000846319
7,x9,1,23,72,15,88,0,38,0.040921184001490474
8,x11,0,18,53,15,69,0,24,0.04273931501666084
9,x12,1,14,46,15,62,0,23,0.04456758502055891
10,x10,1,12,41,15,57,0,19,0.04637068501324393
11,x15,0,8,37,15,53,0,13,0.048168039007578045
