./DatasetA/instance_K3_N15_M45_01.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,508,133,15,150,45,131,0.19698435300961137
1,x5,1,388,224,15,241,45,97,0.2614984289975837
2,x6,0,262,128,15,144,46,65,0.2668548159999773
3,x4,1,180,76,15,93,47,50,0.27158797602169216
4,x7,0,100,97,15,114,48,40,0.27619984094053507
5,x14,1,50,43,15,60,49,24,0.2808552039787173
6,x3,1,26,41,15,58,50,20,0.28525289602112025
7,x9,1,13,20,15,37,51,19,0.28928275394719094
8,x11,0,8,37,15,54,52,15,0.2932650599395856
9,x12,1,4,37,15,54,53,14,0.2971294969320297
10,x10,0,4,14,15,31,54,14,0.3003175730118528
11,x15,1,4,14,15,31,55,14,0.3035044940188527
12,x1,1,2,16,15,33,56,15,0.3066889379406348
13,x2,0,2,15,15,32,57,15,0.3098739079432562
14,x8,1,1,17,15,34,58,16,0.3130469839088619
15,x13,0,1,16,15,33,59,16,0.31617365893907845
./DatasetA/instance_K3_N15_M45_02.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,456,170,15,185,45,167,0.21356577391270548
1,x5,0,324,314,15,330,45,139,0.2750001730164513
2,x6,0,268,209,15,225,46,105,0.2808928289450705
3,x4,1,236,98,15,115,47,74,0.28572878695558757
4,x7,0,211,112,15,129,48,53,0.2902739879209548
5,x14,1,115,68,15,85,49,51,0.2947301740059629
6,x3,1,88,85,15,102,50,24,0.2990612209541723
7,x9,1,56,35,15,52,51,25,0.3031377570005134
8,x11,1,30,43,15,60,52,20,0.3068205949384719
9,x12,1,15,21,15,38,53,20,0.3103620099136606
10,x10,1,10,35,15,52,54,16,0.3138763919705525
11,x15,1,8,26,15,43,55,13,0.3173848809674382
12,x1,1,4,25,15,42,56,14,0.3205709159374237
13,x2,1,2,16,15,33,57,15,0.32361492700874805
14,x8,1,1,17,15,34,58,16,0.3266504720086232
15,x13,0,1,16,15,33,59,16,0.32970053993631154
./DatasetA/instance_K3_N15_M45_03.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,557,109,15,124,45,106,0.18545829900540411
1,x5,1,400,206,15,222,45,87,0.2483025739202276
2,x6,1,268,93,15,110,46,51,0.25404152600094676
3,x4,0,242,47,15,64,47,29,0.25892684690188617
4,x7,1,182,49,15,66,48,28,0.26348571898415685
5,x14,0,126,36,15,53,49,17,0.26756585796829313
6,x3,1,68,28,15,45,50,15,0.2716236539417878
7,x9,1,68,14,15,31,51,14,0.27541483798995614
8,x11,1,44,34,15,51,52,15,0.2791835559764877
9,x12,1,24,36,15,53,53,13,0.2827295419992879
10,x10,1,24,13,15,30,54,13,0.2861490659415722
11,x15,1,12,15,15,32,55,14,0.2895399739500135
12,x1,0,8,38,15,54,56,13,0.29305952799040824
13,x2,1,4,15,15,32,57,14,0.29651689797174186
14,x8,1,2,16,15,33,58,15,0.29976399790029973
15,x13,1,1,17,15,34,59,16,0.3030130019178614
./DatasetA/instance_K3_N15_M45_04.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,296,91,15,105,45,88,0.1860908130183816
1,x5,0,249,90,15,105,45,67,0.24145593994762748
2,x6,0,151,79,15,94,46,40,0.24656498502008617
3,x4,0,133,51,15,67,47,31,0.25129257200751454
4,x7,0,121,48,15,64,48,20,0.2555706879356876
5,x14,1,105,38,15,55,49,19,0.2598758200183511
6,x3,0,73,29,15,46,50,16,0.2641592730069533
7,x9,0,64,35,15,52,51,10,0.2681391469668597
8,x11,0,64,10,15,27,52,10,0.2719236209522933
9,x12,0,64,10,15,27,53,10,0.27506819693371654
10,x10,1,32,12,15,29,54,11,0.278212056029588
11,x15,1,16,13,15,30,55,12,0.2813945240341127
12,x1,1,8,14,15,31,56,13,0.2846005769679323
13,x2,1,4,15,15,32,57,14,0.28782653296366334
14,x8,1,2,16,15,33,58,15,0.2910229809349403
15,x13,1,1,17,15,34,59,16,0.29420630796812475
./DatasetA/instance_K3_N15_M45_05.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,492,108,15,124,45,105,0.19148692104499787
1,x5,0,333,136,15,153,45,69,0.2466574260033667
2,x6,0,285,101,15,118,46,59,0.25198038399685174
3,x4,0,253,75,15,92,47,36,0.25698007200844586
4,x7,0,168,50,15,67,48,22,0.2620167810237035
5,x14,0,120,30,15,47,49,20,0.26667307899333537
6,x3,0,82,46,15,63,50,18,0.2712064799852669
7,x9,0,44,30,15,47,51,16,0.27554911794140935
8,x11,0,32,37,15,54,52,16,0.279537552036345
9,x12,0,24,30,15,47,53,13,0.28329998394474387
10,x10,0,16,15,15,32,54,12,0.28704600501805544
11,x15,1,8,14,15,31,55,13,0.2904712329618633
12,x1,1,4,15,15,32,56,14,0.293718021013774
13,x2,1,2,16,15,33,57,15,0.2970039430074394
14,x8,0,2,15,15,32,58,15,0.3004640160361305
15,x13,1,1,17,15,34,59,16,0.30377331702038646
./DatasetA/instance_K3_N15_M45_06.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,408,102,15,118,45,100,0.19346652796957642
1,x5,0,275,112,15,128,45,79,0.2566435500048101
2,x6,0,212,114,15,130,46,65,0.26175454701296985
3,x4,0,131,105,15,121,47,60,0.26693606504704803
4,x7,0,107,71,15,88,48,42,0.2716538329841569
5,x14,0,71,70,15,86,49,33,0.27616628003306687
6,x3,1,38,56,15,73,50,26,0.2803148489911109
7,x9,1,23,41,15,58,51,24,0.2844578590011224
8,x11,0,18,53,15,70,52,19,0.28838104801252484
9,x12,1,14,42,15,58,53,18,0.2922228630632162
10,x10,1,12,40,15,57,54,14,0.29588652995880693
11,x15,0,8,16,15,33,55,13,0.29952283506281674
12,x1,0,8,13,15,30,56,13,0.3028071910375729
13,x2,1,4,15,15,32,57,14,0.3060320829972625
14,x8,1,2,16,15,33,58,15,0.30928435700479895
15,x13,1,1,17,15,34,59,16,0.3125059329904616
./DatasetA/instance_K3_N15_M45_07.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,343,90,15,107,45,89,0.1990055019268766
1,x5,1,240,152,15,169,45,85,0.26103541895281523
2,x6,0,146,153,15,170,46,63,0.26660657802131027
3,x4,1,138,77,15,94,47,53,0.27211351494770497
4,x7,1,78,88,15,105,48,47,0.27714978996664286
5,x14,0,71,50,15,67,49,33,0.28205934492871165
6,x3,1,41,43,15,60,50,29,0.2864571459358558
7,x9,0,32,45,15,62,51,18,0.2906467479187995
8,x11,1,20,28,15,45,52,14,0.29485424992162734
9,x12,1,20,14,15,31,53,14,0.2986286219675094
10,x10,0,20,14,15,31,54,14,0.30234471592120826
11,x15,1,12,29,15,46,55,14,0.30600405391305685
12,x1,0,8,16,15,33,56,13,0.3097725339466706
13,x2,1,4,17,15,34,57,14,0.31326973100658506
14,x8,1,2,16,15,33,58,15,0.31662213092204183
15,x13,1,1,17,15,34,59,16,0.3199436189606786
./DatasetA/instance_K3_N15_M45_08.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,280,131,15,146,45,128,0.20096424699295312
1,x5,0,150,152,15,168,45,85,0.2561869469936937
2,x6,0,84,84,15,100,46,50,0.26199927693232894
3,x4,1,60,82,15,99,47,32,0.26683431095443666
4,x7,1,52,41,15,58,48,18,0.27145972196012735
5,x14,0,48,35,15,52,49,16,0.27599567198194563
6,x3,1,24,17,15,34,50,16,0.279979364015162
7,x9,0,24,16,15,33,51,16,0.2836685739457607
8,x11,1,16,30,15,47,52,16,0.2874151699943468
9,x12,1,12,29,15,46,53,14,0.2910332690225914
10,x10,1,6,16,15,33,54,15,0.29460562497843057
11,x15,0,6,15,15,32,55,15,0.2980903829447925
12,x1,0,4,40,15,57,56,14,0.301482138922438
13,x2,1,2,40,15,57,57,15,0.30491552501916885
14,x8,0,2,15,15,32,58,15,0.30808783194515854
15,x13,1,1,17,15,34,59,16,0.3113098959438503
./DatasetA/instance_K3_N15_M45_09.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,228,114,15,129,45,111,0.2045869779540226
1,x5,1,148,121,15,137,45,76,0.2680076059186831
2,x6,1,127,94,15,110,46,62,0.27321469597518444
3,x4,0,87,66,15,82,47,51,0.2778050769120455
4,x7,1,87,44,15,59,48,44,0.2820645869942382
5,x14,0,61,54,15,70,49,35,0.2861363929696381
6,x3,0,33,44,15,61,50,29,0.2903082799166441
7,x9,1,26,55,15,72,51,30,0.29443727096077055
8,x11,1,21,54,15,70,52,20,0.2983142619486898
9,x12,0,16,50,15,66,53,16,0.3021852480014786
10,x10,1,8,16,15,33,54,15,0.3058701599948108
11,x15,1,4,17,15,33,55,16,0.3093153180088848
12,x1,1,4,16,15,32,56,16,0.31278577796183527
13,x2,1,2,42,15,58,57,15,0.31620254390873015
14,x8,0,2,15,15,32,58,15,0.319859639974311
15,x13,1,1,17,15,34,59,16,0.3261973389890045
./DatasetA/instance_K3_N15_M45_10.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,302,155,15,171,45,153,0.20960163709241897
1,x5,0,224,290,15,306,45,131,0.2830607790965587
2,x6,1,123,254,15,271,46,97,0.2889640680514276
3,x4,0,110,144,15,161,47,66,0.29509612009860575
4,x7,1,58,112,15,129,48,57,0.2999598920578137
5,x14,1,31,52,15,69,49,33,0.3047622760059312
6,x3,1,19,54,15,71,50,25,0.30919090507086366
7,x9,1,17,30,15,47,51,21,0.3133472920162603
8,x11,0,17,19,15,36,52,19,0.3171890720259398
9,x12,1,10,38,15,55,53,20,0.32096106407698244
10,x10,0,6,34,15,51,54,17,0.3246793680591509
11,x15,1,4,29,15,46,55,14,0.32839852303732187
12,x1,0,4,14,15,31,56,14,0.3316950110020116
13,x2,1,2,16,15,33,57,15,0.33482943405397236
14,x8,1,1,17,15,34,58,16,0.33795383700635284
15,x13,0,1,16,15,33,59,16,0.34112469607498497
