./DatasetA/instance_K3_N15_M45_01.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,508,252,15,266,0,252,0.061301306006498635
1,x10,0,507,260,15,274,0,249,0.111533793999115
2,x2,0,445,252,15,266,0,174,0.11329281202051789
3,x15,1,396,174,15,188,0,91,0.11502047700923868
4,x8,1,340,106,15,123,0,82,0.11671935801859945
5,x12,0,276,113,15,130,0,67,0.11841523001203313
6,x5,1,234,73,15,90,0,55,0.12010912000550888
7,x4,1,144,59,15,76,0,39,0.12177848201827146
8,x6,0,84,47,15,64,0,29,0.12344775500241667
9,x13,1,56,30,15,47,0,17,0.12510026400559582
10,x11,0,32,24,15,41,0,11,0.1267462790128775
11,x3,0,16,13,15,30,0,12,0.12840117802261375
12,x1,1,8,13,15,30,0,13,0.1300462570216041
13,x9,0,4,21,15,38,0,14,0.1317050750076305
14,x7,1,2,21,15,38,0,15,0.13335651901434176
15,x14,0,1,29,15,46,0,16,0.13503625101293437
./DatasetA/instance_K3_N15_M45_02.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,456,215,15,231,0,215,0.03226506299688481
1,x4,1,413,227,15,243,0,169,0.08240071299951524
2,x13,0,369,211,15,227,0,146,0.08418811700539663
3,x7,0,330,187,15,203,0,142,0.08595516701461747
4,x15,1,274,181,15,197,0,103,0.08770712200202979
5,x6,0,220,127,15,144,0,76,0.08942746301181614
6,x5,0,170,90,15,107,0,60,0.09112191101303324
7,x9,1,92,103,15,120,0,55,0.09283401499851607
8,x3,1,80,60,15,77,0,30,0.0945069279987365
9,x8,1,56,44,15,61,0,20,0.09618013200815767
10,x10,1,32,20,15,37,0,11,0.09783083101501688
11,x12,1,16,20,15,37,0,12,0.09948125900700688
12,x1,0,8,13,15,30,0,13,0.10114466401864775
13,x14,1,4,25,15,42,0,14,0.10283746200730093
14,x2,0,2,16,15,33,0,15,0.1045041480101645
15,x11,1,1,26,15,43,0,16,0.10616307801683433
./DatasetA/instance_K3_N15_M45_03.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,557,238,15,253,0,238,0.031438591016922146
1,x9,1,554,246,15,261,0,227,0.08146980500896461
2,x10,1,531,248,15,263,0,209,0.08326852499158122
3,x4,0,468,218,15,233,0,194,0.08503631700295955
4,x2,1,342,197,15,212,0,148,0.08677607399295084
5,x1,0,267,149,15,164,0,108,0.08848128200042993
6,x13,0,168,131,15,146,0,59,0.09020087899989448
7,x7,1,112,68,15,83,0,45,0.09188489499501884
8,x5,1,80,52,15,67,0,22,0.09355434100143611
9,x3,1,56,25,15,41,0,14,0.09520941399387084
10,x12,1,32,23,15,39,0,11,0.09686084499116987
11,x6,1,16,17,15,34,0,12,0.09852256398880854
12,x8,1,8,20,15,37,0,13,0.10017748401151039
13,x15,0,4,26,15,42,0,14,0.10184459501761012
14,x14,0,2,27,15,44,0,15,0.10350518400082365
15,x11,0,1,26,15,43,0,16,0.10516878101043403
./DatasetA/instance_K3_N15_M45_04.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,296,148,15,163,0,148,0.03075608701328747
1,x9,0,273,167,15,182,0,114,0.07979988199076615
2,x4,0,255,117,15,132,0,97,0.08152367098955438
3,x11,0,225,115,15,130,0,90,0.08322160999523476
4,x7,0,196,118,15,133,0,71,0.08492098998976871
5,x5,0,182,76,15,91,0,60,0.08660478400997818
6,x14,1,144,101,15,116,0,50,0.08829136900021695
7,x12,0,108,67,15,84,0,26,0.0899537350051105
8,x3,0,76,30,15,47,0,27,0.09162558100069873
9,x2,1,44,30,15,47,0,23,0.09328589698998258
10,x6,0,32,28,15,45,0,11,0.09492888799286447
11,x13,0,16,21,15,38,0,12,0.09658009500708431
12,x1,1,8,13,15,30,0,13,0.09822173000429757
13,x15,0,4,26,15,42,0,14,0.0998652660055086
