./DatasetA/instance_K3_N15_M45_01.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,508,252,15,266,0,252,0.0657177260145545
1,x10,0,507,260,15,274,0,249,0.12412086300901137
2,x2,0,445,252,15,266,0,174,0.12610357301309705
3,x15,1,396,174,15,188,0,91,0.12795053201261908
4,x8,1,340,106,15,123,0,82,0.12979258800623938
5,x12,0,276,113,15,130,0,67,0.1316197470005136
6,x5,1,234,73,15,90,0,55,0.13344188701012172
7,x4,1,144,59,15,76,0,39,0.13524422701448202
8,x6,0,84,47,15,64,0,29,0.13703934699879028
9,x13,1,56,30,15,47,0,17,0.13883884201641195
10,x11,0,32,24,15,41,0,11,0.14061044101254083
11,x3,0,16,13,15,30,0,12,0.14239670100505464
12,x1,1,8,13,15,30,0,13,0.14416758602601476
13,x9,0,4,21,15,38,0,14,0.14596889200038277
14,x7,1,2,21,15,38,0,15,0.14774768901406787
15,x14,0,1,29,15,46,0,16,0.14954321400728077
./DatasetA/instance_K3_N15_M45_02.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,456,215,15,231,0,215,0.03493422799510881
1,x4,1,413,227,15,243,0,169,0.08817878001718782
2,x13,0,369,211,15,227,0,146,0.09010017299442552
3,x7,0,330,187,15,203,0,142,0.09201013800338842
4,x15,1,274,181,15,197,0,103,0.09388497399049811
5,x6,0,220,127,15,144,0,76,0.09574804300791584
6,x5,0,170,90,15,107,0,60,0.09757549100322649
7,x9,1,92,103,15,120,0,55,0.0994139910035301
8,x3,1,80,60,15,77,0,30,0.10121687201899476
9,x8,1,56,44,15,61,0,20,0.10300804799771868
10,x10,1,32,20,15,37,0,11,0.10479491800651886
11,x12,1,16,20,15,37,0,12,0.10657155400258489
12,x1,0,8,13,15,30,0,13,0.10836069099605083
13,x14,1,4,25,15,42,0,14,0.11018096699262969
14,x2,0,2,16,15,33,0,15,0.11197125300532207
15,x11,1,1,26,15,43,0,16,0.11375572200631723
./DatasetA/instance_K3_N15_M45_03.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,557,238,15,253,0,238,0.03349737901589833
1,x9,1,554,246,15,261,0,227,0.0879254530009348
2,x10,1,531,248,15,263,0,209,0.08993483701488003
3,x4,0,468,218,15,233,0,194,0.09190224201302044
4,x2,1,342,197,15,212,0,148,0.0938465740182437
5,x1,0,267,149,15,164,0,108,0.09573921200353652
6,x13,0,168,131,15,146,0,59,0.09764722501859069
7,x7,1,112,68,15,83,0,45,0.0995132609969005
8,x5,1,80,52,15,67,0,22,0.10135063002235256
9,x3,1,56,25,15,41,0,14,0.10319539601914585
10,x12,1,32,23,15,39,0,11,0.10501712001860142
11,x6,1,16,17,15,34,0,12,0.10685563299921341
12,x8,1,8,20,15,37,0,13,0.10868225601734594
13,x15,0,4,26,15,42,0,14,0.11052351401303895
14,x14,0,2,27,15,44,0,15,0.11235417201532982
15,x11,0,1,26,15,43,0,16,0.114204249024624
./DatasetA/instance_K3_N15_M45_04.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,296,148,15,163,0,148,0.032579446997260675
1,x9,0,273,167,15,182,0,114,0.08475156399072148
2,x4,0,255,117,15,132,0,97,0.08659943199018016
3,x11,0,225,115,15,130,0,90,0.08844600498559885
4,x7,0,196,118,15,133,0,71,0.09026867998181842
5,x5,0,182,76,15,91,0,60,0.0920861659978982
6,x14,1,144,101,15,116,0,50,0.09389091597404331
7,x12,0,108,67,15,84,0,26,0.09568706498248503
8,x3,0,76,30,15,47,0,27,0.09747500097728334
9,x2,1,44,30,15,47,0,23,0.09925806798855774
10,x6,0,32,28,15,45,0,11,0.10102219498367049
11,x13,0,16,21,15,38,0,12,0.1027871489932295
12,x1,1,8,13,15,30,0,13,0.10456386697478592
13,x15,0,4,26,15,42,0,14,0.10633191099623218
14,x10,0,2,23,15,40,0,15,0.10811314499005675
15,x8,0,1,23,15,40,0,16,0.10988697299035266
./DatasetA/instance_K3_N15_M45_05.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,492,203,15,219,0,203,0.025037270999746397
