./DatasetA/instance_K3_N15_M45_01.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,508,133,15,150,45,131,0.07729961001314223
1,x15,1,442,171,15,188,45,88,0.09961143700638786
2,x2,0,396,87,15,104,46,60,0.10162550800305326
3,x10,0,396,52,15,69,47,52,0.10372541499964427
4,x5,1,334,73,15,90,48,44,0.10629377599980216
5,x12,0,270,52,15,68,49,31,0.10849230301391799
6,x4,1,180,34,15,51,50,19,0.1104652240028372
7,x8,1,144,25,15,42,51,14,0.11236164000001736
8,x6,0,84,27,15,43,52,15,0.11407544100075029
9,x11,0,48,15,15,32,53,12,0.1158087530056946
10,x3,0,32,13,15,30,54,11,0.11760269501246512
11,x13,0,16,12,15,29,55,12,0.11939122001058422
12,x9,0,8,13,15,30,56,13,0.12114195601316169
13,x14,0,4,14,15,31,57,14,0.12300781300291419
14,x1,0,2,15,15,32,58,15,0.12489057201310061
15,x7,1,1,16,15,33,59,16,0.12723083801392931
./DatasetA/instance_K3_N15_M45_02.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,456,170,15,185,45,167,0.08399510200251825
1,x7,0,401,195,15,211,45,118,0.10599199500575196
2,x4,1,365,120,15,137,46,95,0.1085121270007221
3,x6,0,299,134,15,151,47,74,0.11118993000127375
4,x3,1,198,90,15,107,48,42,0.11331708199577406
5,x14,0,100,45,15,62,49,21,0.11504994200367946
6,x13,0,100,17,15,34,50,17,0.11673994500597473
7,x15,1,100,17,15,34,51,17,0.11859288900450338
8,x8,1,68,21,15,38,52,15,0.1201704279956175
9,x5,0,56,21,15,38,53,13,0.1216760100069223
10,x10,1,32,14,15,31,54,11,0.12327202700544149
11,x12,1,16,12,15,29,55,12,0.12486910799634643
12,x2,0,8,13,15,30,56,13,0.12645534799958114
13,x9,1,4,14,15,31,57,14,0.1280699530034326
14,x1,0,2,15,15,32,58,15,0.12967875599861145
15,x11,0,1,16,15,33,59,16,0.13128198399499524
./DatasetA/instance_K3_N15_M45_03.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,557,109,15,124,45,106,0.0727829550014576
1,x10,1,534,127,15,143,45,90,0.09438204299658537
2,x12,1,363,128,15,145,46,56,0.09658630400372203
3,x9,1,363,54,15,71,47,54,0.09853910299716517
4,x6,1,261,54,15,71,48,38,0.10067193700524513
5,x4,0,234,43,15,60,49,28,0.10250080999685451
6,x1,0,152,29,15,46,50,18,0.10429364899755456
7,x14,1,48,22,15,39,51,12,0.10609902700525708
8,x2,1,48,12,15,29,52,12,0.10786375400493853
9,x7,1,24,13,15,30,53,13,0.10955278400797397
10,x5,1,16,13,15,30,54,12,0.11110286400071345
11,x3,1,16,12,15,29,55,12,0.1125390920060454
12,x8,1,8,13,15,30,56,13,0.11394912100513466
13,x13,0,4,14,15,31,57,14,0.11551511001016479
14,x15,0,2,15,15,32,58,15,0.11724333700840361
15,x11,0,1,16,15,33,59,16,0.11881202799850143
./DatasetA/instance_K3_N15_M45_04.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,296,91,15,105,45,88,0.07429981500899885
1,x9,0,273,111,15,126,45,72,0.09826506300305482
2,x5,0,228,72,15,87,46,50,0.10083604800456669
3,x4,0,210,45,15,61,47,34,0.10289259400451556
4,x6,0,124,38,15,54,48,18,0.10500162300013471
5,x7,0,112,27,15,43,49,14,0.10687765201146249
6,x14,1,96,21,15,38,50,11,0.1085535010060994
7,x12,0,96,11,15,28,51,11,0.1101813650020631
8,x11,0,96,11,15,28,52,11,0.11179653600265738
9,x3,0,64,11,15,28,53,10,0.11354440401191823
10,x2,1,32,11,15,28,54,11,0.11509183100133669
11,x13,0,16,12,15,29,55,12,0.11674224100715946
12,x8,0,8,13,15,30,56,13,0.1180627660069149
13,x10,1,4,14,15,31,57,14,0.11936267800047062
14,x1,1,2,15,15,32,58,15,0.1209287280071294
15,x15,0,1,16,15,33,59,16,0.12270916500710882
./DatasetA/instance_K3_N15_M45_05.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,492,108,15,124,45,105,0.07644690500455908
1,x2,1,450,138,15,155,45,81,0.09905159201298375
2,x8,0,450,80,15,97,46,80,0.10119262301304843
3,x5,0,296,83,15,100,47,51,0.10350362700410187
