./DatasetA/instance_K3_N15_M45_01.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,508,133,15,150,45,131,0.24325237597804517
1,x10,0,507,132,15,149,45,119,0.3527990550501272
2,x2,0,445,121,15,138,46,82,0.3584089269861579
3,x15,1,396,92,15,109,47,57,0.36335134296678007
4,x8,1,340,55,15,72,48,40,0.367821178981103
5,x12,0,276,42,15,58,49,25,0.37231110502034426
6,x5,1,234,32,15,48,50,21,0.3763502179645002
7,x4,1,144,28,15,44,51,16,0.38019990699831396
8,x6,0,84,27,15,43,52,15,0.38393793895374984
9,x13,1,56,25,15,42,53,13,0.3876462579937652
10,x11,0,32,23,15,39,54,11,0.3911233589751646
11,x3,0,16,12,15,29,55,12,0.3943803489673883
12,x1,1,8,13,15,30,56,13,0.39759185595903546
13,x9,0,4,14,15,31,57,14,0.40080123802181333
14,x7,1,2,15,15,32,58,15,0.40401998499874026
15,x14,0,1,16,15,33,59,16,0.40724190999753773
./DatasetA/instance_K3_N15_M45_02.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,456,170,15,185,45,167,0.20736004202626646
1,x4,1,413,168,15,184,45,132,0.3045056329574436
2,x13,0,369,179,15,195,46,113,0.3099422339582816
3,x7,0,330,127,15,144,47,76,0.3149759139632806
4,x15,1,274,77,15,94,48,60,0.3195509020006284
5,x6,0,220,83,15,100,49,45,0.3270867419196293
6,x5,0,170,56,15,73,50,30,0.3316656289389357
7,x9,1,92,42,15,59,51,26,0.3359635799424723
8,x3,1,80,24,15,41,52,15,0.34000453900080174
9,x8,1,56,18,15,35,53,14,0.34371815202757716
10,x10,1,32,22,15,39,54,11,0.34706750500481576
11,x12,1,16,12,15,29,55,12,0.3502488679951057
12,x1,0,8,13,15,30,56,13,0.35342838591896
13,x14,1,4,14,15,31,57,14,0.35661190596874803
14,x2,0,2,15,15,32,58,15,0.3597901869798079
15,x11,1,1,16,15,33,59,16,0.3629881499800831
./DatasetA/instance_K3_N15_M45_03.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,557,109,15,124,45,106,0.19086400198284537
1,x9,1,554,114,15,130,45,97,0.30039946897886693
