./DatasetB/instance_K3_N30_M90_01.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,50500,1809,30,1839,90,1806,2.182475354988128
1,x25,0,15808,1819,30,2740,90,479,2.2828261009417474
2,x9,1,14042,394,30,604,91,253,2.307693650946021
3,x11,1,8184,243,30,404,92,120,2.3286409450229257
4,x8,0,7952,138,30,221,93,98,2.3407559120096266
5,x21,1,6064,139,30,219,94,67,2.3517178769689053
6,x29,0,6064,57,30,110,95,57,2.3615352630149573
7,x28,1,6064,55,30,108,96,55,2.371003161999397
8,x19,0,6064,55,30,108,97,55,2.3802545600337908
9,x16,0,6064,55,30,108,98,55,2.3894368179608136
10,x15,0,6064,55,30,108,99,55,2.398486844962463
11,x14,1,6064,55,30,108,100,55,2.40746010793373
12,x12,1,6064,55,30,108,101,55,2.416292016976513
13,x5,0,6064,55,30,108,102,55,2.4251060149399564
14,x4,1,6064,55,30,108,103,55,2.43377755000256
15,x30,0,5168,79,30,132,104,48,2.4424158959882334
16,x3,0,4048,57,30,111,105,35,2.4508018370252103
17,x18,1,3136,50,30,83,106,29,2.4583600369514897
18,x17,1,2464,39,30,72,107,26,2.464892648975365
19,x10,1,1792,40,30,73,108,23,2.470981227932498
20,x26,0,1024,43,30,75,109,21,2.4763074149377644
21,x27,1,512,22,30,54,110,22,2.4808853160357103
22,x24,1,256,23,30,55,111,23,2.4853895460255444
23,x23,1,128,24,30,56,112,24,2.4898714689770713
24,x22,1,64,25,30,57,113,25,2.4942522200290114
25,x20,1,32,26,30,58,114,26,2.4985562729416415
26,x13,1,16,27,30,59,115,27,2.5027874649968
27,x7,1,8,28,30,60,116,28,2.5069051570026204
28,x6,1,4,29,30,61,117,29,2.510893100989051
29,x2,1,2,30,30,62,118,30,2.514742368948646
30,x1,1,1,31,30,63,119,31,2.518529057968408
./DatasetB/instance_K3_N30_M90_02.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,48499,1982,30,2012,90,1979,2.931239923927933
1,x14,1,38415,2121,30,2163,90,1143,3.034719221992418
2,x4,0,29314,1306,30,1400,91,549,3.0820112279616296
3,x27,1,24976,491,30,596,92,331,3.1093290329445153
4,x28,0,23786,345,30,444,93,217,3.128737455001101
5,x30,1,22874,259,30,291,94,145,3.1444098299834877
6,x13,1,16006,138,30,212,95,71,3.157795638893731
7,x20,0,16006,67,30,135,96,67,3.1687480659456924
8,x15,0,16006,67,30,135,97,67,3.1794495169306174
9,x2,1,16006,67,30,135,98,67,3.189991654944606
10,x1,0,16006,67,30,135,99,67,3.2004675569478422
11,x7,1,12962,112,30,180,100,55,3.210977081907913
12,x21,0,10806,81,30,150,101,48,3.2211639649467543
13,x18,1,8622,55,30,119,102,43,3.230713496915996
14,x8,1,6878,67,30,126,103,40,3.239861198933795
15,x11,0,4928,52,30,108,104,32,3.248634041985497
