./DatasetB/instance_K3_N30_M90_01.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,50500,1809,30,1839,90,1806,2.167026679031551
1,x8,0,48718,2248,30,3169,90,1592,2.2643571849912405
2,x29,0,46392,1965,30,2771,91,1386,2.3273927950067446
3,x15,0,44446,1670,30,2424,92,1194,2.3805862920125946
4,x4,1,41186,1183,30,1896,93,972,2.4258161310572177
5,x12,1,38149,1199,30,1762,94,877,2.4634808939881623
6,x5,0,35810,1127,30,1609,95,837,2.4968341410858557
7,x9,1,32061,818,30,1240,96,545,2.528445514035411
8,x16,0,28588,621,30,930,97,391,2.5519711900269613
9,x14,1,25236,413,30,630,98,301,2.569641912006773
10,x28,1,22196,275,30,457,99,226,2.58425256900955
11,x19,0,19136,235,30,383,100,168,2.5973523390712216
12,x21,1,16512,209,30,319,101,117,2.6082875670399517
13,x30,0,14112,147,30,227,102,89,2.6186745640588924
14,x18,1,11952,119,30,172,103,65,2.6284303220454603
15,x11,1,9128,97,30,146,104,52,2.6371920160017908
16,x13,1,6440,69,30,118,105,41,2.645327046047896
17,x20,0,4256,59,30,108,106,32,2.653316540061496
18,x10,1,2800,46,30,98,107,29,2.6601815740577877
19,x3,0,1792,42,30,91,108,23,2.6665761600015685
20,x26,0,1024,43,30,75,109,21,2.6719989969860762
21,x27,1,512,22,30,54,110,22,2.6767232300480828
22,x25,1,256,23,30,55,111,23,2.681399538065307
23,x24,1,128,24,30,56,112,24,2.6860311770578846
24,x23,1,64,25,30,57,113,25,2.690612000063993
25,x22,1,32,26,30,58,114,26,2.6951183429919183
26,x17,1,16,27,30,59,115,27,2.699513918021694
27,x7,1,8,28,30,60,116,28,2.7037896340480074
28,x6,1,4,29,30,61,117,29,2.707946807029657
29,x2,1,2,30,30,62,118,30,2.712004318018444
30,x1,1,1,31,30,63,119,31,2.7159586150664836
./DatasetB/instance_K3_N30_M90_02.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,48499,1982,30,2012,90,1979,3.0279269739985466
1,x1,0,48199,1982,30,2024,90,1827,3.1357748210430145
2,x20,0,46368,1810,30,1856,91,1583,3.205595056992024
3,x2,1,44528,1802,30,1847,92,1300,3.2640621289610863
4,x30,1,42055,1293,30,1323,93,1061,3.3150286950403824
5,x15,0,39799,1219,30,1809,94,877,3.354719712981023
6,x28,0,35415,1075,30,1630,95,657,3.3896077390527353
7,x27,1,31358,576,30,907,96,492,3.4164257439551875
8,x10,1,27548,443,30,722,97,436,3.4380044860299677
9,x17,1,23738,425,30,683,98,371,3.4582607509801164
10,x14,1,20236,391,30,633,99,207,3.474883805960417
11,x4,0,17392,208,30,338,100,113,3.487475940026343
12,x22,1,15046,107,30,173,101,91,3.4978502850281075
13,x7,1,12206,146,30,194,102,72,3.507425602991134
14,x8,1,10158,117,30,164,103,66,3.5166107879485935
15,x16,0,7988,77,30,127,104,44,3.5252934329910204
16,x19,0,6144,62,30,111,105,34,3.532941107987426
17,x24,0,4272,44,30,95,106,28,3.539930284023285
18,x25,0,2848,52,30,95,107,26,3.546490311040543
19,x29,0,1792,38,30,82,108,23,3.5525244859745726
20,x26,0,1024,24,30,59,109,21,3.557884279987775
21,x23,1,512,22,30,54,110,22,3.5625143089564517
22,x21,1,256,23,30,55,111,23,3.5670799430226907
23,x18,1,128,24,30,56,112,24,3.571560523007065
24,x13,1,64,25,30,57,113,25,3.5759402780095115
25,x12,1,32,26,30,58,114,26,3.5802124730544165
26,x11,1,16,27,30,59,115,27,3.5843746359460056
27,x9,1,8,28,30,60,116,28,3.5884329880354926
28,x6,1,4,29,30,61,117,29,3.592362149967812
29,x5,1,2,30,30,62,118,30,3.5961576639674604
30,x3,1,1,31,30,63,119,31,3.5998295160243288
./DatasetB/instance_K3_N30_M90_03.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,303817,4790,30,4820,90,4787,2.9183975100750104
1,x30,0,281977,6152,30,6194,94,4663,3.886486370000057
2,x27,0,251129,3590,30,4595,95,2734,4.021349510061555
3,x21,0,223477,3164,30,4008,96,2008,4.119553302065469
4,x5,1,192804,1889,30,2553,97,1490,4.189337866031565
5,x1,1,164488,1534,30,1979,98,1085,4.238705774070695
6,x18,1,138704,1277,30,1704,99,726,4.278297720011324
7,x3,0,117128,691,30,1026,100,400,4.305887578986585
8,x24,1,102040,372,30,656,101,260,4.325337304035202
