./DatasetB/instance_K3_N30_M90_01.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,50500,1809,30,1839,90,1806,2.177908697980456
1,x8,0,48718,1806,30,2279,90,1592,2.3747772689675912
2,x29,0,47686,1806,30,2237,90,1528,2.3754340490559116
3,x9,1,46543,1806,30,1839,90,1460,2.375992572051473
4,x4,1,46522,1806,30,1838,90,1517,2.3765460869763047
5,x15,0,46468,1806,30,2276,90,1494,2.3771109139779583
6,x12,1,45933,1806,30,2391,90,1548,2.377660659956746
7,x5,0,45449,1806,30,2357,90,1569,2.3782152669737116
8,x16,0,43914,1806,30,2173,90,1406,2.3787661739625037
9,x28,1,43837,1806,30,1846,90,1645,2.3793208410497755
10,x14,1,43264,1806,30,1862,90,1497,2.3798728770343587
11,x3,0,40528,1806,30,1869,90,1363,2.3804275559959933
12,x18,1,40368,1806,30,2060,90,1403,2.3809815170243382
13,x30,0,39776,1806,30,2840,90,1519,2.381545632961206
14,x19,0,37791,1806,30,1890,90,1151,2.382096732966602
15,x21,1,37373,1806,30,2466,90,1353,2.3826506399782375
16,x10,1,37362,1806,30,2038,90,1611,2.383208847953938
17,x7,1,37051,1806,30,2714,90,1469,2.3837682789890096
18,x2,1,36905,1806,30,2687,90,1546,2.3843237550463527
19,x22,1,36141,1806,30,2159,90,1460,2.3848778560059145
20,x26,1,35561,1806,30,2161,90,1419,2.385438058990985
21,x25,1,34692,1806,30,1850,90,1464,2.3859926379518583
22,x17,1,34568,1806,30,1967,90,1384,2.3865431549493223
23,x1,0,33975,1806,30,3006,90,1635,2.387091665994376
24,x23,0,31194,1806,30,2069,90,1571,2.3876618719659746
25,x13,1,29934,1806,30,1928,90,1266,2.388215958024375
26,x11,1,27359,1806,30,1841,90,929,2.388768902979791
27,x27,1,27154,1806,30,2419,90,1406,2.389327332028188
28,x20,1,26969,1806,30,2147,90,1299,2.3898776209680364
29,x6,0,26845,1806,30,2972,90,1662,2.3904359920416027
30,x24,1,25552,1806,30,2679,90,1529,2.390989803010598
31,x24,0,24948,1806,30,2715,90,1292,2.3915399280376732
32,x6,1,23655,1806,30,2957,90,1494,2.392093745060265
33,x20,0,23531,1806,30,2177,90,1184,2.392643794999458
34,x27,0,23346,1806,30,2436,90,1227,2.3932028530398384
35,x11,0,23141,1806,30,1841,90,1014,2.393755879951641
36,x13,0,20566,1806,30,1928,90,1256,2.3943037620047107
37,x23,1,19306,1806,30,2114,90,1375,2.3948527950560674
38,x1,1,16525,1806,30,2895,90,1079,2.3954016979550943
39,x17,0,15932,1806,30,1974,90,802,2.395950749050826
40,x25,0,15808,1806,30,1850,90,479,2.39650083205197
41,x26,0,14939,1806,30,2200,90,765,2.397056799964048
42,x22,0,14359,1806,30,2202,90,905,2.397607206949033
43,x2,0,13595,1806,30,2643,90,884,2.398156843963079
44,x7,0,13449,1806,30,2744,90,910,2.3987067480338737
45,x10,0,13138,1806,30,2010,90,1120,2.3992578230099753
46,x21,0,13127,1806,30,2513,90,838,2.3998056419659406
47,x19,1,12709,1806,30,1890,90,765,2.4003557179821655
48,x30,1,10724,1806,30,2727,90,947,2.4009114620275795
49,x18,0,10132,1806,30,2089,90,775,2.4014707730384544
50,x3,1,9972,1806,30,1869,90,572,2.402023694012314
51,x14,0,7236,1806,30,1862,90,612,2.4025741029763594
52,x28,0,6663,1806,30,1846,90,552,2.403121839975938
53,x16,1,6586,1806,30,2190,90,809,2.4036728149512783
54,x5,1,5051,1806,30,2393,90,583,2.404225368052721
55,x12,0,4567,1806,30,2309,90,504,2.404776058974676
56,x15,1,4032,1806,30,2234,90,510,2.4053365760482848
57,x4,0,3978,1806,30,1838,90,320,2.4058885930571705
58,x9,0,3957,1806,30,1839,90,375,2.406440385035239
59,x29,1,2814,1806,30,2171,90,489,2.406993997981772
60,x8,1,1782,1806,30,2247,90,413,2.407546328031458
./DatasetB/instance_K3_N30_M90_02.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,48499,1982,30,2012,90,1979,2.9128936800407246
1,x1,0,48199,1979,30,2013,90,1827,3.102331905043684
2,x20,0,46668,1979,30,2033,90,1798,3.102895232033916
3,x15,0,45608,1979,30,2400,90,1678,3.103413845063187
4,x30,1,45478,1979,30,2021,90,1608,3.103928958065808
5,x2,1,45280,1979,30,2312,90,1576,3.1044516200199723
6,x28,0,43045,1979,30,2057,90,1472,3.104967927094549
7,x27,1,40987,1979,30,2011,90,1476,3.1054887390928343
8,x18,1,39983,1979,30,2013,90,1863,3.1060058620059863
9,x21,0,39603,1979,30,2275,90,1627,3.1065363730303943
10,x7,1,39443,1979,30,2583,90,1395,3.107056715991348
11,x10,1,39130,1979,30,2065,90,1478,3.1075983790215105
12,x22,1,38647,1979,30,2069,90,1610,3.1081171750556678
13,x14,1,38415,1979,30,2152,90,1143,3.1086382070789114
14,x13,1,37645,1979,30,2568,90,1612,3.1091560890199617
15,x6,0,36376,1979,30,2517,90,1629,3.1096796460915357
16,x12,0,35863,1979,30,2627,90,1789,3.110243492992595
17,x4,0,35414,1979,30,2653,90,1188,3.1107753830729052
18,x5,0,35282,1979,30,2390,90,1511,3.111295038019307
19,x29,0,33960,1979,30,2788,90,1408,3.1118154730647802
20,x23,1,33915,1979,30,2028,90,1758,3.112335681100376
21,x16,0,33875,1979,30,2597,90,1486,3.112855603103526
22,x25,0,33700,1979,30,2725,90,1840,3.1133753600297496
23,x11,0,33665,1979,30,2209,90,1568,3.1138932940084487
24,x17,1,33665,1979,30,2017,90,1328,3.1144190380582586
25,x19,0,33619,1979,30,2389,90,1857,3.11493647901807
26,x8,1,32798,1979,30,2563,90,1224,3.1154548830818385
27,x26,0,32087,1979,30,3230,90,1606,3.115973075036891
28,x9,1,30183,1979,30,2265,90,1684,3.1164916610578075
29,x3,1,28603,1979,30,3369,90,1681,3.117011933005415
30,x24,0,25497,1979,30,2169,90,1294,3.117528647999279
31,x24,1,23002,1979,30,2162,90,1657,3.118045188020915
32,x3,0,19896,1979,30,3147,90,1423,3.118573524057865
33,x9,0,18316,1979,30,2296,90,958,3.1190938310464844
34,x26,1,16412,1979,30,2915,90,1209,3.1196122959954664
35,x8,0,15701,1979,30,2411,90,1191,3.1201316540827975
36,x19,1,14880,1979,30,2385,90,1271,3.1206505260197446
37,x11,1,14834,1979,30,2178,90,870,3.1211671760538593
38,x17,0,14834,1979,30,2017,90,1026,3.121683588018641
39,x25,1,14799,1979,30,2689,90,816,3.122210320085287
40,x16,1,14624,1979,30,2416,90,838,3.1227273190161213
41,x23,0,14584,1979,30,2028,90,854,3.1232440650928766
