./DatasetB/instance_K3_N30_M90_01.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,50500,1809,30,1839,90,1806,2.186551571940072
1,x24,0,24948,2684,30,2715,90,1292,2.2558850640198216
2,x12,1,22544,1528,30,1560,91,963,2.2797598090255633
3,x25,0,8466,947,30,979,92,313,2.300630862941034
4,x11,0,2040,286,30,318,93,155,2.309747578925453
5,x7,0,574,203,30,235,94,88,2.3171409509377554
6,x14,0,0,66,30,98,95,1,2.3236237679375336
7,x18,1,0,1,30,34,96,1,2.3271484290016815
8,x17,1,0,1,30,34,97,1,2.3304946640273556
9,x13,1,0,1,30,34,98,1,2.333813183940947
10,x6,0,0,1,30,34,99,1,2.3371088799322024
11,x2,1,0,1,30,34,100,1,2.3404446189524606
12,x3,0,0,1,30,34,101,1,2.3438384539913386
13,x19,0,0,1,30,34,102,1,2.347237544017844
14,x20,0,0,1,30,34,103,1,2.350618297001347
15,x27,1,0,1,30,34,104,1,2.354047048953362
16,x28,0,0,1,30,34,105,1,2.3575127359945327
17,x5,0,0,1,30,34,106,1,2.3609850939828902
18,x22,1,0,1,30,34,107,1,2.3644465069519356
19,x10,0,0,1,30,34,108,1,2.3679245489183813
20,x9,0,0,1,30,34,109,1,2.3713519759476185
21,x21,0,0,1,30,34,110,1,2.3747516869334504
22,x8,0,0,1,30,34,111,1,2.3781263059936464
23,x30,0,0,1,30,34,112,1,2.3815549860009924
24,x16,1,0,1,30,34,113,1,2.3849179029930383
25,x29,0,0,1,30,34,114,1,2.3882841810118407
26,x15,1,0,1,30,34,115,1,2.39162656001281
27,x26,0,0,1,30,34,116,1,2.3949661729857326
28,x23,1,0,1,30,34,117,1,2.3982686939416453
29,x1,1,0,1,30,34,118,1,2.401607427978888
30,x4,0,0,1,30,34,119,1,2.4049943879945204
./DatasetB/instance_K3_N30_M90_02.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,48499,1982,30,2012,90,1979,2.93363158905413
1,x24,0,25497,2138,30,2169,90,1294,3.02173010900151
2,x12,1,6995,1538,30,1569,91,446,3.0440062120324
3,x25,0,4237,418,30,450,92,264,3.0571585230063647
4,x11,0,2718,264,30,296,93,207,3.0673027290031314
5,x7,0,356,258,30,290,94,107,3.0773732300149277
