./DatasetB/instance_K3_N30_M90_01.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,50500,1809,30,1839,90,1806,2.551808283198625
1,x21,1,37373,3111,30,3142,90,1353,2.6297998351510614
2,x7,1,24594,2491,30,2523,91,958,2.682171847205609
3,x9,1,22246,1307,30,1339,92,745,2.7105592291336507
4,x5,0,18573,1215,30,1247,93,482,2.7281604760792106
5,x16,0,15972,820,30,852,94,335,2.744002486113459
6,x29,0,15756,402,30,434,95,265,2.7568613099865615
7,x14,1,13896,283,30,315,96,208,2.765692103188485
8,x24,1,7164,456,30,488,97,193,2.7735913291107863
9,x23,0,4542,267,30,299,98,161,2.7818733071908355
10,x20,1,2450,234,30,266,99,115,2.790617436170578
11,x13,1,1440,107,30,139,100,62,2.7982160071842372
12,x30,0,944,150,30,182,101,54,2.8056687831413
13,x10,1,636,97,30,129,102,57,2.813303838018328
14,x11,0,336,74,30,106,103,35,2.8205036201979965
15,x6,1,168,31,30,63,104,30,2.8283459211234003
16,x17,1,84,31,30,63,105,30,2.8343506162054837
17,x18,1,56,86,30,117,106,29,2.8403616670984775
18,x27,0,32,67,30,99,107,31,2.8467083731666207
19,x8,0,32,29,30,61,108,29,2.8520039471331984
20,x12,1,32,29,30,61,109,29,2.857325960183516
21,x28,1,16,31,30,63,110,30,2.862663127016276
22,x26,1,16,30,30,62,111,30,2.8679018621332943
23,x22,1,16,30,30,62,112,30,2.873273962177336
24,x2,1,12,64,30,96,113,29,2.8787086301017553
25,x19,1,6,31,30,63,114,30,2.8838799740187824
26,x3,0,6,30,30,62,115,30,2.8888950219843537
27,x1,1,3,32,30,64,116,31,2.8943025420885533
28,x4,1,2,35,30,67,117,30,2.8984450581483543
29,x15,0,2,30,30,62,118,30,2.9027903981041163
30,x25,1,1,32,30,64,119,31,2.906335414154455
./DatasetB/instance_K3_N30_M90_02.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,48499,1982,30,2012,90,1979,3.4101047159638256
1,x21,0,39603,2477,30,2508,90,1627,3.473425311036408
2,x7,1,32867,2313,30,2344,91,1059,3.505910577950999
3,x9,1,20113,1456,30,1488,92,848,3.5429062249604613
4,x5,0,15948,949,30,981,93,658,3.573227701941505
5,x16,0,10452,986,30,1018,94,400,3.597174593945965
6,x29,0,6068,852,30,884,95,266,3.619455215986818
7,x14,1,4400,492,30,524,96,149,3.6384331081062555
8,x24,1,2588,203,30,235,97,135,3.653074477100745
9,x23,1,1960,164,30,196,98,101,3.664086217060685
10,x20,0,1960,87,30,119,99,87,3.674678551964462
11,x13,1,1480,122,30,154,100,71,3.683638171060011
12,x30,1,1480,68,30,100,101,68,3.6925027519464493
13,x10,1,882,102,30,134,102,53,3.700657762121409
14,x11,0,636,83,30,115,103,49,3.7095092199742794
15,x6,0,496,92,30,124,104,41,3.717880106996745
16,x17,0,236,77,30,109,105,37,3.726713079959154
17,x18,1,236,32,30,64,106,32,3.73464750405401
18,x27,1,128,58,30,90,107,30,3.7436119839549065
19,x8,1,80,58,30,90,108,27,3.753004339057952
20,x12,1,40,63,30,95,109,29,3.762155232951045
21,x28,0,40,28,30,60,110,28,3.7695806440897286
22,x26,0,24,78,30,110,111,28,3.7770228351000696
23,x22,1,12,30,30,62,112,29,3.784974887035787
24,x2,1,12,29,30,61,113,29,3.792649308918044
25,x19,1,6,31,30,63,114,30,3.8001586340833455
26,x3,1,3,32,30,64,115,31,3.808046879945323
27,x1,0,3,31,30,63,116,31,3.8155152490362525
28,x4,0,2,88,30,120,117,30,3.8233540549408644
29,x15,0,2,30,30,62,118,30,3.8309585319366306
30,x25,1,1,32,30,64,119,31,3.8376646090764552
./DatasetB/instance_K3_N30_M90_03.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,303817,4790,30,4820,90,4787,3.2913238720502704
1,x21,0,269407,8211,30,8242,90,4195,3.400407465873286
2,x7,1,159821,5400,30,5431,91,3497,3.4987492128275335
3,x9,0,91553,3242,30,3273,92,2188,3.559080649865791
4,x5,1,73447,2926,30,2957,93,1469,3.604694867040962
5,x16,0,57922,1351,30,1382,94,1023,3.6369552239775658
6,x29,0,42594,1239,30,1270,95,662,3.6576291278470308
7,x14,1,16666,937,30,968,96,302,3.6737196249887347
8,x24,1,11282,344,30,375,97,191,3.6851565539836884
9,x23,1,8998,175,30,206,98,143,3.69345155893825
10,x20,0,6594,165,30,196,99,110,3.700772544834763
11,x13,1,5044,144,30,175,100,99,3.707202812889591
12,x30,0,4836,139,30,170,101,73,3.713644325034693
13,x10,0,3416,92,30,123,102,60,3.720433044945821
14,x11,1,1708,57,30,89,103,56,3.7258481038734317
15,x6,1,1256,100,30,132,104,43,3.731269045965746
16,x17,1,672,84,30,116,105,43,3.7372072760481387
17,x18,0,408,74,30,106,106,31,3.7426654070150107
18,x27,1,204,75,30,107,107,33,3.7480603409931064
19,x8,0,144,81,30,113,108,27,3.752143956022337
20,x12,0,96,73,30,105,109,26,3.756706431042403
21,x28,1,96,26,30,58,110,26,3.760714721865952
22,x26,1,96,26,30,58,111,26,3.7642157229129225
23,x22,1,48,28,30,60,112,27,3.767851742915809
24,x2,1,24,29,30,61,113,28,3.7714824080467224
25,x19,0,24,28,30,60,114,28,3.7755831729155034
26,x3,1,12,30,30,62,115,29,3.779606210999191
27,x1,1,8,82,30,114,116,28,3.783407818991691
28,x4,1,4,82,30,114,117,29,3.7871198249049485
29,x15,1,2,31,30,63,118,30,3.790435822913423
30,x25,1,1,32,30,64,119,31,3.7936636100057513
./DatasetB/instance_K3_N30_M90_04.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
