./DatasetB/instance_K3_N30_M90_01.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,50500,1809,30,1839,90,1806,2.175911881029606
1,x21,1,37373,3111,30,3142,90,1353,2.245285935001448
2,x7,1,24594,2491,30,2523,91,958,2.2838888510596007
3,x9,1,22246,1307,30,1339,92,745,2.3137293740874156
4,x5,0,18573,1215,30,1247,93,482,2.332533188047819
5,x16,0,15972,820,30,852,94,335,2.348434418090619
6,x29,0,15756,402,30,434,95,265,2.361595784081146
7,x14,1,13896,283,30,315,96,208,2.3706586560001597
8,x24,1,7164,456,30,488,97,193,2.3787763800937682
9,x23,0,4542,267,30,299,98,161,2.386976474081166
10,x20,1,2450,234,30,266,99,115,2.394337065052241
11,x13,1,1440,107,30,139,100,62,2.4006183390738443
12,x30,0,944,150,30,182,101,54,2.4067815700545907
13,x10,1,636,97,30,129,102,57,2.4130022820318118
14,x11,0,336,74,30,106,103,35,2.418853576062247
15,x6,1,168,31,30,63,104,30,2.4251459980150685
16,x17,1,84,31,30,63,105,30,2.430018140003085
17,x18,1,56,86,30,117,106,29,2.434889496071264
18,x27,0,32,67,30,99,107,31,2.439615879091434
19,x8,0,32,29,30,61,108,29,2.4439869259949774
20,x12,1,32,29,30,61,109,29,2.4483218720415607
21,x28,1,16,31,30,63,110,30,2.4526799391023815
22,x26,1,16,30,30,62,111,30,2.456860420992598
23,x22,1,16,30,30,62,112,30,2.4612228740006685
24,x2,1,12,64,30,96,113,29,2.4656741979997605
25,x19,1,6,31,30,63,114,30,2.4699977700365707
26,x3,0,6,30,30,62,115,30,2.4740778270643204
27,x1,1,3,32,30,64,116,31,2.4784015730256215
28,x4,1,2,35,30,67,117,30,2.482429775991477
29,x15,0,2,30,30,62,118,30,2.486028370098211
30,x25,1,1,32,30,64,119,31,2.4895584150217474
./DatasetB/instance_K3_N30_M90_02.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,48499,1982,30,2012,90,1979,2.922138374997303
1,x21,0,39603,2477,30,2508,90,1627,2.9878654970088974
2,x7,1,32867,2313,30,2344,91,1059,3.0203840570757166
3,x9,1,20113,1456,30,1488,92,848,3.049565458088182
4,x5,0,15948,949,30,981,93,658,3.0690414720447734
5,x16,0,10452,986,30,1018,94,400,3.0846296860836446
6,x29,0,6068,852,30,884,95,266,3.0991446650587022
7,x14,1,4400,492,30,524,96,149,3.1117856700439006
8,x24,1,2588,203,30,235,97,135,3.1216573991114274
9,x23,1,1960,164,30,196,98,101,3.1291414990555495
10,x20,0,1960,87,30,119,99,87,3.136402517091483
11,x13,1,1480,122,30,154,100,71,3.1425382470479235
12,x30,1,1480,68,30,100,101,68,3.148579633096233
13,x10,1,882,102,30,134,102,53,3.1542477540206164
14,x11,0,636,83,30,115,103,49,3.1604005550034344
15,x6,0,496,92,30,124,104,41,3.1662964100250974
16,x17,1,260,77,30,109,105,42,3.1723534910706803
17,x18,1,236,62,30,94,106,32,3.1779528990155086
18,x27,1,128,58,30,90,107,29,3.183100650086999
19,x8,1,80,58,30,90,108,27,3.1880713590653613
20,x12,1,40,63,30,95,109,29,3.19273718399927
21,x28,0,40,28,30,60,110,28,3.1966255250154063
22,x26,0,24,78,30,110,111,28,3.20055722608231
23,x22,1,12,30,30,62,112,29,3.204727147007361
24,x2,1,12,29,30,61,113,29,3.2088186570908874
25,x19,1,6,31,30,63,114,30,3.2128598080016673
26,x3,1,3,32,30,64,115,31,3.2170596070354804
27,x1,0,3,31,30,63,116,31,3.2210368460509926
28,x4,0,2,88,30,120,117,30,3.2251793401082978
29,x15,0,2,30,30,62,118,30,3.2291975060943514
30,x25,1,1,32,30,64,119,31,3.2327965770382434
./DatasetB/instance_K3_N30_M90_03.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,303817,4790,30,4820,90,4787,2.9093428149353713
1,x21,0,269407,8211,30,8242,90,4195,3.0003445909824222
2,x7,1,159821,5400,30,5431,91,3497,3.082569957943633
3,x9,0,91553,3242,30,3273,92,2188,3.142219193978235
4,x5,1,73447,2926,30,2957,93,1469,3.1877064269501716
5,x16,0,57922,1351,30,1382,94,1023,3.2194294430082664
6,x29,0,42594,1239,30,1270,95,662,3.240108817932196
7,x14,0,25928,937,30,968,96,472,3.2568087560357526
8,x24,1,18728,486,30,517,97,274,3.268638120032847
9,x23,1,13978,317,30,348,98,234,3.2785697429208085
10,x20,0,10146,258,30,289,99,185,3.287070811027661
11,x13,1,7274,205,30,236,100,153,3.295806037960574
12,x30,0,5484,310,30,341,101,90,3.3042326000286266
13,x10,0,3180,165,30,196,102,70,3.3112730249995366
14,x11,1,1982,92,30,124,103,63,3.3177886470220983
15,x6,1,1504,106,30,138,104,47,3.3234865149715915
