./DatasetB/instance_K3_N30_M90_01.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,50500,1809,30,1839,90,1806,2.183569476939738
1,x8,0,48718,2248,30,2279,90,1592,2.3791398969478905
2,x29,0,46392,1965,30,1995,91,1386,2.4086390329757705
3,x9,1,42631,1339,30,1369,92,1025,2.4332875929540023
4,x4,1,38941,1016,30,1046,93,807,2.452502800966613
5,x15,0,37425,1069,30,1099,94,670,2.468617951963097
6,x12,1,34388,887,30,918,95,564,2.4824453779729083
7,x5,0,32061,776,30,807,96,518,2.495458086952567
8,x16,0,28588,638,30,669,97,374,2.506847601966001
9,x28,1,24940,346,30,378,98,279,2.5160657319938764
10,x14,1,22196,276,30,307,99,223,2.524886635947041
11,x3,0,16864,218,30,249,100,139,2.5318203379865736
12,x18,1,13528,172,30,203,101,114,2.5383882359601557
13,x30,0,10352,175,30,206,102,87,2.5448559779906645
14,x19,0,9064,103,30,135,103,67,2.5508430879563093
15,x21,1,7968,88,30,120,104,47,2.5566413009073585
16,x10,1,6096,57,30,89,105,37,2.5620737839490175
17,x7,1,3264,57,30,89,106,38,2.5673021120019257
18,x2,1,1920,59,30,90,107,29,2.5719202629989013
19,x22,1,1152,49,30,80,108,24,2.5766490700189024
20,x26,1,768,25,30,57,109,23,2.581246968009509
21,x25,1,384,24,30,56,110,24,2.585599339916371
22,x17,1,256,24,30,56,111,23,2.5897488159826025
23,x1,0,128,24,30,56,112,24,2.593569151009433
24,x23,0,64,25,30,57,113,25,2.5973600909346715
25,x13,1,32,26,30,58,114,26,2.601232656976208
26,x11,1,16,27,30,59,115,27,2.6051345280138776
27,x27,1,8,28,30,60,116,28,2.609040878014639
28,x20,1,4,29,30,61,117,29,2.6129934010095894
29,x6,0,2,30,30,62,118,30,2.6170447659678757
30,x24,1,1,31,30,63,119,31,2.620976123958826
./DatasetB/instance_K3_N30_M90_02.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,48499,1982,30,2012,90,1979,2.919324602931738
1,x1,0,48199,1982,30,2013,90,1827,3.128894182969816
2,x20,0,46368,1810,30,1841,91,1583,3.1625330379465595
3,x15,0,43609,1953,30,1984,92,1401,3.1897435339633375
4,x30,1,41579,1400,30,1431,93,1124,3.2135854000225663
5,x2,1,39799,1292,30,1324,94,879,3.233775871922262
6,x28,0,35415,884,30,915,95,574,3.250325158936903
7,x27,1,31358,567,30,598,96,489,3.2627557819942012
8,x18,1,24260,404,30,435,97,344,3.273985660984181
9,x21,0,20002,472,30,503,98,289,3.2837640260113403
10,x7,1,16078,375,30,406,99,167,3.291865180945024
11,x10,1,13479,156,30,187,100,145,3.299624852021225
12,x22,1,10134,157,30,188,101,129,3.3067528309766203
13,x14,1,9142,142,30,173,102,73,3.3140913989627734
14,x13,1,6462,94,30,125,103,55,3.3208797039696947
15,x6,0,4428,72,30,103,104,37,3.3269645739346743
16,x12,0,3132,62,30,94,105,35,3.332813640940003
17,x4,0,2304,59,30,91,106,29,3.3381302539492026
18,x5,0,1536,56,30,87,107,28,3.343318445025943
19,x29,0,1152,51,30,83,108,26,3.3480591309489682
20,x23,1,704,47,30,78,109,26,3.352569081936963
21,x16,0,352,26,30,58,110,26,3.3569982399931177
22,x25,0,176,27,30,59,111,27,3.3613798859296367
23,x11,0,128,50,30,81,112,24,3.365765628986992
24,x17,1,64,25,30,57,113,25,3.36969609092921
25,x19,0,32,26,30,58,114,26,3.3736120000248775
26,x8,1,16,27,30,59,115,27,3.3775299600092694
27,x26,0,8,28,30,60,116,28,3.3815202249679714
28,x9,1,4,29,30,61,117,29,3.3855475259479135
