./DatasetB/instance_K3_N30_M90_01.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,50500,1809,30,1839,90,1806,2.1993753879796714
1,x8,0,48718,2248,30,2279,90,1592,2.4198409699602053
2,x29,0,46392,1965,30,1995,91,1386,2.4494828999741003
3,x9,1,42631,1339,30,1369,92,1025,2.4741451198933646
4,x4,1,38941,1016,30,1046,93,807,2.4932753309840336
5,x15,0,37425,1069,30,1099,94,670,2.509179846965708
6,x12,1,34388,887,30,918,95,564,2.522858505952172
7,x5,0,32061,776,30,807,96,518,2.535760318976827
8,x16,0,28588,638,30,669,97,374,2.5472613859456033
9,x28,1,24940,346,30,378,98,279,2.556601914926432
10,x14,1,22196,276,30,307,99,223,2.5654611350037158
11,x3,0,16864,218,30,249,100,139,2.572510215919465
12,x18,1,13528,172,30,203,101,114,2.5791445639915764
13,x30,0,10352,175,30,206,102,87,2.5857923409203067
14,x19,0,9064,103,30,135,103,67,2.591873650904745
15,x21,1,7968,88,30,120,104,47,2.5977817409439012
16,x10,1,6096,57,30,89,105,37,2.6032506129704416
17,x7,1,3264,57,30,89,106,38,2.6084458068944514
18,x2,1,1920,59,30,90,107,29,2.6131746309110895
19,x22,1,1152,49,30,80,108,24,2.6179982209578156
20,x26,1,768,25,30,57,109,23,2.62264652189333
21,x25,1,384,24,30,56,110,24,2.6270325439982116
22,x17,1,256,24,30,56,111,23,2.631171579938382
23,x1,0,128,24,30,56,112,24,2.635055933962576
24,x23,0,64,25,30,57,113,25,2.638823711895384
25,x13,1,32,26,30,58,114,26,2.64264800096862
26,x11,1,16,27,30,59,115,27,2.6464579709572718
27,x27,1,8,28,30,60,116,28,2.6502529709832743
28,x20,1,4,29,30,61,117,29,2.6540416319621727
29,x6,0,2,30,30,62,118,30,2.657864578999579
30,x24,1,1,31,30,63,119,31,2.66170021193102
./DatasetB/instance_K3_N30_M90_02.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,48499,1982,30,2012,90,1979,2.9246439720736817
1,x1,0,48199,1982,30,2013,90,1827,3.1164690650766715
2,x20,0,46368,1810,30,1841,91,1583,3.1503208100330085
3,x15,0,43609,1953,30,1984,92,1401,3.1774981030030176
4,x30,1,41579,1400,30,1431,93,1124,3.201194294029847
5,x2,1,39799,1292,30,1324,94,879,3.2211907180026174
6,x28,0,35415,884,30,915,95,574,3.237609105068259
7,x27,1,31358,567,30,598,96,489,3.2498371039982885
8,x18,1,24260,404,30,435,97,344,3.2607714680489153
9,x21,0,20002,472,30,503,98,289,3.2702327630249783
10,x7,1,16078,375,30,406,99,167,3.2780481700319797
11,x10,1,13479,156,30,187,100,145,3.285520386067219
12,x22,1,10134,157,30,188,101,129,3.2924151309998706
13,x14,1,9142,142,30,173,102,73,3.299557054997422
14,x13,1,6462,94,30,125,103,55,3.3062386739766225
15,x6,0,4428,72,30,103,104,37,3.3122524910140783
