./Planning/4step.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,86432,392,165,558,418,391,97.47172477003187
1,x165,1,86432,391,165,558,418,391,97.85101429198403
2,x164,1,86432,391,165,558,419,391,98.23006773099769
3,x162,1,86432,391,165,813,420,391,98.60496613406576
4,x153,1,86432,391,165,811,421,391,98.97835669398773
5,x150,1,86432,391,165,807,422,391,99.35212338506244
6,x147,1,86432,390,165,810,423,390,99.72338556498289
7,x143,1,86432,390,165,810,424,390,100.09376118704677
8,x141,0,86432,390,165,810,425,390,100.46301150601357
9,x139,0,86432,390,165,810,426,390,100.83008921600413
10,x137,1,86432,390,165,810,427,390,101.19441143004224
11,x135,1,86432,390,165,810,428,390,101.55819822906051
12,x134,1,86432,390,165,810,429,390,101.92164474597666
13,x131,1,86432,390,165,810,430,390,102.288711849018
14,x126,1,86432,390,165,810,431,390,102.64962811896112
15,x124,1,86432,390,165,810,432,390,103.00809245696291
16,x123,1,86432,390,165,810,433,390,103.36612109700218
17,x121,1,86432,390,165,810,434,390,103.72303398500662
18,x119,1,86432,390,165,810,435,390,104.07958773896098
19,x118,0,86432,390,165,810,436,390,104.43487847107463
20,x117,1,86432,390,165,810,437,390,104.78968778904527
21,x112,1,86432,390,165,810,438,390,105.14411711506546
22,x111,1,86432,390,165,810,439,390,105.49761293001939
23,x110,1,86432,390,165,810,440,390,105.85014759597834
24,x109,1,86432,390,165,810,441,390,106.19887872401159
25,x108,1,86432,390,165,810,442,390,106.54670326504856
26,x106,1,86432,390,165,810,443,390,106.89433645503595
27,x104,1,86432,390,165,810,444,390,107.23908486496657
28,x103,0,86432,390,165,810,445,390,107.58761152706575
29,x101,1,86432,390,165,810,446,390,107.93391125102062
30,x100,1,86432,390,165,810,447,390,108.27525021100882
31,x99,1,86432,390,165,810,448,390,108.61470819904935
32,x98,1,86432,390,165,810,449,390,108.95288094400894
33,x97,1,86432,390,165,810,450,390,109.2896402219776
34,x96,1,86432,390,165,810,451,390,109.62488481297623
35,x95,1,86432,390,165,810,452,390,109.96143879496958
36,x94,1,86432,390,165,810,453,390,110.29395798698533
37,x93,1,86432,390,165,810,454,390,110.62473846401554
38,x92,1,86432,390,165,810,455,390,110.95523356297053
39,x91,1,86432,390,165,810,456,390,111.28577158995904
40,x90,1,86432,390,165,810,457,390,111.61960314097814
41,x89,1,86432,390,165,810,458,390,111.95088375697378
42,x88,1,86432,390,165,810,459,390,112.2828879209701
43,x87,1,86432,390,165,810,460,390,112.60866099304985
44,x86,1,86432,390,165,810,461,390,112.93438738398254
45,x85,1,86432,390,165,810,462,390,113.25869700906333
46,x84,1,86432,390,165,810,463,390,113.58624224504456
47,x83,1,86432,390,165,810,464,390,113.90784989099484
48,x82,1,86432,390,165,810,465,390,114.22954256401863
49,x77,1,86432,390,165,810,466,390,114.54927739896812
50,x74,0,86432,390,165,810,467,390,114.86593603796791
51,x72,0,86432,390,165,810,468,390,115.18181594298221
52,x65,1,86432,390,165,810,469,390,115.49728764197789
53,x62,0,86432,390,165,810,470,390,115.81211811001413
54,x58,0,86432,390,165,810,471,390,116.12830002896953
55,x57,1,86432,390,165,810,472,390,116.43810308398679
56,x56,1,86432,390,165,810,473,390,116.74617837299593
57,x53,0,86432,390,165,810,474,390,117.05304490798153
58,x49,1,86432,390,165,810,475,390,117.35887190897483
59,x43,0,86432,390,165,810,476,390,117.66549190599471
60,x42,0,86432,390,165,810,477,390,117.96795067703351
61,x38,0,86432,390,165,810,478,390,118.26923787302803
62,x37,0,86432,390,165,810,479,390,118.56940863199998
63,x34,1,86432,390,165,810,480,390,118.86974594800267
64,x27,1,86432,390,165,810,481,390,119.1688527710503
65,x26,1,86432,390,165,810,482,390,119.46688122302294
66,x25,1,86432,390,165,810,483,390,119.7634533670498
67,x24,1,86432,390,165,810,484,390,120.0611117510125
68,x23,1,86432,390,165,810,485,390,120.35606870800257
69,x21,1,86432,390,165,810,486,390,120.65325445006602
70,x20,0,86432,390,165,810,487,390,120.9509840720566
71,x19,1,86432,390,165,810,488,390,121.24145365098957
72,x18,1,86432,390,165,810,489,390,121.53112217702437
73,x17,0,86432,390,165,810,490,390,121.82140953303315
74,x16,1,86432,390,165,810,491,390,122.11307745601516
75,x15,1,86432,390,165,810,492,390,122.40271802106872
76,x14,1,86432,390,165,810,493,390,122.68699587299488
77,x10,1,86432,390,165,810,494,390,122.97042499599047
78,x9,1,86432,390,165,810,495,390,123.25336734799203
79,x2,1,86432,390,165,810,496,390,123.53374176798388
80,x1,1,86432,390,165,810,497,390,123.81212342798244
81,x116,0,85840,469,165,889,498,365,124.08921030804049
82,x114,1,85840,365,165,754,499,365,124.35491584299598
83,x32,0,85840,364,165,751,500,364,124.6163012139732
84,x31,1,85840,364,165,753,501,364,124.8727009340655
