./Planning/4step.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,86432,392,165,558,418,391,97.53356636792887
1,x15,0,0,391,165,558,418,1,97.61235880595632
2,x13,0,0,1,165,169,419,1,97.62121573893819
3,x80,0,0,1,165,169,420,1,97.63027505599894
4,x102,1,0,1,165,169,421,1,97.6393047029851
5,x86,1,0,1,165,169,422,1,97.64830579492263
6,x21,1,0,1,165,169,423,1,97.6572816199623
7,x29,1,0,1,165,169,424,1,97.66626194200944
8,x88,0,0,1,165,169,425,1,97.67528191395104
9,x114,0,0,1,165,169,426,1,97.6843122029677
10,x52,1,0,1,165,169,427,1,97.69331753801089
11,x116,1,0,1,165,169,428,1,97.7023398259189
12,x87,0,0,1,165,169,429,1,97.71137681498658
13,x53,1,0,1,165,169,430,1,97.72039757191669
14,x10,1,0,1,165,169,431,1,97.72941805096343
15,x132,0,0,1,165,169,432,1,97.7384505670052
16,x154,1,0,1,165,169,433,1,97.74747335002758
17,x142,1,0,1,165,169,434,1,97.75652252999134
18,x92,1,0,1,165,169,435,1,97.76557495596353
19,x122,1,0,1,165,169,436,1,97.77458988002036
20,x68,0,0,1,165,169,437,1,97.78361396002583
21,x149,1,0,1,165,169,438,1,97.79262467601802
22,x48,1,0,1,165,169,439,1,97.80163106799591
23,x104,1,0,1,165,169,440,1,97.81063898699358
24,x69,1,0,1,165,169,441,1,97.81965566892177
25,x111,0,0,1,165,169,442,1,97.82865340495482
26,x106,1,0,1,165,169,443,1,97.8376495980192
27,x1,1,0,1,165,169,444,1,97.84665372199379
28,x74,1,0,1,165,169,445,1,97.85568875598256
29,x127,0,0,1,165,169,446,1,97.86471148894634
30,x57,1,0,1,165,169,447,1,97.87372824794147
31,x101,1,0,1,165,169,448,1,97.88273435097653
32,x147,0,0,1,165,169,449,1,97.89177766896319
33,x72,0,0,1,165,169,450,1,97.90078570402693
34,x155,1,0,1,165,169,451,1,97.9097878600005
35,x99,1,0,1,165,169,452,1,97.91880004201084
36,x35,1,0,1,165,169,453,1,97.92781577492133
37,x63,1,0,1,165,169,454,1,97.93695537699386
38,x3,1,0,1,165,169,455,1,97.94597935897764
39,x59,0,0,1,165,169,456,1,97.95539329899475
40,x44,0,0,1,165,169,457,1,97.96451390394941
41,x151,1,0,1,165,169,458,1,97.97354799893219
42,x156,1,0,1,165,169,459,1,97.98255372594576
43,x96,0,0,1,165,169,460,1,97.99160941294394
44,x84,0,0,1,165,169,461,1,98.00066147593316
45,x32,1,0,1,165,169,462,1,98.00970527599566
46,x93,1,0,1,165,169,463,1,98.01871944998857
47,x18,0,0,1,165,169,464,1,98.0277321349131
48,x60,0,0,1,165,169,465,1,98.03673893294763
49,x110,1,0,1,165,169,466,1,98.04574520594906
50,x62,1,0,1,165,169,467,1,98.05475055694114
51,x148,1,0,1,165,169,468,1,98.06377490400337
52,x76,0,0,1,165,169,469,1,98.07278143800795
53,x100,0,0,1,165,169,470,1,98.0817857219372
54,x90,0,0,1,165,169,471,1,98.09080318000633
55,x129,0,0,1,165,169,472,1,98.09982002899051
56,x33,0,0,1,165,169,473,1,98.10882377193775
57,x145,1,0,1,165,169,474,1,98.11781585891731
58,x78,1,0,1,165,169,475,1,98.12682053993922
59,x117,1,0,1,165,169,476,1,98.1358327199705
60,x82,1,0,1,165,169,477,1,98.14487248391379
61,x159,1,0,1,165,169,478,1,98.15390726993792
62,x43,0,0,1,165,169,479,1,98.16291923401877
63,x157,0,0,1,165,169,480,1,98.17192624800373
64,x38,0,0,1,165,169,481,1,98.18090230494272
65,x136,0,0,1,165,169,482,1,98.18989026697818
66,x165,0,0,1,165,169,483,1,98.1988869329216
67,x164,1,0,1,165,169,484,1,98.20790484594181
68,x85,1,0,1,165,169,485,1,98.21692335396074
69,x34,0,0,1,165,169,486,1,98.22593066701666
70,x112,1,0,1,165,169,487,1,98.23492501094006
71,x113,0,0,1,165,169,488,1,98.24390676093753
72,x123,0,0,1,165,169,489,1,98.25289667095058
73,x150,1,0,1,165,169,490,1,98.26190273999237
74,x98,0,0,1,165,169,491,1,98.27092601999175
75,x120,1,0,1,165,169,492,1,98.27994957996998
76,x41,0,0,1,165,169,493,1,98.28894533100538
77,x134,0,0,1,165,169,494,1,98.29795321600977
78,x108,0,0,1,165,169,495,1,98.30696055793669
79,x125,0,0,1,165,169,496,1,98.31597105797846
80,x97,0,0,1,165,169,497,1,98.32496904500294
81,x115,1,0,1,165,169,498,1,98.33396799000911
82,x66,0,0,1,165,169,499,1,98.3429528879933
83,x31,1,0,1,165,169,500,1,98.3519706359366
84,x95,1,0,1,165,169,501,1,98.36098086601123
85,x79,1,0,1,165,169,502,1,98.37030851701275
86,x58,1,0,1,165,169,503,1,98.37942659598775
87,x11,1,0,1,165,169,504,1,98.38850343902595
88,x50,1,0,1,165,169,505,1,98.39755188697018
89,x109,1,0,1,165,169,506,1,98.40660229197238
90,x4,0,0,1,165,169,507,1,98.41564907098655
91,x162,0,0,1,165,169,508,1,98.42470080498606
92,x83,1,0,1,165,169,509,1,98.43373955902644
93,x46,1,0,1,165,169,510,1,98.44291650992818
94,x25,0,0,1,165,169,511,1,98.45195255894214
95,x126,0,0,1,165,169,512,1,98.46097023191396
96,x8,0,0,1,165,169,513,1,98.46999182191212
97,x135,1,0,1,165,169,514,1,98.47905217402149
98,x128,1,0,1,165,169,515,1,98.48811592301354
99,x67,1,0,1,165,169,516,1,98.4971435299376
100,x163,1,0,1,165,169,517,1,98.50616798200645
101,x137,1,0,1,165,169,518,1,98.51518073899206
102,x55,0,0,1,165,169,519,1,98.52421114896424
103,x81,1,0,1,165,169,520,1,98.5332507629646
104,x36,1,0,1,165,169,521,1,98.54228307795711
105,x49,1,0,1,165,169,522,1,98.55134419095702
106,x27,1,0,1,165,169,523,1,98.56037734192796
107,x73,1,0,1,165,169,524,1,98.56942511699162
108,x51,0,0,1,165,169,525,1,98.57846406195313
109,x138,1,0,1,165,169,526,1,98.58750481600873
110,x28,1,0,1,165,169,527,1,98.59654127492104
111,x94,0,0,1,165,169,528,1,98.60554831498303
112,x118,1,0,1,165,169,529,1,98.61457125796005
113,x130,1,0,1,165,169,530,1,98.62359798001125
114,x19,1,0,1,165,169,531,1,98.63264193094801
115,x153,1,0,1,165,169,532,1,98.64166296401527
116,x152,0,0,1,165,169,533,1,98.65067439898849
117,x140,0,0,1,165,169,534,1,98.65969887597021
118,x121,0,0,1,165,169,535,1,98.66872386494651
119,x71,0,0,1,165,169,536,1,98.67773096298333
120,x146,0,0,1,165,169,537,1,98.68675009801518
121,x141,0,0,1,165,169,538,1,98.69576506898738
122,x143,1,0,1,165,169,539,1,98.704745839932
123,x160,0,0,1,165,169,540,1,98.71372805791907
124,x39,1,0,1,165,169,541,1,98.72272884496488
125,x91,0,0,1,165,169,542,1,98.73175422998611
126,x23,0,0,1,165,169,543,1,98.74080626294017
127,x54,1,0,1,165,169,544,1,98.74981625494547
128,x47,0,0,1,165,169,545,1,98.75880179996602
129,x65,0,0,1,165,169,546,1,98.76779085898306
130,x26,1,0,1,165,169,547,1,98.77678613900207
131,x89,0,0,1,165,169,548,1,98.78614365693647
132,x158,1,0,1,165,169,549,1,98.79521496291272
133,x9,0,0,1,165,169,550,1,98.8043030690169
134,x40,0,0,1,165,169,551,1,98.8133347890107
135,x103,0,0,1,165,169,552,1,98.82234262302518
136,x12,0,0,1,165,169,553,1,98.83134477492422
137,x144,0,0,1,165,169,554,1,98.84033683896996
138,x7,0,0,1,165,169,555,1,98.8493599499343
139,x131,1,0,1,165,169,556,1,98.85836849093903
140,x119,0,0,1,165,169,557,1,98.86741179099772
141,x42,0,0,1,165,169,558,1,98.87641729193274
142,x139,0,0,1,165,169,559,1,98.88539004302584
143,x75,0,0,1,165,169,560,1,98.89439231401775
144,x45,0,0,1,165,169,561,1,98.90342827199493
145,x107,0,0,1,165,169,562,1,98.91244224493857
146,x14,0,0,1,165,169,563,1,98.92144411301706
147,x16,0,0,1,165,169,564,1,98.9304466509493
148,x56,1,0,1,165,169,565,1,98.93956202501431
149,x24,1,0,1,165,169,566,1,98.94852769898716
150,x133,1,0,1,165,169,567,1,98.95751730399206
151,x105,0,0,1,165,169,568,1,98.96648945694324
152,x22,1,0,1,165,169,569,1,98.97546891798265
153,x77,0,0,1,165,169,570,1,98.9844475419959
154,x61,0,0,1,165,169,571,1,98.99342039902695
155,x6,1,0,1,165,169,572,1,99.00242388492916
156,x161,0,0,1,165,169,573,1,99.0114352760138
157,x64,0,0,1,165,169,574,1,99.02045670396183
158,x70,1,0,1,165,169,575,1,99.02947134897113
159,x37,0,0,1,165,169,576,1,99.03845297591761
160,x20,0,0,1,165,169,577,1,99.0474539300194
161,x2,0,0,1,165,169,578,1,99.056428000913
162,x5,1,0,1,165,169,579,1,99.06542378093582
