./Planning/pddlXpSym/coins/coins_p01_p_t1.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,6965239036193538048,1819,200,2020,481,1817,32.424832412973046
1,x132,1,6965239036193538048,1817,200,2081,481,1817,33.39100682293065
2,x129,1,6965239036193538048,1817,200,2081,482,1817,34.368329347111285
3,x119,1,6965239036193538048,1817,200,2081,483,1817,35.338128980016336
4,x115,1,6965239036193538048,1817,200,2081,484,1817,36.3003818790894
5,x68,1,6965239036193538048,1817,200,2081,485,1817,37.25709310290404
6,x65,1,6965239036193538048,1817,200,2081,486,1817,38.21596173290163
7,x45,1,6965239036193538048,1817,200,2081,487,1817,39.161812013946474
8,x44,0,6965239036193538048,1817,200,2081,488,1817,40.10291933710687
9,x42,0,6965239036193538048,1817,200,2081,489,1817,41.056834642076865
10,x40,0,6965239036193538048,1817,200,2081,490,1817,41.99178068106994
11,x38,0,6965239036193538048,1817,200,2081,491,1817,42.921931663993746
12,x34,0,6965239036193538048,1817,200,2081,492,1817,43.86563238897361
13,x32,0,6965239036193538048,1817,200,2081,493,1817,44.79933476401493
14,x30,0,6965239036193538048,1817,200,2081,494,1817,45.724069949937984
15,x28,0,6965239036193538048,1817,200,2081,495,1817,46.65445443498902
16,x26,0,6965239036193538048,1817,200,2081,496,1817,47.58614315907471
17,x24,0,6965239036193538048,1817,200,2081,497,1817,48.514810759108514
18,x22,0,6965239036193538048,1817,200,2081,498,1817,49.449774315115064
19,x20,0,6965239036193538048,1817,200,2081,499,1817,50.37044965894893
20,x16,0,6965239036193538048,1817,200,2081,500,1817,51.28739543398842
21,x14,0,6965239036193538048,1817,200,2081,501,1817,52.20706781302579
22,x12,0,6965239036193538048,1817,200,2081,502,1817,53.11987876193598
23,x10,0,6965239036193538048,1817,200,2081,503,1817,54.028873261995614
24,x7,1,6965239036193538048,1817,200,2081,504,1817,54.93878797395155
25,x3,1,6965239036193538048,1817,200,2081,505,1817,55.836598658934236
26,x75,0,6127358399270092800,2022,200,2286,506,1629,56.736618283903226
27,x51,0,6127358399270092800,1595,200,1859,507,1595,57.605514463968575
28,x74,0,5682768673555611648,1744,200,2008,508,1481,58.45963184302673
29,x46,0,5682768673555611648,1474,200,1738,509,1474,59.30157274706289
30,x86,0,5118481713994924032,1821,200,2085,510,1347,60.1381782121025
31,x62,0,5118481713994924032,1253,200,1517,511,1253,60.92858336796053
32,x85,0,4810688826961821696,1758,200,2022,512,1201,61.71832537301816
33,x57,0,4810688826961821696,1172,200,1436,513,1172,62.49305855995044
34,x163,0,4075405819049410560,1402,200,1666,514,1005,63.25703010009602
35,x165,0,3625116225056538624,1381,200,1645,515,882,63.99551440309733
36,x125,1,3625116225056538624,832,200,1096,516,832,64.71321400394663
37,x83,0,3625116225056538624,829,200,1093,517,829,65.41550095798448
38,x76,0,3625116225056538624,812,200,1076,518,812,66.1125877420418
39,x56,0,3625116225056538624,809,200,1073,519,809,66.81325196102262
40,x47,0,3625116225056538624,807,200,1071,520,807,67.50517772696912
41,x166,0,3362922284250562560,1187,200,1451,521,762,68.2073806929402
42,x84,0,3362922284250562560,747,200,1011,522,747,68.88388239801861
43,x52,0,3362922284250562560,745,200,1009,523,745,69.55477616703138
44,x162,0,3226125445569183744,996,200,1260,524,719,70.22212576703168
45,x161,0,3140627421393321984,922,200,1186,525,679,70.88955940795131
46,x164,0,3032329924103897088,905,200,1169,526,636,71.5363610999193
47,x77,0,3032329924103897088,622,200,886,527,622,72.16858306294307
48,x61,0,3032329924103897088,616,200,880,528,616,72.80484587606043
49,x168,0,2963931504763207680,926,200,1190,529,601,73.43748050392605
50,x167,0,2918332558536081408,904,200,1168,530,568,74.07692689192481
51,x157,0,2756202971950743552,967,200,1231,531,549,74.7246058320161
52,x156,0,2603080584620146688,689,200,953,532,538,75.35516052995808
53,x149,0,2449958197289549824,956,200,1220,533,535,75.96812203410082
54,x148,0,2305843009213693952,680,200,944,534,532,76.59894266910851
55,x145,0,2161727821137838080,674,200,938,535,530,77.2032506049145
56,x160,0,2026619832316723200,919,200,1183,536,529,77.82537228707224
57,x153,0,1891511843495608320,671,200,935,537,527,78.43137702089734
58,x152,0,1765411053929234432,915,200,1179,538,527,79.0289856090676
59,x134,0,1544734672188080128,884,200,1148,539,525,79.62413711403497
60,x133,0,1351642838164570112,773,200,1037,540,523,80.20773491705768
61,x23,0,1158551004141060096,657,200,921,541,511,80.79223600495607
62,x11,0,1158551004141060096,509,200,773,542,509,81.37239054893143
63,x25,0,1062005087129305088,651,200,915,543,504,81.95947331306525
64,x13,0,1062005087129305088,500,200,764,544,500,82.52544663008302
65,x41,0,910290074682261504,874,200,1138,545,493,83.10017962893471
66,x29,0,910290074682261504,493,200,757,546,493,83.66842801892199
67,x43,0,834432568458739712,855,200,1119,547,481,84.22616864205338
68,x31,0,834432568458739712,481,200,745,548,481,84.78225170401856
69,x143,1,717090488519229440,575,200,839,549,479,85.34449247806333
70,x144,1,616249638571212800,519,200,783,550,478,85.89928711089306
71,x19,0,504204249740083200,623,200,886,551,472,86.44513705605641
72,x15,0,504204249740083200,471,200,732,552,471,86.98427995899692
73,x21,0,448181555324518400,611,200,874,553,469,87.5301046690438
74,x17,0,448181555324518400,469,200,730,554,469,88.07005492295139
75,x39,0,366693999810969600,830,200,1093,555,466,88.60490243602544
76,x35,0,366693999810969600,466,200,727,556,466,89.13917786697857
77,x37,0,325950222054195200,830,200,1093,557,464,89.67415537801571
78,x33,0,325950222054195200,464,200,725,558,464,90.19699413096532
79,x141,0,257796993806499840,519,200,780,559,459,90.72503744298592
80,x137,0,203893986010595328,564,200,813,560,455,91.24371958291158
81,x135,0,154678196283899904,539,200,788,561,451,91.76413378701545
82,x139,0,117342079939510272,486,200,735,562,447,92.28923847409897
83,x136,0,88895515105689600,517,200,764,563,445,92.80572408996522
84,x140,0,67345087201280000,470,200,717,564,443,93.31782754790038
85,x82,0,48103633715200000,701,200,947,565,417,93.82941814605147
86,x64,0,48103633715200000,412,200,658,566,412,94.33422272303142
87,x158,0,40888088657920000,728,200,974,567,412,94.83577345707454
88,x124,0,33672543600640000,685,200,931,568,356,95.3290799530223
89,x150,0,33672543600640000,344,200,590,569,344,95.76422951603308
90,x123,1,33672543600640000,344,200,590,570,344,96.18750817002729
91,x81,0,33672543600640000,344,200,590,571,344,96.61153316800483
92,x59,0,33672543600640000,344,200,590,572,344,97.03392360499129
93,x36,0,33672543600640000,344,200,590,573,344,97.45592729910277
94,x27,1,33672543600640000,344,200,590,574,344,97.87231575511396
95,x126,1,28518582845440000,597,200,843,575,343,98.29072896903381
96,x73,0,20959440404480000,486,200,732,576,321,98.706926709041
97,x63,0,20959440404480000,321,200,567,577,321,99.11387339909561
98,x154,0,18124761989120000,447,200,693,578,322,99.51996032288298
99,x122,0,15290083573760000,436,200,682,579,275,99.92346789198928
100,x146,0,15290083573760000,275,200,521,580,275,100.27605648292229
101,x121,1,15290083573760000,275,200,521,581,275,100.62196845700964
102,x72,0,15290083573760000,263,200,509,582,263,100.96293182810768
103,x58,0,15290083573760000,262,200,508,583,262,101.30497025093064
104,x18,0,15290083573760000,259,200,505,584,259,101.64861662103795
105,x9,1,15290083573760000,259,200,505,585,259,101.98543610610068
106,x142,0,11008860173107200,302,200,548,586,250,102.32019680389203
107,x200,1,8256645129830400,297,200,499,587,249,102.64550270792097
108,x138,0,5944784493477888,325,200,574,588,240,102.96564036794007
109,x196,1,4458588370108416,320,200,569,589,239,103.27815971709788
110,x174,1,2805403918270464,374,200,623,590,214,103.58265187893994
111,x80,1,2805403918270464,214,200,463,591,214,103.86306839995086
112,x54,1,2805403918270464,214,200,463,592,214,104.13922331109643
113,x112,1,1870269278846976,253,200,502,593,205,104.41395717393607
114,x111,0,1870269278846976,205,200,408,594,205,104.67167855007574
115,x102,1,1870269278846976,205,200,408,595,205,104.92739577498287
116,x101,1,1870269278846976,205,200,408,596,205,105.18134586210363
117,x100,0,1870269278846976,205,200,408,597,205,105.43412243807688
118,x99,0,1870269278846976,205,200,408,598,205,105.68589643691666
119,x107,1,1246846185897984,268,200,471,599,196,105.93641063198447
120,x106,0,1246846185897984,196,200,399,600,196,106.16986384708434
121,x94,1,1246846185897984,196,200,399,601,196,106.40138159389608
122,x93,1,1246846185897984,196,200,399,602,196,106.63106485991739
123,x92,0,1246846185897984,196,200,399,603,196,106.85974510503002
124,x91,0,1246846185897984,196,200,399,604,196,107.08670770190656
125,x110,0,831230790598656,222,200,425,605,193,107.3121019299142
126,x98,0,831230790598656,193,200,396,606,193,107.52707969397306
127,x97,0,831230790598656,193,200,396,607,193,107.74006747896783
128,x109,0,554153860399104,223,200,426,608,190,107.95214396389201
129,x96,0,554153860399104,190,200,393,609,190,108.1574027040042
130,x95,0,554153860399104,190,200,393,610,190,108.35934848501347
131,x105,0,369435906932736,234,200,437,611,187,108.56092573096976
132,x90,0,369435906932736,187,200,390,612,187,108.7553011609707
133,x89,0,369435906932736,187,200,390,613,187,108.94530876795761
134,x104,0,246290604621824,235,200,438,614,184,109.13474572193809
135,x88,0,246290604621824,184,200,387,615,184,109.31841096910648
136,x87,0,246290604621824,184,200,387,616,184,109.49495503888465
137,x170,1,140737488355328,282,200,485,617,180,109.66981722507626
138,x71,1,140737488355328,180,200,383,618,180,109.8408482640516
139,x53,1,140737488355328,180,200,383,619,180,110.00792363588698
140,x173,1,70368744177664,296,200,499,620,178,110.17360277706757
141,x79,1,70368744177664,178,200,381,621,178,110.33605395397171
142,x49,1,70368744177664,178,200,381,622,178,110.49487988301553
143,x169,1,35184372088832,272,200,475,623,176,110.65245166490786
144,x70,1,35184372088832,176,200,379,624,176,110.80144888604991
145,x48,1,35184372088832,176,200,379,625,176,110.94941128394566
146,x131,1,17592186044416,177,200,380,626,175,111.0959584589582
147,x67,1,17592186044416,175,200,378,627,175,111.23830853309482
148,x130,1,8796093022208,179,200,382,628,174,111.38117750408128
149,x66,1,8796093022208,174,200,377,629,174,111.51775135891512
150,x128,1,4398046511104,279,200,482,630,173,111.6575028130319
151,x60,1,4398046511104,173,200,376,631,173,111.77889206097461
152,x127,1,2199023255552,192,200,395,632,172,111.88204716308974
153,x55,1,2199023255552,172,200,375,633,172,111.9795165299438
154,x120,1,1099511627776,185,200,388,634,171,112.07612812588923
155,x8,1,1099511627776,171,200,374,635,171,112.17299729492515
156,x118,1,549755813888,181,200,384,636,170,112.26967820106074
157,x6,1,549755813888,170,200,373,637,170,112.36623137211427
158,x117,1,274877906944,177,200,380,638,169,112.45897463988513
159,x5,1,274877906944,169,200,372,639,169,112.5523529809434
160,x116,1,137438953472,173,200,376,640,168,112.64219493907876
161,x4,1,137438953472,168,200,371,641,168,112.73153679189272
162,x114,1,68719476736,169,200,372,642,167,112.81723799509928
163,x2,1,68719476736,167,200,370,643,167,112.90341484290548
164,x113,1,34359738368,168,200,371,644,166,112.98999001109041
165,x1,1,34359738368,166,200,369,645,166,113.07059034798294
166,x199,1,17179869184,167,200,369,646,167,113.150288912002
167,x198,1,8589934592,168,200,370,647,168,113.22964142006822
168,x197,1,4294967296,169,200,371,648,169,113.3085786649026
169,x195,1,2147483648,170,200,372,649,170,113.38992743403651
170,x194,1,1073741824,171,200,373,650,171,113.46872298792005
171,x193,1,536870912,172,200,374,651,172,113.54583102697507
172,x192,1,268435456,173,200,375,652,173,113.62217034306377
173,x191,1,134217728,174,200,376,653,174,113.69740453409031
174,x190,1,67108864,175,200,377,654,175,113.77136647910811
175,x189,1,33554432,176,200,378,655,176,113.84421064704657
176,x188,1,16777216,177,200,379,656,177,113.91587625304237
177,x187,1,8388608,178,200,380,657,178,113.98718544002622
178,x186,1,4194304,179,200,381,658,179,114.0564458980225
179,x185,1,2097152,180,200,382,659,180,114.12403523200192
180,x184,1,1048576,181,200,383,660,181,114.18983367597684
181,x183,1,524288,182,200,384,661,182,114.25381066696718
182,x182,1,262144,183,200,385,662,183,114.31602101493627
183,x181,1,131072,184,200,386,663,184,114.37653577909805
184,x180,1,65536,185,200,387,664,185,114.43437716807239
185,x179,1,32768,186,200,388,665,186,114.4905375300441
186,x178,1,16384,187,200,389,666,187,114.54419540707022
187,x177,1,8192,188,200,390,667,188,114.60024522105232
188,x176,1,4096,189,200,391,668,189,114.64946710993536
189,x175,1,2048,190,200,392,669,190,114.69642338901758
190,x172,1,1024,191,200,393,670,191,114.74062747508287
191,x171,1,512,192,200,394,671,192,114.78217963897623
192,x159,1,256,193,200,395,672,193,114.8208224689588
193,x155,1,128,194,200,396,673,194,114.85649389307946
194,x151,1,64,195,200,397,674,195,114.88902778690681
195,x147,1,32,196,200,398,675,196,114.91853079595603
196,x108,1,16,197,200,399,676,197,114.94489944004454
197,x103,1,8,198,200,400,677,198,114.96798223699443
198,x78,1,4,199,200,401,678,199,114.98774683708325
199,x69,1,2,200,200,402,679,200,115.00399911706336
200,x50,1,1,201,200,403,680,201,115.01678443490528
./Planning/pddlXpSym/coins/coins_p01_p_t2.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,5783385614313398221707241586688,34493,368,34862,949,34491,1057.6407881339546
./Planning/pddlXpSym/coins/coins_p02_p_t1.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,6965239036193538048,1819,200,2020,481,1817,32.3821532051079
1,x132,1,6965239036193538048,1817,200,2081,481,1817,33.35011473298073
2,x129,1,6965239036193538048,1817,200,2081,482,1817,34.33014813601039
3,x119,1,6965239036193538048,1817,200,2081,483,1817,35.302990942960605
4,x115,1,6965239036193538048,1817,200,2081,484,1817,36.27460153307766
5,x68,1,6965239036193538048,1817,200,2081,485,1817,37.24532632599585
6,x65,1,6965239036193538048,1817,200,2081,486,1817,38.216896791011095
7,x45,1,6965239036193538048,1817,200,2081,487,1817,39.17774465191178
8,x44,0,6965239036193538048,1817,200,2081,488,1817,40.13339327508584
9,x42,0,6965239036193538048,1817,200,2081,489,1817,41.09362288797274
10,x40,0,6965239036193538048,1817,200,2081,490,1817,42.03860805905424
11,x38,0,6965239036193538048,1817,200,2081,491,1817,42.97212938312441
12,x34,0,6965239036193538048,1817,200,2081,492,1817,43.915391508024186
13,x32,0,6965239036193538048,1817,200,2081,493,1817,44.842859929893166
14,x30,0,6965239036193538048,1817,200,2081,494,1817,45.77412425703369
15,x28,0,6965239036193538048,1817,200,2081,495,1817,46.71682406193577
16,x26,0,6965239036193538048,1817,200,2081,496,1817,47.63663876103237
17,x24,0,6965239036193538048,1817,200,2081,497,1817,48.55985557404347
18,x22,0,6965239036193538048,1817,200,2081,498,1817,49.49278744892217
19,x20,0,6965239036193538048,1817,200,2081,499,1817,50.41591945104301
20,x16,0,6965239036193538048,1817,200,2081,500,1817,51.33871000306681
21,x14,0,6965239036193538048,1817,200,2081,501,1817,52.268418116960675
22,x12,0,6965239036193538048,1817,200,2081,502,1817,53.1871337920893
23,x10,0,6965239036193538048,1817,200,2081,503,1817,54.102827029069886
24,x7,1,6965239036193538048,1817,200,2081,504,1817,55.00708091398701
25,x3,1,6965239036193538048,1817,200,2081,505,1817,55.90112756099552
26,x75,0,6127358399270092800,2022,200,2286,506,1629,56.800927883945405
27,x51,0,6127358399270092800,1595,200,1859,507,1595,57.664563762024045
28,x74,0,5682768673555611648,1744,200,2008,508,1481,58.52048056805506
29,x46,0,5682768673555611648,1474,200,1738,509,1474,59.36428038496524
30,x86,0,5118481713994924032,1821,200,2085,510,1347,60.19588966900483
31,x62,0,5118481713994924032,1253,200,1517,511,1253,60.9892828729935
32,x85,0,4810688826961821696,1758,200,2022,512,1201,61.782281992956996
33,x57,0,4810688826961821696,1172,200,1436,513,1172,62.5619424469769
34,x163,0,4075405819049410560,1402,200,1666,514,1005,63.333362048026174
35,x165,0,3625116225056538624,1381,200,1645,515,882,64.0679301279597
36,x125,1,3625116225056538624,832,200,1096,516,832,64.78402851102874
37,x83,0,3625116225056538624,829,200,1093,517,829,65.48275502491742
38,x76,0,3625116225056538624,812,200,1076,518,812,66.17685078107752
39,x56,0,3625116225056538624,809,200,1073,519,809,66.87075742590241
40,x47,0,3625116225056538624,807,200,1071,520,807,67.56599079607986
41,x166,0,3362922284250562560,1187,200,1451,521,762,68.26015582098626
42,x84,0,3362922284250562560,747,200,1011,522,747,68.94331821403466
43,x52,0,3362922284250562560,745,200,1009,523,745,69.61503081209958
44,x162,0,3226125445569183744,996,200,1260,524,719,70.28021108498797
45,x161,0,3140627421393321984,922,200,1186,525,679,70.95214917790145
46,x164,0,3032329924103897088,905,200,1169,526,636,71.60453874710947
47,x77,0,3032329924103897088,622,200,886,527,622,72.2456512011122
48,x61,0,3032329924103897088,616,200,880,528,616,72.88069070898928
49,x168,0,2963931504763207680,926,200,1190,529,601,73.51590168406256
50,x167,0,2918332558536081408,904,200,1168,530,568,74.16482465597801
51,x157,0,2756202971950743552,967,200,1231,531,549,74.81387973600067
52,x156,0,2603080584620146688,689,200,953,532,538,75.43997091893107
53,x149,0,2449958197289549824,956,200,1220,533,535,76.05263161309995
54,x148,0,2305843009213693952,680,200,944,534,532,76.69001548807137
55,x145,0,2161727821137838080,674,200,938,535,530,77.30335697904229
56,x160,0,2026619832316723200,919,200,1183,536,529,77.93507881299593
57,x153,0,1891511843495608320,671,200,935,537,527,78.55201747291721
58,x152,0,1765411053929234432,915,200,1179,538,527,79.15286444104277
59,x134,0,1544734672188080128,884,200,1148,539,525,79.7486634911038
60,x133,0,1351642838164570112,773,200,1037,540,523,80.33185347099788
61,x23,0,1158551004141060096,657,200,921,541,511,80.92129739606753
62,x11,0,1158551004141060096,509,200,773,542,509,81.5052768511232
63,x25,0,1062005087129305088,651,200,915,543,504,82.10503338207491
64,x13,0,1062005087129305088,500,200,764,544,500,82.68590351706371
65,x41,0,910290074682261504,874,200,1138,545,493,83.26784826512448
66,x29,0,910290074682261504,493,200,757,546,493,83.84723696601577
67,x43,0,834432568458739712,855,200,1119,547,481,84.42111797491089
68,x31,0,834432568458739712,481,200,745,548,481,84.998949049972
69,x143,1,717090488519229440,575,200,839,549,479,85.57098572305404
70,x144,1,616249638571212800,519,200,783,550,478,86.13907123799436
71,x19,0,504204249740083200,623,200,886,551,472,86.70372953591868
