./Planning/pddlXpSym/coins/coins_p01_p_t1.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,6965239036193538048,1819,200,2020,481,1817,32.49622758105397
1,x132,1,6965239036193538048,1817,200,2081,481,1817,33.44136310508475
2,x129,1,6965239036193538048,1817,200,2081,482,1817,34.39232808118686
3,x119,1,6965239036193538048,1817,200,2081,483,1817,35.341789266094565
4,x115,1,6965239036193538048,1817,200,2081,484,1817,36.28227266808972
5,x68,1,6965239036193538048,1817,200,2081,485,1817,37.21915065217763
6,x65,1,6965239036193538048,1817,200,2081,486,1817,38.16307421005331
7,x45,1,6965239036193538048,1817,200,2081,487,1817,39.08729571918957
8,x44,0,6965239036193538048,1817,200,2081,488,1817,40.00964093906805
9,x42,0,6965239036193538048,1817,200,2081,489,1817,40.934366401983425
10,x40,0,6965239036193538048,1817,200,2081,490,1817,41.848923358134925
11,x38,0,6965239036193538048,1817,200,2081,491,1817,42.7616919321008
12,x34,0,6965239036193538048,1817,200,2081,492,1817,43.69556203507818
13,x32,0,6965239036193538048,1817,200,2081,493,1817,44.60149569506757
14,x30,0,6965239036193538048,1817,200,2081,494,1817,45.506391559029
15,x28,0,6965239036193538048,1817,200,2081,495,1817,46.41409105109051
16,x26,0,6965239036193538048,1817,200,2081,496,1817,47.312433320097625
17,x24,0,6965239036193538048,1817,200,2081,497,1817,48.21008671307936
18,x22,0,6965239036193538048,1817,200,2081,498,1817,49.107884482014924
19,x20,0,6965239036193538048,1817,200,2081,499,1817,49.99735362106003
20,x16,0,6965239036193538048,1817,200,2081,500,1817,50.885814619017765
21,x14,0,6965239036193538048,1817,200,2081,501,1817,51.77426758897491
22,x12,0,6965239036193538048,1817,200,2081,502,1817,52.65404535108246
23,x10,0,6965239036193538048,1817,200,2081,503,1817,53.53875281219371
24,x7,1,6965239036193538048,1817,200,2081,504,1817,54.4197407651227
