./Planning/pddlXpSym/coins/coins_p01_p_t1.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,6965239036193538048,1819,200,2020,481,1817,32.11543011199683
1,x10,0,6965239036193538048,1817,200,2019,481,1817,33.91936060693115
2,x115,1,6965239036193538048,1817,200,2019,482,1817,34.054847202962264
3,x119,1,6965239036193538048,1817,200,2019,483,1817,34.19281526794657
4,x12,0,6965239036193538048,1817,200,2019,484,1817,34.32459912193008
5,x129,1,6965239036193538048,1817,200,2019,485,1817,34.45746444701217
6,x132,1,6965239036193538048,1817,200,2019,486,1817,34.59522693604231
7,x14,0,6965239036193538048,1817,200,2019,487,1817,34.72657969594002
8,x16,0,6965239036193538048,1817,200,2019,488,1817,34.85966833308339
9,x20,0,6965239036193538048,1817,200,2019,489,1817,34.997253072913736
10,x22,0,6965239036193538048,1817,200,2019,490,1817,35.1286193120759
11,x24,0,6965239036193538048,1817,200,2019,491,1817,35.261472845915705
12,x26,0,6965239036193538048,1817,200,2019,492,1817,35.39903991203755
13,x28,0,6965239036193538048,1817,200,2019,493,1817,35.53351565403864
14,x3,1,6965239036193538048,1817,200,2019,494,1817,35.667274008039385
15,x30,0,6965239036193538048,1817,200,2019,495,1817,35.80517093394883
16,x32,0,6965239036193538048,1817,200,2019,496,1817,35.93646005704068
17,x34,0,6965239036193538048,1817,200,2019,497,1817,36.06908508599736
18,x38,0,6965239036193538048,1817,200,2019,498,1817,36.206741800066084
19,x40,0,6965239036193538048,1817,200,2019,499,1817,36.338195662014186
20,x42,0,6965239036193538048,1817,200,2019,500,1817,36.47096198098734
21,x44,0,6965239036193538048,1817,200,2019,501,1817,36.608517283108085
22,x45,1,6965239036193538048,1817,200,2019,502,1817,36.73979917005636
23,x65,1,6965239036193538048,1817,200,2019,503,1817,36.87266020802781
24,x68,1,6965239036193538048,1817,200,2019,504,1817,37.010543924057856
25,x7,1,6965239036193538048,1817,200,2019,505,1817,37.1418417498935
26,x145,0,6578281311960563712,1960,200,2162,506,1816,37.27451824489981
27,x148,0,6191323587727589376,1967,200,2169,507,1816,37.41139044589363
28,x149,0,5847361166187167744,3200,200,3402,508,1814,37.543549326015636
29,x152,0,5503398744646746112,3042,200,3244,509,1813,37.67923054401763
30,x153,0,5159436323106324480,1954,200,2156,510,1811,37.81981379305944
31,x156,0,4815473901565902848,1958,200,2160,511,1810,37.9517371840775
32,x157,0,4514506782718033920,3191,200,3393,512,1807,38.085863495012745
33,x160,0,4213539663870164992,3029,200,3231,513,1805,38.22490866505541
34,x11,0,3611605426174427136,1946,200,2148,514,1798,38.35224191099405
35,x13,0,3310638307326558208,1936,200,2138,515,1789,38.478683832101524
36,x15,0,2708704069630820352,1947,200,2149,516,1783,38.61063014692627
37,x17,0,2407736950782951424,1917,200,2119,517,1770,38.74027307610959
