./Planning/pddlXpSym/coins/coins_p01_p_t1.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,6965239036193538048,1819,200,2020,481,1817,32.38621432404034
1,x10,0,6965239036193538048,1817,200,2019,481,1817,34.15959575003944
2,x115,1,6965239036193538048,1817,200,2019,482,1817,34.295580341946334
3,x119,1,6965239036193538048,1817,200,2019,483,1817,34.43385340203531
4,x12,0,6965239036193538048,1817,200,2019,484,1817,34.5658829130698
5,x129,1,6965239036193538048,1817,200,2019,485,1817,34.699421423021704
6,x132,1,6965239036193538048,1817,200,2019,486,1817,34.837679177057
7,x14,0,6965239036193538048,1817,200,2019,487,1817,34.96956580411643
8,x16,0,6965239036193538048,1817,200,2019,488,1817,35.10298050404526
9,x20,0,6965239036193538048,1817,200,2019,489,1817,35.24132253602147
10,x22,0,6965239036193538048,1817,200,2019,490,1817,35.376403456088156
11,x24,0,6965239036193538048,1817,200,2019,491,1817,35.510692012961954
12,x26,0,6965239036193538048,1817,200,2019,492,1817,35.64888064307161
13,x28,0,6965239036193538048,1817,200,2019,493,1817,35.780827824026346
14,x3,1,6965239036193538048,1817,200,2019,494,1817,35.91409973613918
15,x30,0,6965239036193538048,1817,200,2019,495,1817,36.05220560613088
16,x32,0,6965239036193538048,1817,200,2019,496,1817,36.18428419600241
17,x34,0,6965239036193538048,1817,200,2019,497,1817,36.31747419806197
18,x38,0,6965239036193538048,1817,200,2019,498,1817,36.455577423097566
19,x40,0,6965239036193538048,1817,200,2019,499,1817,36.58736300212331
20,x42,0,6965239036193538048,1817,200,2019,500,1817,36.72075437800959
21,x44,0,6965239036193538048,1817,200,2019,501,1817,36.85876767011359
22,x45,1,6965239036193538048,1817,200,2019,502,1817,36.990516857942566
23,x65,1,6965239036193538048,1817,200,2019,503,1817,37.123646650929004
24,x68,1,6965239036193538048,1817,200,2019,504,1817,37.261912442045286
25,x7,1,6965239036193538048,1817,200,2019,505,1817,37.39373356313445
26,x145,0,6578281311960563712,1960,200,2162,506,1816,37.52670008596033
27,x148,0,6191323587727589376,1967,200,2169,507,1816,37.664074942003936
28,x149,0,5847361166187167744,3200,200,3402,508,1814,37.796872596023604
29,x152,0,5503398744646746112,3042,200,3244,509,1813,37.93302408303134
30,x153,0,5159436323106324480,1954,200,2156,510,1811,38.07382593303919
31,x156,0,4815473901565902848,1958,200,2160,511,1810,38.206493590027094
32,x157,0,4514506782718033920,3191,200,3393,512,1807,38.341080635087565
33,x160,0,4213539663870164992,3029,200,3231,513,1805,38.480638273991644
34,x11,0,3611605426174427136,1946,200,2148,514,1798,38.60831917496398
35,x13,0,3310638307326558208,1936,200,2138,515,1789,38.73548173205927
36,x15,0,2708704069630820352,1947,200,2149,516,1783,38.867991948034614
37,x17,0,2407736950782951424,1917,200,2119,517,1770,38.998312501003966
38,x19,0,2407736950782951424,1770,200,1972,518,1770,39.12842724798247
39,x21,0,2407736950782951424,1770,200,1972,519,1770,39.26263423007913
40,x23,0,2407736950782951424,1770,200,1972,520,1770,39.39297345210798
41,x25,0,2407736950782951424,1770,200,1972,521,1770,39.52138092904352
42,x29,0,2063774529242529792,2966,200,3168,522,1763,39.65597459115088
43,x31,0,1891793318472318976,2947,200,3149,523,1751,39.781963743967935
44,x33,0,1547830896931897344,3095,200,3297,524,1749,39.90614277892746
45,x35,0,1375849686161686528,3087,200,3289,525,1746,40.03580501698889
46,x37,0,1375849686161686528,1746,200,1948,526,1746,40.15837991912849
47,x39,0,1375849686161686528,1746,200,1948,527,1746,40.280791610945016
48,x41,0,1375849686161686528,1746,200,1948,528,1746,40.40844614710659
49,x43,0,1375849686161686528,1746,200,1948,529,1746,40.530427848920226
50,x46,0,1210342399855820800,1903,200,2105,530,1640,40.652642173925415
51,x47,0,1080863910568919040,1963,200,2165,531,1419,40.77718722494319
52,x48,0,915356624263053312,1546,200,1748,532,1331,40.898918219143525
53,x49,0,785878134976151552,1867,200,2069,533,1248,41.00743585592136
54,x51,0,721138890332700672,1407,200,1609,534,1132,41.118962021078914
55,x52,0,665406844943990784,1469,200,1671,535,1045,41.22017963905819
56,x53,0,600667600300539904,1189,200,1391,536,896,41.32192340306938
57,x54,0,544935554911830016,1317,200,1519,537,862,41.416232760064304
58,x56,0,441915713435729920,1017,200,1219,538,768,41.509946909034625
59,x57,0,374924668978593792,1118,200,1320,539,710,41.5939502781257
60,x58,0,271904827502493696,894,200,1096,540,626,41.683847710024565
61,x59,0,204913783045357568,952,200,1154,541,578,41.763558390084654
62,x61,0,172825635700342784,738,200,940,542,545,41.836270817089826
63,x62,0,149744687610068992,736,200,938,543,484,41.91284380899742
64,x63,0,117656540265054208,634,200,836,544,442,41.983197092078626
65,x64,0,94575592174780416,649,200,851,545,402,42.05300806998275
66,x70,0,94575592174780416,399,200,601,546,399,42.12106533697806
67,x71,0,94575592174780416,376,200,578,547,376,42.18710309709422
68,x72,0,94575592174780416,375,200,577,548,375,42.24832095508464
69,x73,0,94575592174780416,375,200,577,549,375,42.311945372028276
70,x74,0,94575592174780416,375,200,577,550,375,42.37515709293075
71,x75,0,94575592174780416,375,200,577,551,375,42.437853110954165
72,x76,0,94575592174780416,375,200,577,552,375,42.50059664109722
73,x77,0,94575592174780416,375,200,577,553,375,42.56357642496005
74,x79,0,94575592174780416,375,200,577,554,375,42.62600404792465
75,x80,0,94575592174780416,375,200,577,555,375,42.69008360407315
76,x81,0,94575592174780416,375,200,577,556,375,42.753137290943414
77,x82,0,94575592174780416,375,200,577,557,375,42.81649465300143
78,x83,0,94575592174780416,375,200,577,558,375,42.88006859505549
79,x84,0,94575592174780416,375,200,577,559,375,42.943119609029964
80,x85,0,94575592174780416,375,200,577,560,375,43.00558977993205
81,x86,0,94575592174780416,375,200,577,561,375,43.06946214195341
82,x143,1,81275899525201920,472,200,674,562,373,43.13252038392238
83,x144,1,69846476154470400,416,200,618,563,372,43.19484781194478
84,x125,1,69846476154470400,372,200,574,564,372,43.25754808913916
85,x146,0,52384857115852800,514,200,716,565,373,43.318171079969034
86,x147,0,34923238077235200,538,200,740,566,373,43.3804968141485
87,x150,0,26192428557926400,627,200,829,567,374,43.44301837612875
88,x151,0,17461619038617600,642,200,844,568,375,43.50377903110348
89,x154,0,13096214278963200,517,200,719,569,376,43.56535414210521
90,x155,0,8730809519308800,529,200,731,570,362,43.62455233302899
91,x158,0,6548107139481600,588,200,790,571,356,43.68406761693768
92,x159,0,4365404759654400,607,200,809,572,356,43.743799990043044
93,x161,0,3767760060416000,549,200,751,573,354,43.80090970010497
94,x162,0,3455945434726400,532,200,734,574,341,43.856308148941025
95,x163,0,2858300735488000,515,200,717,575,337,43.91224633692764
96,x164,0,2546486109798400,504,200,706,576,324,43.96862129913643
97,x165,0,2260656036249600,519,200,721,577,317,44.02220677002333
98,x166,0,2104748723404800,512,200,714,578,309,44.07585096498951
99,x167,0,1818918649856000,508,200,710,579,307,44.13048256910406
100,x168,0,1663011337011200,500,200,702,580,299,44.19153458508663
101,x169,0,1247258502758400,453,200,655,581,288,44.249276037095115
102,x170,0,1039382085632000,454,200,656,582,289,44.30317406007089
103,x171,0,623629251379200,451,200,653,583,288,44.35539513500407
104,x172,0,415752834252800,451,200,653,584,288,44.40744745708071
105,x173,0,311814625689600,478,200,680,585,288,44.45831121201627
106,x174,0,259845521408000,479,200,681,586,288,44.504638955928385
107,x175,0,155907312844800,478,200,680,587,288,44.549998495029286
108,x176,0,103938208563200,479,200,681,588,288,44.59432021109387
109,x100,0,73701638799360,337,200,539,589,272,44.63705547712743
110,x102,0,43465069035520,323,200,525,590,265,44.674797063926235
111,x104,0,30820685316096,336,200,538,591,257,44.71184794907458
112,x105,0,21337397526528,322,200,524,592,245,44.74921936308965
113,x106,0,14224931684352,326,200,528,593,241,44.786532463971525
