./Planning/pddlXpSym/flip/flip_1_p_t10.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,2048,107,41,149,100,104,0.8180860030697659
1,x11,0,1536,104,41,209,100,103,1.0703442280646414
2,x12,0,1536,104,41,209,100,103,1.0706297730794176
3,x14,0,1536,104,41,199,100,103,1.0708691619802266
4,x15,0,1536,104,41,199,100,103,1.0711054489947855
5,x17,0,1536,104,41,189,100,103,1.0713434260105714
6,x18,0,1536,104,41,189,100,103,1.0715837170137092
7,x2,0,1536,104,41,238,100,102,1.0718237480614334
8,x20,0,1536,104,41,179,100,103,1.072058654972352
9,x21,0,1536,104,41,179,100,103,1.072300976025872
10,x23,0,1536,104,41,170,100,103,1.07253727898933
11,x24,0,1536,104,41,167,100,103,1.072772711981088
12,x26,0,1536,104,41,155,100,103,1.0730072130681947
13,x27,0,1536,104,41,156,100,102,1.0732494679978117
14,x29,0,1536,104,41,150,100,102,1.0734856000635773
15,x3,0,1536,104,41,240,100,103,1.0737218470312655
16,x30,0,1536,104,41,149,100,102,1.0739579640794545
17,x5,0,1536,104,41,229,100,103,1.0741987089859322
18,x6,0,1536,104,41,229,100,103,1.074435065034777
19,x8,0,1536,104,41,219,100,103,1.0746714890701696
20,x9,0,1536,104,41,219,100,103,1.0749075330095366
21,x1,0,1024,104,41,244,100,102,1.0751440479652956
22,x1,1,1024,104,41,244,100,102,1.075382124981843
23,x10,0,1024,104,41,214,100,96,1.075619225972332
24,x10,1,1024,104,41,214,100,98,1.0758550750324503
25,x13,0,1024,104,41,204,100,96,1.0760922459885478
26,x13,1,1024,104,41,204,100,98,1.0763268250739202
27,x16,0,1024,104,41,194,100,96,1.0765613779658452
28,x16,1,1024,104,41,194,100,98,1.0767966919811442
29,x19,0,1024,104,41,184,100,96,1.0770359130110592
30,x19,1,1024,104,41,184,100,98,1.0772784600267187
31,x22,0,1024,104,41,174,100,96,1.0775228099664673
32,x22,1,1024,104,41,174,100,98,1.0777591130463406
33,x25,0,1024,104,41,163,100,97,1.0779960830695927
34,x25,1,1024,104,41,163,100,96,1.0782324289903045
35,x28,0,1024,104,41,148,100,94,1.0784692220622674
36,x28,1,1024,104,41,148,100,93,1.0787038570269942
37,x31,0,1024,104,41,151,100,100,1.0789409440476447
38,x31,1,1024,104,41,151,100,100,1.0791772090597078
39,x32,0,1024,104,41,244,100,101,1.0794146340340376
