./Planning/pddlXpSym/flip/flip_1_p_t10.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,2048,107,41,149,100,104,0.7737312430981547
1,x10,0,1024,238,41,281,100,96,0.8440551611129194
2,x24,0,768,136,41,179,101,95,0.852107715094462
3,x14,0,576,194,41,237,102,93,0.8607885639648885
4,x27,0,384,111,41,154,103,91,0.8686965459492058
5,x18,0,320,167,41,210,104,90,0.8761622630991042
6,x35,0,192,186,41,229,105,85,0.8849994759075344
7,x22,1,144,108,41,151,106,77,0.8925042550545186
8,x28,0,96,83,41,126,107,71,0.8991424250416458
9,x13,0,96,71,41,114,108,71,0.9056906648911536
10,x40,1,48,87,41,130,109,67,0.9124372040387243
11,x9,0,48,67,41,110,110,67,0.9189646278973669
12,x11,0,48,67,41,110,111,67,0.9252016709651798
13,x32,0,24,185,41,228,112,63,0.9314355659298599
14,x19,0,16,97,41,140,113,58,0.9395371300633997
15,x34,0,8,134,41,177,114,52,0.9463815549388528
16,x25,1,8,52,41,95,115,52,0.9543595679569989
17,x17,1,4,82,41,125,116,48,0.9596143579110503
18,x41,1,2,50,41,93,117,45,0.9636002879124135
19,x4,1,1,55,41,98,118,42,0.9675234179012477
20,x36,1,1,42,41,85,119,42,0.9709445750340819
21,x37,1,1,42,41,85,120,42,0.974341802066192
22,x5,1,1,42,41,85,121,42,0.9777477539610118
23,x15,1,1,42,41,85,122,42,0.9811361080501229
24,x30,1,1,42,41,85,123,42,0.9845341299660504
25,x33,1,1,42,41,85,124,42,0.9879020629450679
26,x20,0,1,42,41,85,125,42,0.9920378939714283
27,x21,1,1,42,41,85,126,42,0.9954976430162787
28,x12,0,1,42,41,85,127,42,0.9988786610774696
29,x31,1,1,42,41,85,128,42,1.002266583032906
30,x26,1,1,42,41,85,129,42,1.0056820150930434
31,x39,0,1,42,41,85,130,42,1.009064086014405
32,x2,0,1,42,41,85,131,42,1.0124614709056914
33,x16,1,1,42,41,85,132,42,1.0158456868957728
34,x23,0,1,42,41,85,133,42,1.0194358360022306
35,x7,0,1,42,41,85,134,42,1.02289918391034
36,x38,1,1,42,41,85,135,42,1.0263630179688334
37,x3,0,1,42,41,85,136,42,1.0298414109274745
38,x6,0,1,42,41,85,137,42,1.0333967269398272
39,x1,1,1,42,41,85,138,42,1.036854380974546
40,x8,0,1,42,41,85,139,42,1.0402468829415739
41,x29,0,1,42,41,85,140,42,1.0436491549480706
./Planning/pddlXpSym/flip/flip_1_p_t1.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,4,12,5,19,10,11,0.0779121951200068
1,x2,0,3,15,5,22,10,10,0.13856307789683342
2,x3,0,2,12,5,19,11,6,0.141512539004907
3,x5,0,2,6,5,13,12,6,0.14439483196474612
4,x1,1,1,14,5,21,13,6,0.14728234894573689
5,x4,1,1,6,5,13,14,6,0.15007363399490714
./Planning/pddlXpSym/flip/flip_1_p_t2.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,8,26,9,36,20,23,0.07978435908444226
1,x9,1,4,31,9,42,20,19,0.1329599660821259
2,x4,0,2,21,9,32,21,11,0.1368416352197528
3,x3,0,2,11,9,22,22,11,0.13998535904102027
4,x6,1,2,11,9,22,23,11,0.14304126100614667
5,x5,0,2,11,9,22,24,11,0.14608028903603554
6,x7,1,2,11,9,22,25,11,0.14915062114596367
7,x1,1,1,25,9,36,26,10,0.15220619016326964
8,x2,1,1,10,9,21,27,10,0.15510631818324327
9,x8,1,1,10,9,21,28,10,0.15797259216196835
./Planning/pddlXpSym/flip/flip_1_p_t3.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,16,34,13,48,30,31,0.1389295351691544
1,x3,0,12,69,13,84,30,30,0.1999728342052549
2,x4,0,8,58,13,73,31,23,0.20505826617591083
3,x9,0,6,26,13,41,32,21,0.2095241982024163
4,x5,0,6,21,13,36,33,21,0.21408420312218368
5,x12,1,4,29,13,44,34,18,0.2186096531804651
6,x7,1,4,18,13,33,35,18,0.22275530104525387
7,x6,1,4,18,13,33,36,18,0.22701821522787213
8,x10,1,2,20,13,35,37,16,0.23109605722129345
9,x11,1,1,24,13,39,38,14,0.23518348508514464
10,x1,1,1,14,13,29,39,14,0.23908803216181695
11,x2,1,1,14,13,29,40,14,0.24298871122300625
12,x8,0,1,14,13,29,41,14,0.24688938818871975
13,x13,0,1,14,13,29,42,14,0.25083992700092494
./Planning/pddlXpSym/flip/flip_1_p_t4.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,32,45,17,63,40,42,0.16328373295255005
1,x16,1,16,72,17,91,40,40,0.23285712697543204
2,x3,0,12,96,17,115,41,38,0.23678289586678147
3,x7,0,6,45,17,64,42,26,0.2409828209783882
4,x5,0,4,50,17,69,43,22,0.2447213928680867
5,x8,0,4,22,17,41,44,22,0.24816876486875117
6,x11,1,2,24,17,43,45,20,0.2515328819863498
7,x9,1,2,20,17,39,46,20,0.25463152187876403
8,x6,0,2,20,17,39,47,20,0.2577665988355875
9,x12,0,2,20,17,39,48,20,0.2607302898541093
10,x14,1,1,22,17,41,49,18,0.26371202198788524
11,x17,1,1,18,17,37,50,18,0.2666481710039079
12,x10,1,1,18,17,37,51,18,0.2695680179167539
13,x13,0,1,18,17,37,52,18,0.2724764298181981
14,x2,1,1,18,17,37,53,18,0.27545020286925137
15,x1,1,1,18,17,37,54,18,0.2783548319712281
16,x4,0,1,18,17,37,55,18,0.281263779848814
17,x15,0,1,18,17,37,56,18,0.2841440287884325
./Planning/pddlXpSym/flip/flip_1_p_t5.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,64,55,21,77,50,52,0.1896074959076941
1,x21,0,32,58,21,81,50,48,0.25143227097578347
2,x16,0,16,53,21,76,51,41,0.25594419590197504
3,x9,0,12,61,21,84,52,40,0.2603525398299098
4,x7,1,8,62,21,85,53,35,0.26480222796089947
5,x12,0,8,35,21,58,54,35,0.2690018138382584
6,x5,0,8,35,21,58,55,35,0.27286624698899686
7,x8,1,4,37,21,60,56,30,0.2767034799326211
8,x14,0,4,30,21,53,57,30,0.28045865590684116
9,x10,0,4,30,21,53,58,30,0.28426698083058
10,x11,0,4,30,21,53,59,30,0.28804447990842164
11,x19,1,4,30,21,53,60,30,0.29175020894035697
12,x20,0,4,30,21,53,61,30,0.2954324840102345
