./Planning/pddlXpSym/flip/flip_1_p_t10.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,2048,107,41,149,100,104,0.522745157009922
1,x10,1,1024,238,41,281,100,98,0.5856227409094572
2,x24,0,768,138,41,181,101,97,0.5932568649295717
3,x14,0,576,194,41,237,102,94,0.6008784789592028
4,x27,0,384,112,41,155,103,92,0.6084630209952593
5,x18,0,320,168,41,211,104,91,0.6155428709462285
6,x35,1,192,187,41,230,105,85,0.6230282270116732
7,x22,1,144,108,41,151,106,77,0.6301615609554574
8,x28,0,96,83,41,126,107,71,0.6365096109220758
9,x13,0,96,71,41,114,108,71,0.6428830029908568
10,x40,1,48,87,41,130,109,67,0.6493254249216989
11,x9,1,24,153,41,196,110,61,0.6556345669087023
12,x11,1,24,61,41,104,111,61,0.660659467917867
13,x32,1,12,169,41,212,112,59,0.6656843979144469
14,x19,0,8,93,41,136,113,54,0.6705842550145462
15,x34,1,8,54,41,97,114,54,0.6746405659941956
16,x25,1,8,54,41,97,115,54,0.6803076989017427
17,x17,1,4,96,41,139,116,50,0.6861039299983531
18,x41,1,2,52,41,95,117,47,0.6898338890168816
19,x4,1,1,57,41,100,118,42,0.6949790549697354
20,x36,1,1,42,41,85,119,42,0.6982513900147751
21,x37,1,1,42,41,85,120,42,0.7015087970066816
22,x5,1,1,42,41,85,121,42,0.7047680329997092
23,x15,1,1,42,41,85,122,42,0.7080351549666375
24,x30,1,1,42,41,85,123,42,0.711286048986949
25,x33,1,1,42,41,85,124,42,0.7145257219672203
26,x20,0,1,42,41,85,125,42,0.7177691009128466
27,x21,1,1,42,41,85,126,42,0.721021901932545
28,x12,0,1,42,41,85,127,42,0.7242685399251059
29,x31,1,1,42,41,85,128,42,0.7275249599479139
30,x26,1,1,42,41,85,129,42,0.730821923003532
31,x39,0,1,42,41,85,130,42,0.7341169950086623
32,x2,0,1,42,41,85,131,42,0.7374054599786177
33,x16,1,1,42,41,85,132,42,0.7406887419056147
34,x23,0,1,42,41,85,133,42,0.7439601639052853
35,x7,0,1,42,41,85,134,42,0.7472385119181126
36,x38,1,1,42,41,85,135,42,0.750519216991961
37,x3,1,1,42,41,85,136,42,0.7537866509519517
38,x6,0,1,42,41,85,137,42,0.7570590629475191
39,x1,0,1,42,41,85,138,42,0.7603332729777321
40,x8,0,1,42,41,85,139,42,0.7635886089410633
41,x29,0,1,42,41,85,140,42,0.7668527049245313
./Planning/pddlXpSym/flip/flip_1_p_t1.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,4,12,5,19,10,11,0.0538791730068624
1,x2,0,3,15,5,22,10,10,0.11450739798601717
2,x3,0,2,12,5,19,11,6,0.11744727508630604
3,x5,0,2,6,5,13,12,6,0.12035146506968886
4,x1,1,1,14,5,21,13,6,0.12323158700019121
5,x4,1,1,6,5,13,14,6,0.12602978106588125
./Planning/pddlXpSym/flip/flip_1_p_t2.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,8,26,9,36,20,23,0.07549901609309018
1,x9,1,4,31,9,42,20,19,0.13821090606506914
2,x4,1,2,21,9,32,21,12,0.14138442103285342
3,x3,1,1,24,9,35,22,10,0.14452096400782466
4,x6,0,1,10,9,21,23,10,0.14740641904063523
5,x5,1,1,10,9,21,24,10,0.15027651307173073
6,x7,0,1,10,9,21,25,10,0.15314216702245176
7,x1,0,1,10,9,21,26,10,0.15601990406867117
8,x2,0,1,10,9,21,27,10,0.15890845004469156
9,x8,1,1,10,9,21,28,10,0.16179286409169436
./Planning/pddlXpSym/flip/flip_1_p_t3.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,16,34,13,48,30,31,0.10022973199374974
1,x3,0,12,69,13,84,30,30,0.17776264995336533
2,x4,0,8,58,13,73,31,23,0.1815034809987992
3,x9,0,6,26,13,41,32,21,0.184813346946612
4,x5,0,6,21,13,36,33,21,0.18813868693541735
5,x12,1,4,29,13,44,34,18,0.19146126101259142
6,x7,1,4,18,13,33,35,18,0.19453608698677272
