./Planning/pddlXpSym/flip/flip_1_p_t10.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,2048,107,41,149,100,104,0.5306742549873888
1,x11,0,1536,166,41,209,100,103,0.6999658009735867
2,x12,0,1024,165,41,208,101,102,0.7084405480418354
3,x14,0,768,152,41,195,102,100,0.7171182819874957
4,x15,0,512,151,41,194,103,99,0.7249340079724789
5,x17,0,384,140,41,183,104,98,0.7322879780549556
6,x18,0,256,139,41,182,105,97,0.7396761369891465
7,x2,0,192,181,41,224,106,95,0.7467625120189041
8,x20,0,144,126,41,169,107,94,0.7538274540565908
9,x21,0,96,125,41,168,108,93,0.7608422400662675
10,x23,0,72,115,41,158,109,92,0.7675112070282921
11,x24,0,48,111,41,154,110,91,0.7737215090310201
12,x26,0,36,101,41,144,111,90,0.7802816999610513
13,x27,0,24,98,41,141,112,88,0.7869996780063957
14,x29,0,18,90,41,133,113,87,0.7928931739879772
15,x3,0,12,164,41,207,114,85,0.7991697250399739
16,x30,0,8,87,41,130,115,83,0.8046525469981134
17,x5,0,6,142,41,185,116,79,0.810130606056191
18,x6,0,4,127,41,170,117,71,0.8149843360297382
19,x8,0,3,96,41,139,118,64,0.819403234985657
20,x9,0,2,91,41,134,119,60,0.825709187076427
21,x1,0,1,61,41,104,120,42,0.8307787510566413
22,x10,0,1,42,41,85,121,42,0.8342348299920559
23,x13,0,1,42,41,85,122,42,0.8377015030710027
24,x16,0,1,42,41,85,123,42,0.8411591280018911
25,x19,0,1,42,41,85,124,42,0.8446265669772401
26,x22,0,1,42,41,85,125,42,0.8480998510494828
27,x25,0,1,42,41,85,126,42,0.8515323740430176
28,x28,0,1,42,41,85,127,42,0.8549703750759363
29,x31,0,1,42,41,85,128,42,0.8583960309624672
30,x32,0,1,42,41,85,129,42,0.8618252810556442
31,x33,0,1,42,41,85,130,42,0.865272363065742
32,x34,0,1,42,41,85,131,42,0.8687052619643509
33,x35,0,1,42,41,85,132,42,0.8721650140359998
34,x36,0,1,42,41,85,133,42,0.8756194510497153
35,x37,0,1,42,41,85,134,42,0.8790766140446067
36,x38,0,1,42,41,85,135,42,0.8825530980248004
37,x39,0,1,42,41,85,136,42,0.8859791390132159
38,x4,0,1,42,41,85,137,42,0.8894209549762309
39,x40,0,1,42,41,85,138,42,0.8928637430071831
40,x41,0,1,42,41,85,139,42,0.8963137699756771
41,x7,0,1,42,41,85,140,42,0.8997655970742926
