./Planning/pddlXpSym/flip/flip_1_p_t10.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,2048,107,41,149,100,104,0.5242035379633307
1,x11,0,1536,166,41,209,100,103,0.7064334279857576
2,x12,0,1024,165,41,208,101,102,0.7149490169249475
3,x14,0,768,152,41,195,102,100,0.7233889199560508
4,x15,0,512,151,41,194,103,99,0.7310945749050006
5,x17,0,384,140,41,183,104,98,0.7383352539036423
6,x18,0,256,139,41,182,105,97,0.745603572926484
7,x2,0,192,181,41,224,106,95,0.7525366810150445
8,x20,0,144,126,41,169,107,94,0.7594212499679998
9,x21,0,96,125,41,168,108,93,0.7663177659269422
10,x23,0,72,115,41,158,109,92,0.7728072570171207
11,x24,0,48,111,41,154,110,91,0.7788535509025678
12,x26,0,36,101,41,144,111,90,0.7852953529218212
13,x27,0,24,98,41,141,112,88,0.7919069259660318
14,x29,0,18,90,41,133,113,87,0.7976759829325601
15,x3,0,12,164,41,207,114,85,0.8038027379661798
16,x30,0,8,87,41,130,115,83,0.8090473900083452
17,x5,0,6,142,41,185,116,79,0.8142529049655423
18,x6,0,4,127,41,170,117,71,0.8188849709695205
19,x8,0,3,96,41,139,118,64,0.8231443079421297
20,x9,0,2,91,41,134,119,60,0.8293159919558093
21,x1,0,1,61,41,104,120,42,0.8342818829696625
22,x10,0,1,42,41,85,121,42,0.8376260480144992
23,x13,0,1,42,41,85,122,42,0.8411464139353484
24,x16,0,1,42,41,85,123,42,0.8445290129166096
25,x19,0,1,42,41,85,124,42,0.8479176550172269
26,x22,0,1,42,41,85,125,42,0.8512886089738458
27,x25,0,1,42,41,85,126,42,0.8546591779449955
28,x28,0,1,42,41,85,127,42,0.8580493149347603
29,x31,0,1,42,41,85,128,42,0.8614620859734714
30,x32,0,1,42,41,85,129,42,0.8648790059378371
31,x33,0,1,42,41,85,130,42,0.8682829230092466
32,x34,0,1,42,41,85,131,42,0.8716715259943157
33,x35,0,1,42,41,85,132,42,0.8750537369633093
34,x36,0,1,42,41,85,133,42,0.878420976921916
35,x37,0,1,42,41,85,134,42,0.8818039079196751
36,x38,0,1,42,41,85,135,42,0.8851929659722373
37,x39,0,1,42,41,85,136,42,0.888575398013927
38,x4,0,1,42,41,85,137,42,0.8919237490044907
39,x40,0,1,42,41,85,138,42,0.8952580809127539
40,x41,0,1,42,41,85,139,42,0.8986046629725024
41,x7,0,1,42,41,85,140,42,0.9019490469945595
./Planning/pddlXpSym/flip/flip_1_p_t1.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,4,12,5,19,10,11,0.06966532696969807
1,x2,0,3,13,5,20,10,10,0.1471336359390989
2,x3,0,2,10,5,17,11,6,0.14998325903434306
3,x1,0,1,10,5,17,12,6,0.15280133101623505
4,x4,0,1,6,5,13,13,6,0.15554728801362216
5,x5,0,1,6,5,13,14,6,0.1583339220378548
./Planning/pddlXpSym/flip/flip_1_p_t2.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,8,26,9,36,20,23,0.07694271800573915
1,x2,0,6,32,9,43,20,22,0.16148842696566135
2,x3,0,4,32,9,43,21,21,0.16449881996959448
3,x5,0,3,22,9,33,22,17,0.16746980999596417
4,x6,0,2,18,9,29,23,15,0.1704089209670201
5,x1,0,1,18,9,29,24,10,0.17340587498620152
6,x4,0,1,10,9,21,25,10,0.17624538799282163
7,x7,0,1,10,9,21,26,10,0.17907098401337862
8,x8,0,1,10,9,21,27,10,0.1818844840163365
9,x9,0,1,10,9,21,28,10,0.18475036602467299
./Planning/pddlXpSym/flip/flip_1_p_t3.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,16,34,13,48,30,31,0.16050794592592865
1,x2,0,12,50,13,65,30,30,0.26664775097742677
2,x3,0,8,49,13,64,31,29,0.27203859598375857
3,x5,0,6,39,13,54,32,28,0.2779959359904751
4,x6,0,4,37,13,52,33,27,0.28310187195893377
5,x8,0,3,28,13,43,34,24,0.28764050698373467
6,x9,0,2,26,13,41,35,22,0.2922326469561085
7,x1,0,1,26,13,41,36,14,0.2971062889555469
8,x10,0,1,14,13,29,37,14,0.3016103309346363
9,x11,0,1,14,13,29,38,14,0.3059353498974815
10,x12,0,1,14,13,29,39,14,0.31020398798864335
11,x13,0,1,14,13,29,40,14,0.3145070559112355
12,x4,0,1,14,13,29,41,14,0.31883707095403224
13,x7,0,1,14,13,29,42,14,0.32329800399020314
./Planning/pddlXpSym/flip/flip_1_p_t4.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,32,45,17,63,40,42,0.13382846303284168
1,x11,0,24,43,17,62,40,40,0.2735619820887223
2,x12,0,16,42,17,61,41,37,0.27765383501537144
3,x2,0,12,60,17,79,42,35,0.2815808809828013
4,x3,0,8,59,17,78,43,34,0.28571619000285864
5,x5,0,6,48,17,67,44,33,0.28965486004017293
6,x6,0,4,47,17,66,45,32,0.2935067650396377
7,x8,0,3,39,17,58,46,31,0.29705624806229025
