./Planning/pddlXpSym/ring/ring2_r6_p_t1.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,52488,702,76,779,209,700,3.606163516989909
1,x54,1,2916,753,76,831,209,109,3.6854611340677366
2,x19,0,2916,107,76,185,210,107,3.6980952930171043
3,x35,0,972,174,76,252,211,103,3.7098295600153506
4,x76,1,972,103,76,181,212,103,3.7211702869972214
5,x51,0,648,159,76,237,213,101,3.732533407979645
6,x32,0,648,101,76,179,214,101,3.744046878069639
7,x56,1,0,101,76,179,215,1,3.7553180269896984
8,x70,1,0,1,76,80,216,1,3.759200453059748
9,x8,1,0,1,76,80,217,1,3.7632649689912796
10,x21,1,0,1,76,80,218,1,3.767315977020189
11,x34,0,0,1,76,80,219,1,3.7713492719922215
12,x22,1,0,1,76,80,220,1,3.7753893149783835
13,x61,1,0,1,76,80,221,1,3.779419990023598
14,x7,1,0,1,76,80,222,1,3.7834482700563967
15,x24,1,0,1,76,80,223,1,3.7874820720171556
16,x28,1,0,1,76,80,224,1,3.7915087409783155
17,x44,1,0,1,76,80,225,1,3.795545177999884
18,x75,1,0,1,76,80,226,1,3.79957774002105
19,x17,0,0,1,76,80,227,1,3.8036079820012674
20,x66,0,0,1,76,80,228,1,3.8076408830238506
21,x40,0,0,1,76,80,229,1,3.8116630470613018
22,x29,1,0,1,76,80,230,1,3.8157065639970824
23,x41,1,0,1,76,80,231,1,3.819730621064082
24,x57,1,0,1,76,80,232,1,3.8237565620802343
25,x68,1,0,1,76,80,233,1,3.82779410504736
26,x50,1,0,1,76,80,234,1,3.831819635001011
27,x71,0,0,1,76,80,235,1,3.8358406689949334
28,x59,0,0,1,76,80,236,1,3.8398615249898285
29,x49,1,0,1,76,80,237,1,3.843883611029014
30,x37,0,0,1,76,80,238,1,3.847902241977863
31,x13,0,0,1,76,80,239,1,3.8519317640457302
32,x55,1,0,1,76,80,240,1,3.8559511670609936
33,x47,0,0,1,76,80,241,1,3.859981418005191
34,x48,0,0,1,76,80,242,1,3.864002911024727
35,x33,0,0,1,76,80,243,1,3.8680301590356976
36,x53,0,0,1,76,80,244,1,3.872082912013866
37,x14,0,0,1,76,80,245,1,3.876127516035922
38,x9,1,0,1,76,80,246,1,3.8801594480173662
39,x26,1,0,1,76,80,247,1,3.8841988689964637
40,x52,0,0,1,76,80,248,1,3.888235673075542
41,x15,0,0,1,76,80,249,1,3.89227514306549
42,x6,0,0,1,76,80,250,1,3.8962998990900815
43,x39,1,0,1,76,80,251,1,3.900317615014501
