./Planning/pddlXpSym/ring/ring2_r6_p_t1.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,52488,702,76,779,209,700,3.9606907260604203
1,x41,1,34992,1255,76,1333,209,673,4.028394631110132
2,x14,0,33048,683,76,761,210,663,4.07512333500199
3,x24,0,31104,697,76,775,211,649,4.111578237032518
4,x47,0,20736,1485,76,1563,212,626,4.147691854974255
5,x29,0,19440,668,76,746,213,618,4.196274608140811
6,x63,1,10692,1389,76,1467,214,606,4.236006977036595
7,x26,0,8748,650,76,728,215,533,4.288312460063025
8,x56,0,6480,569,76,647,216,493,4.3313652200158685
9,x66,1,6480,490,76,568,217,490,4.368805672042072
10,x9,0,6480,482,76,560,218,482,4.399890399072319
11,x28,0,6480,462,76,540,219,462,4.430266733979806
12,x34,0,6156,574,76,652,220,432,4.46002554311417
13,x54,0,6156,432,76,510,221,432,4.492587177082896
14,x58,1,2268,473,76,551,222,229,4.520319170085713
15,x19,1,972,289,76,367,223,122,4.548972602933645
16,x2,0,972,99,76,177,224,99,4.567774735158309
17,x48,0,648,211,76,289,225,93,4.579004224156961
18,x70,0,432,223,76,301,226,90,4.591803638963029
19,x51,0,288,181,76,259,227,88,4.603833631146699
20,x37,1,144,212,76,290,228,87,4.620757282944396
21,x71,0,144,87,76,165,229,87,4.632221325999126
22,x25,0,144,87,76,165,230,87,4.642285756068304
23,x60,0,144,87,76,165,231,87,4.652156400959939
24,x27,0,144,86,76,164,232,86,4.662122725974768
25,x53,1,72,160,76,238,233,85,4.672042004065588
26,x22,0,72,85,76,163,234,85,4.681411723140627
27,x17,0,72,85,76,163,235,85,4.689215142978355
28,x75,1,54,190,76,268,236,83,4.697730173124
29,x7,0,54,83,76,161,237,83,4.712655090959743
30,x55,0,54,83,76,161,238,83,4.720533946994692
31,x21,0,54,83,76,161,239,83,4.7317166780121624
32,x50,0,54,83,76,161,240,83,4.739646167960018
33,x44,0,54,83,76,161,241,83,4.747779886936769
34,x23,0,54,83,76,161,242,83,4.755869435146451
35,x61,1,36,209,76,287,243,81,4.764185345033184
36,x20,0,36,81,76,159,244,81,4.772167639108375
37,x64,1,36,81,76,159,245,81,4.779725824017078
38,x36,1,36,81,76,159,246,81,4.78782791714184
39,x18,0,36,81,76,159,247,81,4.795587162021548
40,x65,1,18,83,76,161,248,80,4.803632447030395
41,x38,0,18,80,76,158,249,80,4.810835964977741
42,x52,0,18,80,76,158,250,80,4.819114801939577
43,x76,0,12,82,76,160,251,79,4.8266900109592825
44,x39,1,12,79,76,157,252,79,4.833800588035956
45,x49,0,12,79,76,157,253,79,4.840275589143857
46,x59,0,12,79,76,157,254,79,4.8479570059571415
47,x35,1,6,81,76,159,255,80,4.8571031810715795
48,x43,1,3,212,76,290,256,79,4.866142121143639
49,x72,1,3,79,76,157,257,79,4.873420679010451
50,x16,0,3,79,76,157,258,79,4.880675919121131
51,x32,0,3,79,76,157,259,79,4.887824362143874
52,x33,1,2,225,76,303,260,77,4.895380408037454
53,x74,0,2,77,76,155,261,77,4.903477471088991
54,x8,0,2,77,76,155,262,77,4.911552547011524
55,x69,0,2,77,76,155,263,77,4.919392263982445
56,x73,1,2,77,76,155,264,77,4.927369558950886
57,x6,0,2,77,76,155,265,77,4.9355823991354555
58,x10,0,2,77,76,155,266,77,4.953374175122008
59,x30,0,2,77,76,155,267,77,4.961344333132729
60,x62,1,2,77,76,155,268,77,4.969179337145761
61,x68,1,1,227,76,305,269,77,4.977585179032758
62,x40,0,1,77,76,155,270,77,4.983315346064046
63,x42,0,1,77,76,155,271,77,4.988804127089679
64,x45,1,1,77,76,155,272,77,4.994088514009491
65,x67,1,1,77,76,155,273,77,4.9996398370712996
66,x4,0,1,77,76,155,274,77,5.004985762992874
67,x3,0,1,77,76,155,275,77,5.010459456127137
68,x31,1,1,77,76,155,276,77,5.016000712057576
69,x46,0,1,77,76,155,277,77,5.021412153029814
70,x13,0,1,77,76,155,278,77,5.0268995319493115
71,x11,1,1,77,76,155,279,77,5.032418868970126
72,x5,0,1,77,76,155,280,77,5.037949382094666
73,x12,1,1,77,76,155,281,77,5.043407964985818
74,x1,0,1,77,76,155,282,77,5.048684356966987
75,x15,0,1,77,76,155,283,77,5.054279712028801
76,x57,0,1,77,76,155,284,77,5.059896757127717
./Planning/pddlXpSym/ring/ring2_r6_p_t2.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,629856,5044,134,5179,396,5042,35.27035891497508
1,x90,0,524880,10375,134,10511,396,5017,35.36299205105752
2,x73,0,419904,5451,134,5587,397,4115,35.745723945088685
3,x127,0,279936,5973,134,6109,398,2943,36.01498401700519
4,x103,1,190512,4451,134,4587,399,2675,36.255955586908385
5,x106,1,132192,2661,134,2797,400,2288,36.46489087399095
6,x71,0,132192,2147,134,2283,401,2147,36.623778474051505
7,x42,0,116640,2432,134,2568,402,2058,36.779298465000466
8,x108,1,116640,2047,134,2183,403,2047,36.936031109886244
9,x40,0,108864,2160,134,2296,404,2004,37.087310502072796
10,x48,0,98496,2062,134,2198,405,1989,37.2448146159295
11,x107,0,90720,3102,134,3238,406,1979,37.39084698003717
12,x5,0,80352,2255,134,2391,407,1863,37.556679415050894
13,x33,1,53568,3003,134,3139,408,1646,37.69748051604256
14,x116,0,47520,1860,134,1996,409,1559,37.860049740877
15,x81,0,44064,2146,134,2282,410,1532,37.99016034905799
16,x13,1,6912,1774,134,1910,411,226,38.127545261988416
17,x16,0,6912,220,134,356,412,220,38.248501299880445
18,x98,0,6912,197,134,333,413,197,38.279770474880934
19,x89,0,6912,197,134,333,414,197,38.30607330100611
20,x82,0,6912,197,134,333,415,197,38.33238036907278
21,x38,0,6912,197,134,333,416,197,38.35855967202224
22,x14,0,6912,197,134,333,417,197,38.384829598944634
23,x94,1,6912,197,134,333,418,197,38.41103782807477
24,x69,0,6912,197,134,333,419,197,38.437315760878846
25,x91,1,4608,382,134,518,420,192,38.464388764929026
26,x120,0,3072,283,134,419,421,187,38.49459206988104
27,x110,0,3072,182,134,318,422,182,38.517898597056046
28,x53,1,1536,184,134,320,423,180,38.53980301809497
29,x17,0,1536,180,134,316,424,180,38.56147782690823
30,x41,1,1536,180,134,316,425,180,38.58230296499096
31,x112,1,768,218,134,354,426,176,38.6040853660088
32,x29,0,768,176,134,312,427,176,38.62649568798952
33,x11,1,768,176,134,312,428,176,38.648776141926646
34,x36,1,384,314,134,450,429,172,38.67253115703352
35,x51,1,192,241,134,377,430,165,38.69953992590308
36,x125,0,192,165,134,301,431,165,38.722879043081775
37,x44,0,192,165,134,301,432,165,38.742442303104326
38,x111,1,96,225,134,361,433,163,38.763517760904506
39,x85,0,96,163,134,299,434,163,38.78379283891991
40,x88,0,96,163,134,299,435,163,38.80185749102384
41,x25,0,96,163,134,299,436,163,38.81992720300332
42,x37,1,48,171,134,307,437,157,38.83874884690158
43,x74,0,48,157,134,293,438,157,38.856619274942204
44,x55,0,48,157,134,293,439,157,38.87889766599983
45,x47,0,36,183,134,319,440,151,38.895761497085914
46,x56,0,36,151,134,287,441,151,38.911637685028836
47,x58,0,36,151,134,287,442,151,38.92787482193671
48,x52,0,36,151,134,287,443,151,38.949469201033935
49,x97,1,36,151,134,287,444,151,38.96574868890457
50,x54,0,36,151,134,287,445,151,38.98194525204599
51,x57,0,36,151,134,287,446,151,38.99815563298762
52,x18,0,36,151,134,287,447,151,39.01427222392522
53,x27,0,36,151,134,287,448,151,39.03045996208675
54,x118,0,36,151,134,287,449,151,39.04666089802049
55,x133,0,24,448,134,584,450,150,39.06351752392948
56,x114,1,24,150,134,286,451,150,39.09453341504559
57,x76,0,24,150,134,286,452,150,39.10948623903096
58,x67,0,24,150,134,286,453,150,39.124425964895636
59,x34,0,24,150,134,286,454,150,39.13937379908748
60,x8,0,24,150,134,286,455,150,39.15428980602883
61,x50,0,24,150,134,286,456,150,39.16923822509125
62,x23,0,24,150,134,286,457,150,39.18432576302439
63,x122,0,24,150,134,286,458,150,39.19928454607725
64,x123,1,24,150,134,286,459,150,39.214213920990005
65,x95,1,12,158,134,294,460,149,39.229728838894516
66,x28,0,12,149,134,285,461,149,39.24310619197786
67,x102,1,12,149,134,285,462,149,39.25614621001296
68,x21,0,12,149,134,285,463,149,39.2691436749883
69,x64,0,12,149,134,285,464,149,39.28218144294806
70,x78,0,12,149,134,285,465,149,39.295196445891634
71,x7,0,12,149,134,285,466,149,39.30820465902798
72,x129,1,12,149,134,285,467,149,39.3212075070478
73,x49,0,12,149,134,285,468,149,39.33424753206782
74,x61,1,12,149,134,285,469,149,39.3472767600324
75,x19,0,12,149,134,285,470,149,39.360283142887056
76,x43,1,12,149,134,285,471,149,39.37330852705054
77,x1,0,12,149,134,285,472,149,39.38631944498047
78,x10,1,12,149,134,285,473,149,39.39935234002769
79,x96,1,12,149,134,285,474,149,39.412380415946245
80,x121,1,12,149,134,285,475,149,39.42542155506089
81,x68,0,12,149,134,285,476,149,39.43842642288655
82,x59,0,8,389,134,525,477,140,39.4520655060187
83,x128,1,4,148,134,284,478,135,39.467038247035816
84,x84,0,4,135,134,271,479,135,39.473167225020006
85,x105,1,4,135,134,271,480,135,39.47917981003411
86,x93,1,4,135,134,271,481,135,39.48515748302452
87,x126,1,4,135,134,271,482,135,39.491163715021685
88,x117,0,4,135,134,271,483,135,39.497156891040504
89,x39,1,4,135,134,271,484,135,39.50317747402005
90,x119,0,4,135,134,271,485,135,39.50917234807275
91,x100,1,4,135,134,271,486,135,39.515175553038716
92,x72,1,4,135,134,271,487,135,39.52115261089057
93,x35,1,2,137,134,273,488,136,39.52777533605695
94,x6,0,2,136,134,272,489,136,39.53514884901233
95,x75,0,2,136,134,272,490,136,39.54186406196095
96,x66,0,2,136,134,272,491,136,39.547815608093515
97,x134,1,1,138,134,274,492,135,39.55438126809895
98,x87,0,1,135,134,271,493,135,39.56045638490468
99,x77,0,1,135,134,271,494,135,39.5664071070496
100,x104,0,1,135,134,271,495,135,39.57238829694688
101,x115,0,1,135,134,271,496,135,39.57839342788793
102,x70,1,1,135,134,271,497,135,39.58436258789152
103,x86,0,1,135,134,271,498,135,39.59031221806072
104,x130,0,1,135,134,271,499,135,39.59625588101335
105,x32,0,1,135,134,271,500,135,39.60222046310082
106,x63,0,1,135,134,271,501,135,39.60817604791373
107,x65,0,1,135,134,271,502,135,39.61416896805167
108,x132,1,1,135,134,271,503,135,39.62016640789807
109,x109,1,1,135,134,271,504,135,39.626140312990174
110,x15,0,1,135,134,271,505,135,39.63214617501944
111,x92,0,1,135,134,271,506,135,39.63815698493272
112,x131,1,1,135,134,271,507,135,39.64414020301774
113,x12,0,1,135,134,271,508,135,39.65010020905174
114,x20,0,1,135,134,271,509,135,39.656557366019115
115,x60,0,1,135,134,271,510,135,39.66264710994437
116,x79,0,1,135,134,271,511,135,39.66865716408938
117,x62,1,1,135,134,271,512,135,39.67461175308563
118,x80,0,1,135,134,271,513,135,39.68057590094395
119,x83,0,1,135,134,271,514,135,39.68670137505978
120,x45,1,1,135,134,271,515,135,39.69270919705741
121,x124,1,1,135,134,271,516,135,39.698697096901014
122,x101,0,1,135,134,271,517,135,39.704681006027386
123,x4,0,1,135,134,271,518,135,39.71063306299038
124,x3,0,1,135,134,271,519,135,39.71659773797728
125,x31,1,1,135,134,271,520,135,39.722581977024674
126,x46,0,1,135,134,271,521,135,39.72860011109151
127,x99,1,1,135,134,271,522,135,39.734560360899195
128,x26,0,1,135,134,271,523,135,39.74056444899179
129,x22,0,1,135,134,271,524,135,39.746515871956944
130,x9,0,1,135,134,271,525,135,39.75249385391362
131,x24,0,1,135,134,271,526,135,39.758468837011606
132,x2,0,1,135,134,271,527,135,39.76443605590612
133,x30,0,1,135,134,271,528,135,39.77041080710478
134,x113,1,1,135,134,271,529,135,39.7764002350159
./Planning/pddlXpSym/ring/ring2_r6_p_t3.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,7558272,27679,192,27872,583,27677,495.30525314598344
1,x101,1,419904,29067,192,29261,583,1516,495.4739723280072
2,x151,0,279936,3968,192,4162,584,1444,497.58259879704565
3,x29,0,279936,1021,192,1215,585,1021,497.67254732293077
4,x156,0,186624,1538,192,1732,586,946,497.743709780043
5,x41,1,124416,998,192,1192,587,703,497.80811772705056
6,x179,0,124416,700,192,894,588,700,497.8693389198743
7,x82,0,124416,697,192,891,589,697,497.9222849609796
8,x186,0,82944,773,192,967,590,686,497.9810826908797
9,x1,0,82944,684,192,878,591,684,498.03495163307525
10,x71,0,82944,684,192,878,592,684,498.0872520010453
11,x96,0,82944,680,192,874,593,680,498.1396513329819
12,x169,0,52992,895,192,1089,594,674,498.1964939599857
13,x187,0,27648,1068,192,1262,595,599,498.25409856485203
14,x118,0,27648,594,192,788,596,594,498.31318776798435
15,x62,0,27648,588,192,782,597,588,498.3653137839865
16,x55,0,27648,588,192,782,598,588,498.4167421939783
17,x34,0,27648,588,192,782,599,588,498.46674120798707
18,x108,0,27648,588,192,782,600,588,498.5172994490713
19,x126,1,13824,590,192,784,601,585,498.56909108697437
20,x66,0,13824,585,192,779,602,585,498.6203290580306
21,x111,0,13824,585,192,779,603,585,498.66639726189896
22,x144,0,13824,585,192,779,604,585,498.7125603898894
23,x157,0,13824,585,192,779,605,585,498.75757584907115
24,x46,0,13824,585,192,779,606,585,498.80383861996233
25,x175,1,7296,997,192,1191,607,517,498.85085153602995
26,x32,0,7296,517,192,711,608,517,498.8997756189201
27,x140,1,5472,664,192,858,609,507,498.9404135369696
28,x177,0,5472,504,192,698,610,504,498.9873888490256
29,x148,1,5472,504,192,698,611,504,499.0285020470619
30,x93,1,5472,504,192,698,612,504,499.0695261899382
31,x31,1,2736,1140,192,1334,613,495,499.1126613500528
32,x155,0,2736,495,192,689,614,495,499.1566347749904
33,x27,0,2736,495,192,689,615,495,499.19661688501947
34,x48,0,2736,495,192,689,616,495,499.2365691419691
35,x103,0,2736,495,192,689,617,495,499.27657435205765
36,x84,0,2736,495,192,689,618,495,499.3164962660521
37,x81,0,2736,495,192,689,619,495,499.3564670539927
38,x88,0,2736,495,192,689,620,495,499.39653564686887
39,x102,0,2736,495,192,689,621,495,499.436537487898
40,x135,1,1824,1041,192,1235,622,483,499.47858801297843
41,x183,1,912,485,192,679,623,470,499.5247053508647
42,x7,0,912,462,192,656,624,462,499.5652962438762
43,x13,0,912,462,192,656,625,462,499.60250116093084
44,x188,1,456,964,192,1158,626,459,499.64153599296696
45,x53,1,228,653,192,847,627,437,499.6836462530773
46,x92,1,228,423,192,617,628,423,499.7263920858968
47,x152,0,228,398,192,592,629,398,499.7678493540734
48,x87,0,228,397,192,591,630,397,499.8105553870555
49,x153,0,228,397,192,591,631,397,499.8471984148491
50,x168,0,140,560,192,754,632,380,499.8856448358856
51,x159,0,140,380,192,574,633,380,499.92770005599596
52,x72,0,140,378,192,572,634,378,499.9653726669494
53,x74,0,140,378,192,572,635,378,500.00305266305804
54,x65,0,140,378,192,572,636,378,500.0405622969847
55,x94,1,140,378,192,572,637,378,500.07799604185857
56,x83,0,140,378,192,572,638,378,500.1155750078615
57,x76,0,140,378,192,572,639,378,500.15312902187
58,x123,1,140,378,192,572,640,378,500.1906782849692
59,x3,0,140,378,192,572,641,378,500.2282729940489
60,x146,1,140,378,192,572,642,378,500.2658196899574
61,x121,1,140,378,192,572,643,378,500.3033709609881
62,x80,0,140,378,192,572,644,378,500.34095512796193
63,x127,0,140,378,192,572,645,378,500.378529638052
64,x28,0,92,666,192,860,646,321,500.4182549309917
65,x51,1,56,596,192,790,647,312,500.45597140002064
66,x11,0,56,312,192,506,648,312,500.4942260629032
67,x10,0,56,311,192,505,649,311,500.529638024047
68,x58,0,56,311,192,505,650,311,500.5661932970397
69,x142,1,56,311,192,505,651,311,500.60275672306307
70,x107,1,56,311,192,505,652,311,500.63923365506344
71,x110,0,56,311,192,505,653,311,500.6756805998739
72,x21,1,32,570,192,764,654,231,500.7138860770501
73,x79,0,32,202,192,396,655,202,500.76059072092175
74,x106,0,32,202,192,396,656,202,500.78134007402696
75,x25,0,32,202,192,396,657,202,500.79976250301115
76,x33,1,32,202,192,396,658,202,500.8181236430537
77,x49,0,32,202,192,396,659,202,500.8364350399934
78,x63,0,32,202,192,396,660,202,500.8547454930376
79,x134,0,32,202,192,396,661,202,500.8730157359969
80,x137,0,32,202,192,396,662,202,500.89141257992014
81,x114,0,32,202,192,396,663,202,500.90981753706
82,x176,1,32,202,192,396,664,202,500.92812055302784
83,x116,0,32,202,192,396,665,202,500.9463466620073
84,x170,0,32,202,192,396,666,202,500.96463083988056
85,x16,0,32,202,192,396,667,202,500.9831355700735
86,x115,0,32,202,192,396,668,202,501.00135851302184
87,x38,0,32,202,192,396,669,202,501.01977942185476
88,x90,0,32,202,192,396,670,202,501.03818570892327
89,x67,0,32,202,192,396,671,202,501.0565559340175
90,x57,0,32,202,192,396,672,202,501.0749443860259
91,x184,0,32,202,192,396,673,202,501.0932478730101
92,x77,0,32,202,192,396,674,202,501.1115815038793
93,x95,0,32,202,192,396,675,202,501.1298138280399
94,x192,0,24,333,192,527,676,202,501.14992166496813
95,x181,0,24,202,192,396,677,202,501.1823455989361
96,x105,0,24,202,192,396,678,202,501.2008629778866
97,x75,0,24,202,192,396,679,202,501.219334354857
98,x44,0,24,202,192,396,680,202,501.2378420510795
99,x147,0,24,202,192,396,681,202,501.2563798339106
100,x165,1,12,416,192,610,682,199,501.27673651184887
101,x98,0,12,199,192,393,683,199,501.2915107009467
102,x50,0,12,199,192,393,684,199,501.3088429379277
103,x73,0,12,199,192,393,685,199,501.3261529249139
104,x112,0,12,199,192,393,686,199,501.3435132720042
105,x60,0,12,199,192,393,687,199,501.3608113389928
106,x100,0,12,199,192,393,688,199,501.3781598249916
107,x109,1,12,199,192,393,689,199,501.3954629730433
108,x171,1,12,199,192,393,690,199,501.41283192299306
109,x130,1,12,199,192,393,691,199,501.43104672897607
110,x35,1,12,199,192,393,692,199,501.44871336896904
111,x173,1,12,199,192,393,693,199,501.4661352550611
112,x145,1,12,199,192,393,694,199,501.48371118702926
113,x104,0,12,199,192,393,695,199,501.50111443386413
114,x85,0,12,199,192,393,696,199,501.51859672390856
115,x36,0,12,199,192,393,697,199,501.5370193270501
116,x54,0,12,199,192,393,698,199,501.55482343700714
117,x6,0,12,199,192,393,699,199,501.57230844697915
118,x59,0,12,199,192,393,700,199,501.5898043338675
119,x40,0,12,199,192,393,701,199,501.60732665704563
120,x162,0,12,199,192,393,702,199,501.62489012791775
121,x141,1,12,199,192,393,703,199,501.64243323286064
122,x68,0,12,199,192,393,704,199,501.6599136260338
123,x15,0,12,199,192,393,705,199,501.67735193902627
124,x99,1,12,199,192,393,706,199,501.69486173591577
125,x45,0,12,199,192,393,707,199,501.7122126920149
126,x161,1,12,199,192,393,708,199,501.72963315597735
127,x167,0,12,199,192,393,709,199,501.7470982619561
128,x138,1,8,324,192,518,710,196,501.76625852589495
129,x56,0,8,196,192,390,711,196,501.78719924087636
130,x133,1,8,196,192,390,712,196,501.8001369589474
131,x42,0,8,196,192,390,713,196,501.81300069601275
132,x128,1,8,196,192,390,714,196,501.82591176591814
133,x20,0,8,196,192,390,715,196,501.83885578392074
134,x14,0,8,196,192,390,716,196,501.85182789107785
135,x43,0,8,196,192,390,717,196,501.86476551997475
136,x97,0,8,196,192,390,718,196,501.87767037097365
137,x122,0,8,196,192,390,719,196,501.8904945119284
138,x37,1,8,196,192,390,720,196,501.9034001380205
139,x86,0,8,196,192,390,721,196,501.9162732369732
140,x190,1,4,392,192,586,722,195,501.93109197798185
141,x19,0,4,195,192,389,723,195,501.94353490299545
142,x131,1,4,195,192,389,724,195,501.98609208106063
143,x185,1,4,195,192,389,725,195,501.99738602503203
144,x136,1,4,195,192,389,726,195,502.00874516298063
145,x117,0,4,195,192,389,727,195,502.02011898788624
146,x52,1,4,195,192,389,728,195,502.0315012128558
147,x164,0,4,195,192,389,729,195,502.0428080349229
148,x69,0,4,195,192,389,730,195,502.05407190695405
149,x182,0,4,195,192,389,731,195,502.0653581370134
150,x174,0,4,195,192,389,732,195,502.0766123170033
151,x78,0,4,195,192,389,733,195,502.0878049880266
152,x163,1,4,195,192,389,734,195,502.0990537079051
153,x143,1,4,195,192,389,735,195,502.11032286589034
154,x70,0,4,195,192,389,736,195,502.1216607838869
155,x12,0,4,195,192,389,737,195,502.13296875194646
156,x149,0,4,195,192,389,738,195,502.144267847063
157,x132,0,4,195,192,389,739,195,502.15557799185626
158,x23,0,4,195,192,389,740,195,502.1668810348492
159,x154,0,4,195,192,389,741,195,502.1781888259575
160,x18,0,4,195,192,389,742,195,502.1894343039021
161,x120,0,4,195,192,389,743,195,502.20071930694394
162,x139,1,2,197,192,391,744,194,502.21327803097665
163,x17,0,2,194,192,388,745,194,502.2248120219447
164,x64,0,2,194,192,388,746,194,502.23588453396223
165,x125,1,2,194,192,388,747,194,502.2450639458839
166,x129,0,2,194,192,388,748,194,502.25432623992674
167,x4,0,2,194,192,388,749,194,502.2635825900361
168,x191,1,1,196,192,390,750,193,502.2741247480735
169,x47,1,1,193,192,387,751,193,502.28363143699244
170,x189,1,1,193,192,387,752,193,502.29291490698233
171,x39,1,1,193,192,387,753,193,502.3022282428574
172,x119,0,1,193,192,387,754,193,502.31155961891636
173,x158,0,1,193,192,387,755,193,502.3208371740766
174,x124,0,1,193,192,387,756,193,502.3302131940145
175,x160,0,1,193,192,387,757,193,502.3395409998484
176,x166,0,1,193,192,387,758,193,502.34881496895105
177,x89,0,1,193,192,387,759,193,502.35807454492897
178,x180,1,1,193,192,387,760,193,502.3673312270548
179,x8,0,1,193,192,387,761,193,502.37657417193986
180,x5,0,1,193,192,387,762,193,502.385803185869
181,x61,0,1,193,192,387,763,193,502.3950666838791
182,x91,0,1,193,192,387,764,193,502.4042883098591
183,x26,0,1,193,192,387,765,193,502.4135189789813
184,x22,0,1,193,192,387,766,193,502.42276034806855
185,x178,1,1,193,192,387,767,193,502.4320324640721
186,x172,1,1,193,192,387,768,193,502.44127234397456
187,x9,0,1,193,192,387,769,193,502.45053487690166
188,x150,1,1,193,192,387,770,193,502.4597504469566
189,x24,0,1,193,192,387,771,193,502.46910110791214
190,x2,0,1,193,192,387,772,193,502.47830484691076
191,x30,0,1,193,192,387,773,193,502.4875207799487
192,x113,0,1,193,192,387,774,193,502.49677511001937
./Planning/pddlXpSym/ring/ring2_r8_p_t1.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
