./Planning/pddlXpSym/ring/ring2_r6_p_t1.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,52488,702,76,779,209,700,3.792858203058131
1,x41,1,34992,1255,76,1333,209,673,3.8613408900564536
2,x14,0,33048,683,76,761,210,663,3.903513108030893
3,x24,0,31104,697,76,775,211,649,3.938117197016254
4,x47,0,20736,1485,76,1563,212,626,3.9738191809738055
5,x29,0,19440,668,76,746,213,618,4.0220294169848785
6,x63,1,10692,1389,76,1467,214,606,4.0600020999554545
7,x26,0,8748,650,76,728,215,533,4.1089855909813195
8,x56,0,6480,569,76,647,216,493,4.149484516005032
9,x66,1,6480,490,76,568,217,490,4.18203069397714
10,x9,0,6480,482,76,560,218,482,4.211035132058896
11,x28,0,6480,462,76,540,219,462,4.239276848966256
12,x34,0,6156,574,76,652,220,432,4.266806288971566
13,x54,0,6156,432,76,510,221,432,4.296804132987745
14,x58,0,3888,473,76,551,222,409,4.339487110963091
15,x19,0,3888,409,76,487,223,409,4.383418375975452
16,x2,0,3888,408,76,486,224,408,4.425079638021998
17,x48,0,3564,523,76,601,225,404,4.466731711057946
18,x70,0,2268,991,76,1069,226,387,4.50902285403572
19,x51,0,1512,718,76,796,227,378,4.559682519058697
20,x37,0,792,919,76,997,228,369,4.599222647957504
21,x71,0,756,435,76,513,229,336,4.641913422034122
22,x25,0,756,297,76,375,230,297,4.679801300982945
23,x60,0,612,336,76,414,231,258,4.710042922990397
24,x27,0,612,249,76,327,232,249,4.748633392970078
25,x53,1,306,248,76,326,233,245,4.782072203001007
26,x22,0,306,244,76,322,234,244,4.8142308769747615
27,x17,0,306,244,76,322,235,244,4.844465965055861
28,x75,1,153,430,76,508,236,158,4.875152045977302
29,x7,0,153,157,76,235,237,157,4.907264098059386
30,x55,0,117,252,76,330,238,124,4.9279400169616565
31,x21,0,90,222,76,300,239,112,4.951064188033342
32,x50,0,90,109,76,187,240,109,4.97445964103099
33,x44,0,90,109,76,187,241,109,4.9916574730305
34,x23,0,90,109,76,187,242,109,5.003915430046618
35,x61,1,60,289,76,367,243,107,5.021525604999624
36,x20,0,60,107,76,185,244,107,5.0341482480289415
37,x64,0,36,177,76,255,245,82,5.051604861044325
38,x36,1,36,82,76,160,246,82,5.062817799043842
39,x18,0,36,82,76,160,247,82,5.075110470992513
40,x65,1,18,206,76,284,248,81,5.08753102098126
41,x38,0,18,81,76,159,249,81,5.099186282022856
42,x52,0,18,81,76,159,250,81,5.11001105804462
43,x76,0,12,238,76,316,251,80,5.121200861991383
44,x39,1,12,151,76,229,252,151,5.134381343959831
45,x49,0,12,144,76,222,253,144,5.147633563959971
46,x59,0,12,80,76,158,254,80,5.159714216017164
47,x35,1,6,82,76,160,255,81,5.1676825530594215
48,x43,1,3,85,76,163,256,80,5.175777252065018
49,x72,1,3,80,76,158,257,80,5.183219901053235
50,x16,0,3,80,76,158,258,80,5.190859506954439
51,x32,0,3,80,76,158,259,80,5.19848521205131
52,x33,1,2,96,76,174,260,78,5.206471196957864
53,x74,0,2,78,76,156,261,78,5.213622887036763
54,x8,0,2,78,76,156,262,78,5.223133323015645
55,x69,0,2,78,76,156,263,78,5.229070147965103
56,x73,0,2,78,76,156,264,78,5.23503045795951
57,x6,0,2,78,76,156,265,78,5.240992706967518
58,x10,0,2,78,76,156,266,78,5.246938575990498
59,x30,0,2,78,76,156,267,78,5.252902384032495
60,x62,1,2,78,76,156,268,78,5.258873259997927
61,x68,1,1,80,76,158,269,77,5.265209662960842
62,x40,0,1,77,76,155,270,77,5.2712446780642495
63,x42,0,1,77,76,155,271,77,5.277181989978999
64,x45,1,1,77,76,155,272,77,5.283122056047432
65,x67,1,1,77,76,155,273,77,5.289077869034372
66,x4,0,1,77,76,155,274,77,5.2950293810572475
67,x3,0,1,77,76,155,275,77,5.299915748066269
68,x31,1,1,77,76,155,276,77,5.303572801058181
69,x46,0,1,77,76,155,277,77,5.307210147031583
70,x13,0,1,77,76,155,278,77,5.31084621406626
71,x11,1,1,77,76,155,279,77,5.314505793969147
72,x5,0,1,77,76,155,280,77,5.318147058016621
73,x12,0,1,77,76,155,281,77,5.321796884061769
74,x1,0,1,77,76,155,282,77,5.325454337056726
75,x15,0,1,77,76,155,283,77,5.329092669999227
76,x57,1,1,77,76,155,284,77,5.332743374048732
./Planning/pddlXpSym/ring/ring2_r6_p_t2.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,629856,5044,134,5179,396,5042,33.554270700900815
1,x90,0,524880,10375,134,10511,396,5017,33.65169455995783
2,x73,0,419904,5451,134,5587,397,4115,34.11653542192653
3,x127,0,279936,5973,134,6109,398,2943,34.46408865193371
4,x103,1,190512,4451,134,4587,399,2675,34.69064373592846
5,x106,1,132192,2661,134,2797,400,2288,34.887431970913894
