./iscas/iscas93/s1196.bench.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
./iscas/iscas93/s1269.bench.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
./iscas/iscas93/s1512.bench.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
./iscas/iscas93/s3271.bench.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
./iscas/iscas93/s3330.bench.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
./iscas/iscas93/s3384.bench.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
./iscas/iscas93/s344.bench.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,16777216,41443,184,41628,429,41440,87.6910594709916
1,x32,0,14680064,41442,184,41628,429,25337,87.85430559806991
2,x55,0,12845056,28477,184,28663,429,21509,87.87252402107697
3,x27,1,11010048,21517,184,21703,429,11100,87.88558966305573
4,x46,1,11010048,11100,184,11286,429,11100,87.89470278203953
5,x178,0,8257536,11724,184,11910,429,11040,87.90633229806554
6,x179,0,7340032,11304,184,11490,429,10992,87.91766473301686
7,x62,0,4587520,11014,184,11200,429,10836,87.92885398399085
8,x147,1,2293760,12622,184,12808,429,5658,87.93945348507259
9,x11,1,2293760,5658,184,5844,429,5658,87.94682603608817
10,x81,0,2293760,5658,184,5844,429,5658,87.9545118190581
11,x184,1,1146880,5702,184,5888,429,5610,87.96394134301227
12,x1,0,655360,6758,184,6944,429,5460,87.97373671503738
13,x151,1,409600,7210,184,7396,429,4942,87.98365258006379
14,x53,1,409600,4942,184,5128,429,4942,87.99038527905941
15,x148,1,409600,4942,184,5128,429,4942,87.9974816130707
16,x31,1,409600,4942,184,5128,429,4942,88.00426777708344
17,x34,0,409600,4942,184,5128,429,4942,88.01291320705786
18,x41,0,245760,7440,184,7626,429,2712,88.02288278203923
19,x153,1,245760,2712,184,2898,429,2712,88.02997992699966
20,x180,0,196608,2928,184,3114,429,2692,88.0381813700078
21,x134,1,98304,3166,184,3352,429,2668,88.04674425802659
22,x123,0,90112,3146,184,3332,429,2229,88.05569041206036
