./iscas/iscas93/s1196.bench.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
./iscas/iscas93/s1269.bench.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
./iscas/iscas93/s1512.bench.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
./iscas/iscas93/s3271.bench.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
./iscas/iscas93/s3330.bench.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
./iscas/iscas93/s3384.bench.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
./iscas/iscas93/s344.bench.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,16777216,41443,184,41628,429,41440,87.7247176640667
1,x139,0,16252928,57926,184,58112,432,52996,118.47079477307852
2,x149,0,15597568,65760,184,65946,432,51396,118.52476260799449
3,x155,0,14942208,55267,184,55453,432,47251,118.56628476304468
4,x109,0,14008320,47303,184,47489,432,47181,118.59983337507583
5,x110,0,13541376,47195,184,47381,432,47049,118.63295207300689
6,x111,0,13307904,47066,184,47252,432,47038,118.66705348610412
7,x112,0,13205504,47089,184,47275,432,42128,118.70364907104522
8,x113,0,12271616,42586,184,42772,432,41912,118.73855345603079
9,x115,0,11804672,42718,184,42904,432,32136,118.77464995509945
10,x117,0,11571200,32142,184,32328,432,25206,118.81079559808131
11,x119,0,11454464,25209,184,25395,432,21728,118.8431525049964
12,x140,0,10957824,23200,184,23386,432,19939,118.87255948409438
13,x121,0,10212864,21741,184,21927,432,17426,118.89677697303705
14,x122,0,9467904,19588,184,19774,432,15262,118.9229017390171
15,x123,0,8722944,16231,184,16417,432,13444,118.94521466305014
16,x135,0,8616960,13755,184,13941,432,13078,118.96555587905459
17,x136,0,8562688,14427,184,14613,432,12351,118.98837313009426
18,x137,0,8535040,12721,184,12907,432,12235,119.00837139110081
19,x138,0,8519680,12977,184,13163,432,11868,119.02985080704093
20,x143,0,8515584,11903,184,12089,432,11839,119.04917157208547
21,x144,0,8513536,11911,184,12097,432,11805,119.06859299505595
22,x145,0,8512512,11825,184,12011,432,11800,119.08755449904129
