./iscas/iscas93/s344.bench.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,16777216,41443,184,41628,429,41440,95.28164658602327
1,x17,0,8388608,60682,184,60868,432,11777,130.65151232108474
2,x18,1,8388608,3817,184,4003,433,3817,130.95877465512604
3,x52,0,6291456,3479,184,3665,434,1997,131.16333648911677
4,x53,1,6291456,1010,184,1196,435,1010,131.23560894001275
5,x54,0,6291456,857,184,1043,436,857,131.29204473504797
6,x57,1,6291456,769,184,955,437,769,131.35438290401362
7,x58,1,6291456,690,184,876,438,690,131.41627382906154
8,x59,1,6291456,613,184,799,439,613,131.47529325494543
9,x60,1,6291456,582,184,768,440,582,131.52663637301885
10,x7,0,4194304,702,184,888,441,532,131.57557040895335
11,x8,1,4194304,521,184,707,442,521,131.61895313696004
12,x9,0,4194304,504,184,690,443,504,131.67111880611628
13,x142,1,2097152,718,184,904,444,481,131.71508868411183
14,x160,1,1048576,888,184,1074,445,446,131.7708490639925
15,x30,0,1048576,436,184,622,446,436,131.8244101461023
16,x31,1,1048576,436,184,622,447,436,131.8696248610504
17,x32,0,1048576,436,184,622,448,436,131.91384941199794
18,x45,1,1048576,434,184,620,449,434,131.96440708404407
19,x46,1,1048576,434,184,620,450,434,132.01637625903822
20,x47,1,1048576,434,184,620,451,434,132.06884187902324
21,x48,1,1048576,434,184,620,452,434,132.1199723519385
22,x49,1,1048576,434,184,620,453,434,132.17369248811156
23,x112,0,1048576,434,184,620,454,434,132.22586156404577
24,x162,1,524288,756,184,942,455,393,132.2785423840396
25,x39,0,524288,393,184,579,456,393,132.32715673395433
26,x40,1,524288,393,184,579,457,393,132.3801435159985
27,x164,1,524288,393,184,579,458,393,132.43146170605905
28,x91,0,524288,393,184,579,459,393,132.4843348581344
29,x92,1,524288,393,184,579,460,393,132.53575762803666
30,x27,1,524288,393,184,579,461,393,132.58851971197873
31,x28,0,524288,393,184,579,462,393,132.64075569505803
32,x33,0,524288,393,184,579,463,393,132.6935318459291
33,x34,0,524288,393,184,579,464,393,132.7448857880663
34,x35,0,524288,393,184,579,465,393,132.7976768501103
35,x36,0,524288,393,184,579,466,393,132.84903092402965
36,x97,0,524288,393,184,579,467,393,132.90193035802804
37,x98,1,524288,393,184,579,468,393,132.95331181096844
38,x85,0,524288,393,184,579,469,393,133.00611420092173
39,x86,1,524288,393,184,579,470,393,133.05753198312595
40,x61,1,262144,485,184,671,471,333,133.11032638396136
41,x62,0,262144,333,184,519,472,333,133.168161442969
42,x37,0,262144,333,184,519,473,333,133.22430256311782
43,x38,1,262144,333,184,519,474,333,133.26902833906934
44,x154,1,131072,556,184,742,475,305,133.31404706207104
45,x43,0,131072,304,184,490,476,304,133.35122985509224
46,x44,1,131072,297,184,483,477,297,133.38638799195178
47,x81,0,131072,297,184,483,478,297,133.42133164498955
48,x82,1,131072,297,184,483,479,297,133.45751372701488
49,x101,1,65536,392,184,578,480,294,133.493049869081
50,x41,0,65536,294,184,480,481,294,133.52787926094607
51,x42,1,65536,294,184,480,482,294,133.56285660201684
52,x55,0,65536,294,184,480,483,294,133.59831314510666
53,x56,1,65536,294,184,480,484,294,133.63337659509853
54,x115,0,65536,294,184,480,485,294,133.66879434511065
55,x107,1,32768,393,184,579,486,290,133.7037704770919
56,x5,0,16384,439,184,625,487,221,133.74084780504927
57,x6,1,16384,221,184,407,488,221,133.77633464802057
58,x105,1,8192,278,184,464,489,218,133.80650307191536
59,x110,0,8192,218,184,404,490,218,133.84109108592384
60,x109,0,8192,218,184,404,491,218,133.8650930901058
61,x113,0,8192,218,184,404,492,218,133.8889768391382
62,x111,0,8192,218,184,404,493,218,133.91289487597533
63,x166,1,8192,218,184,404,494,218,133.93678573612124
64,x89,0,0,218,184,404,495,1,133.95743427798152
65,x90,1,0,1,184,188,496,1,133.9695989601314
66,x93,1,0,1,184,188,497,1,133.98040845803916
67,x94,0,0,1,184,188,498,1,133.99116777908057
68,x119,0,0,1,184,188,499,1,134.00197842600755
69,x159,0,0,1,184,188,500,1,134.01272591413
70,x21,1,0,1,184,188,501,1,134.0234705209732
71,x22,0,0,1,184,188,502,1,134.0342315789312
72,x138,0,0,1,184,188,503,1,134.04495902406052
73,x106,0,0,1,184,188,504,1,134.05575693398714
74,x156,0,0,1,184,188,505,1,134.0665092279669
75,x100,1,0,1,184,188,506,1,134.07724670413882
76,x99,0,0,1,184,188,507,1,134.08800529502332
77,x161,1,0,1,184,188,508,1,134.0990891121328
78,x102,1,0,1,184,188,509,1,134.10986925498582
79,x103,1,0,1,184,188,510,1,134.12073429697193
