"./iscas/iscas99/b01.cnf",,,,,,,,,
"p","var","value","MC","BDD len","n_vars","n_nodes","n_reorderings","dag_size","time"
0,-1,-1,32,514,45,561,120,513,0.889256775029935
1,"x6",1,30,532,45,582,120,489,0.970351087977178
2,"x44",1,28,500,45,550,121,468,1.00763562798966
3,"x13",1,25,494,45,544,122,402,1.04185879707802
4,"x28",1,23,408,45,458,123,342,1.07086477498524
5,"x36",0,21,301,45,352,124,260,1.09857128199656
6,"x32",1,21,256,45,305,125,256,1.12488191807643
7,"x41",1,18,284,45,334,126,227,1.14964782597963
8,"x38",0,16,251,45,301,127,209,1.17430658696685
9,"x37",0,16,209,45,259,128,209,1.197702327976
10,"x22",1,16,209,45,259,129,209,1.22091962804552
11,"x35",1,14,239,45,289,130,181,1.24419311096426
12,"x25",1,13,193,45,243,131,159,1.26572920405306
13,"x45",0,12,143,45,193,132,120,1.283398139989
14,"x34",0,12,116,45,212,133,116,1.30014862201642
15,"x29",1,12,116,45,213,134,116,1.31629165203776
16,"x14",1,12,116,45,212,135,116,1.33257230301388
17,"x9",1,10,146,45,243,136,105,1.34839111403562
18,"x43",0,8,145,45,233,137,97,1.36452880804427
19,"x40",1,8,97,45,164,138,97,1.37984192301519
20,"x21",0,8,97,45,164,139,97,1.39498323097359
21,"x4",1,8,97,45,164,140,97,1.40995419502724
22,"x27",1,6,136,45,203,141,94,1.42470209905878
23,"x26",0,6,92,45,159,142,92,1.43989985599183
24,"x42",0,4,112,45,179,143,73,1.45235231006518
25,"x39",1,4,73,45,120,144,73,1.46116441302001
26,"x33",1,4,73,45,120,145,73,1.46838210104033
27,"x24",0,4,73,45,121,146,73,1.47549207997508
28,"x23",1,4,73,45,121,147,73,1.48248341004364
29,"x17",0,4,73,45,121,148,73,1.4893048000522
30,"x11",1,4,73,45,121,149,73,1.49605299904943
31,"x8",1,4,73,45,121,150,73,1.50272908597253
32,"x3",1,4,73,45,121,151,73,1.50921887799632
33,"x31",1,2,74,45,121,152,67,1.5155648230575
34,"x30",0,2,67,45,114,153,67,1.52178239496425
35,"x20",1,2,67,45,114,154,67,1.52689280698542
36,"x19",0,2,67,45,114,155,67,1.53185524803121
37,"x16",0,2,67,45,115,156,67,1.53671299805865
38,"x15",1,2,67,45,115,157,67,1.54143484705128
39,"x18",1,1,68,45,115,158,46,1.54603168705944
40,"x12",0,1,46,45,93,159,46,1.54994664597325
41,"x10",1,1,46,45,93,160,46,1.55374859401491
42,"x7",1,1,46,45,93,161,46,1.55745002196636
43,"x5",0,1,46,45,93,162,46,1.56103482004255
44,"x2",0,1,46,45,93,163,46,1.56452142901253
45,"x1",0,1,46,45,93,164,46,1.56792323605623
"./iscas/iscas99/b02.cnf",,,,,,,,,
"p","var","value","MC","BDD len","n_vars","n_nodes","n_reorderings","dag_size","time"
0,-1,-1,16,148,26,176,66,145,0.304428155999631
1,"x17",1,14,169,26,230,66,130,0.365593929076567
2,"x7",1,13,134,26,188,67,121,0.378250077017583
3,"x22",1,11,123,26,166,68,103,0.39038434100803
4,"x23",1,9,110,26,159,69,95,0.399349297047593
5,"x1",0,8,107,26,155,70,86,0.40855917299632
6,"x19",1,7,96,26,144,71,79,0.416406371979974
7,"x8",1,6,87,26,127,72,72,0.425083899055608
8,"x12",1,5,84,26,124,73,69,0.432368542999029
9,"x10",0,5,61,26,90,74,61,0.438796485075727
10,"x2",0,5,61,26,90,75,61,0.444185524014756
11,"x20",1,4,67,26,96,76,58,0.449506537057459
12,"x14",1,4,53,26,91,77,53,0.454726587049663
13,"x13",0,4,53,26,90,78,53,0.459488551015966
14,"x6",1,3,58,26,96,79,49,0.464508839068003
15,"x5",0,3,47,26,79,80,47,0.469190916977823
16,"x26",0,2,50,26,82,81,29,0.473630442051217
17,"x25",1,2,29,26,57,82,29,0.477356959017925
18,"x24",1,2,29,26,57,83,29,0.481006940011866
