"./iscas/iscas99/b01.cnf",,,,,,,,,
"p","var","value","MC","BDD len","n_vars","n_nodes","n_reorderings","dag_size","time"
0,-1,-1,32,514,45,561,120,513,0.89944702910725
1,"x4",1,16,551,45,598,120,298,0.968936535064131
2,"x15",0,8,272,45,319,121,186,0.982056776061654
3,"x32",1,8,165,45,212,122,165,0.992431103019044
4,"x25",1,6,172,45,219,123,124,0.998004398075864
5,"x30",0,0,114,45,161,124,1,1.00257131701801
6,"x11",0,0,1,45,49,125,1,1.00574720907025
7,"x13",1,0,1,45,49,126,1,1.0088976030238
8,"x28",0,0,1,45,49,127,1,1.01202717900742
9,"x39",0,0,1,45,49,128,1,1.01514888403472
10,"x14",0,0,1,45,49,129,1,1.01826914201956
11,"x36",1,0,1,45,49,130,1,1.02140937605873
12,"x41",1,0,1,45,49,131,1,1.02453643106855
13,"x38",1,0,1,45,49,132,1,1.02765415410977
14,"x26",1,0,1,45,49,133,1,1.03077393211424
15,"x7",1,0,1,45,49,134,1,1.0338988880394
16,"x24",0,0,1,45,49,135,1,1.03702406201046
17,"x19",0,0,1,45,49,136,1,1.04014754202217
18,"x18",0,0,1,45,49,137,1,1.0432585721137
19,"x9",0,0,1,45,49,138,1,1.04641481710132
20,"x21",0,0,1,45,49,139,1,1.04951814108063
21,"x37",0,0,1,45,49,140,1,1.05263289401773
22,"x34",1,0,1,45,49,141,1,1.05575243907515
23,"x29",1,0,1,45,49,142,1,1.05888098606374
24,"x31",0,0,1,45,49,143,1,1.0620030250866
25,"x10",0,0,1,45,49,144,1,1.06514181604143
26,"x20",1,0,1,45,49,145,1,1.0682828060817
27,"x40",0,0,1,45,49,146,1,1.07139236910734
28,"x42",1,0,1,45,49,147,1,1.07452920207288
29,"x5",1,0,1,45,49,148,1,1.07766171800904
30,"x44",1,0,1,45,49,149,1,1.0807916270569
31,"x27",1,0,1,45,49,150,1,1.08391891908832
32,"x35",0,0,1,45,49,151,1,1.08706955006346
33,"x22",0,0,1,45,49,152,1,1.09023376507685
34,"x17",1,0,1,45,49,153,1,1.0934130580863
35,"x8",1,0,1,45,49,154,1,1.0965772040654
36,"x45",1,0,1,45,49,155,1,1.09971281711478
37,"x12",0,0,1,45,49,156,1,1.10286597011145
38,"x43",0,0,1,45,49,157,1,1.10601525509264
39,"x3",1,0,1,45,49,158,1,1.10916144505609
40,"x33",1,0,1,45,49,159,1,1.11231627303641
41,"x16",1,0,1,45,49,160,1,1.11545999301597
42,"x1",1,0,1,45,49,161,1,1.11860898009036
43,"x23",0,0,1,45,49,162,1,1.12175265909173
44,"x2",1,0,1,45,49,163,1,1.12491519306786
45,"x6",0,0,1,45,49,164,1,1.12808608205523
"./iscas/iscas99/b02.cnf",,,,,,,,,
"p","var","value","MC","BDD len","n_vars","n_nodes","n_reorderings","dag_size","time"
0,-1,-1,16,148,26,176,66,145,0.300427820999175
1,"x17",1,14,169,26,197,66,130,0.362552430015057
2,"x26",0,6,151,26,179,67,72,0.368907049996778
3,"x10",0,4,71,26,99,68,42,0.373199959984049
4,"x18",0,4,42,26,70,69,42,0.377124420017935
5,"x23",0,1,53,26,81,70,27,0.380600836942904
6,"x11",0,1,27,26,55,71,27,0.383521727984771
7,"x7",0,0,27,26,55,72,1,0.386334963026457
8,"x16",1,0,1,26,30,73,1,0.390598685014993
9,"x13",0,0,1,26,30,74,1,0.395169542985968
10,"x3",0,0,1,26,30,75,1,0.397995098959655
11,"x6",0,0,1,26,30,76,1,0.400785611011088
12,"x5",0,0,1,26,30,77,1,0.403634120011702
13,"x24",0,0,1,26,30,78,1,0.40644195897039
14,"x14",0,0,1,26,30,79,1,0.409241367946379
15,"x12",1,0,1,26,30,80,1,0.412023833952844
16,"x8",0,0,1,26,30,81,1,0.414832205045968
17,"x9",1,0,1,26,30,82,1,0.417642047978006
18,"x21",0,0,1,26,30,83,1,0.420420620939694
19,"x25",0,0,1,26,30,84,1,0.423254305962473
20,"x2",1,0,1,26,30,85,1,0.426061233039945
21,"x19",0,0,1,26,30,86,1,0.428844447946176
22,"x22",1,0,1,26,30,87,1,0.431651460006833
23,"x15",1,0,1,26,30,88,1,0.434476817026734
24,"x20",0,0,1,26,30,89,1,0.437288885936141
25,"x1",1,0,1,26,30,90,1,0.440080843982287
26,"x4",0,0,1,26,30,91,1,0.442889036028646
"./iscas/iscas99/b03.cnf",,,,,,,,,
"p","var","value","MC","BDD len","n_vars","n_nodes","n_reorderings","dag_size","time"
0,-1,-1,17179869184,9789,156,9946,376,9786,44.8462559299078
1,"x70",1,8589934592,12527,156,12685,376,6645,44.9580447369954
2,"x142",0,4294967296,6514,156,6672,377,6476,45.2613696149783
3,"x156",1,2147483648,12245,156,12403,378,6410,45.5733557100175
4,"x119",0,1073741824,7132,156,7290,379,4733,45.8519348410191
5,"x140",0,536870912,8221,156,8379,380,4463,46.0755402089562
6,"x144",0,268435456,6537,156,6695,381,4296,46.3156175139593
7,"x104",1,134217728,5088,156,5246,382,2869,46.5350404229248
8,"x13",0,109051904,3301,156,3459,383,2676,46.6806773779681
9,"x71",1,54525952,4004,156,4162,384,2178,46.8207698459737
10,"x80",0,27262976,3166,156,3324,385,1695,46.9354803309543
11,"x46",1,10485760,2158,156,2316,386,1087,47.0514883690048
12,"x96",1,7340032,1701,156,1859,387,959,47.1491110909265
13,"x51",0,3145728,933,156,1091,388,734,47.2380556679564
14,"x40",1,1572864,715,156,873,389,681,47.2973024109379
15,"x103",0,524288,807,156,965,390,264,47.359287963016
16,"x18",0,0,249,156,407,391,1,47.3961583619239
17,"x53",0,0,1,156,160,392,1,47.4035562279169
18,"x81",0,0,1,156,160,393,1,47.4116874180036
19,"x146",1,0,1,156,160,394,1,47.4198038729373
20,"x155",1,0,1,156,160,395,1,47.4280197379412
21,"x137",1,0,1,156,160,396,1,47.4361207740149
22,"x116",0,0,1,156,160,397,1,47.4442174269352
23,"x82",0,0,1,156,160,398,1,47.4523234509397
24,"x38",0,0,1,156,160,399,1,47.4604525589384
25,"x134",1,0,1,156,160,400,1,47.4686282769544
