"./iscas/iscas99/b01.cnf",,,,,,,,,
"p","var","value","MC","BDD len","n_vars","n_nodes","n_reorderings","dag_size","time"
0,-1,-1,32,514,45,561,120,513,0.885986034991219
1,"x24",1,22,655,45,702,120,358,0.95959188498091
2,"x22",1,18,474,45,521,121,315,0.980803938000463
3,"x12",1,14,459,45,506,122,264,1.0020630779909
4,"x28",1,11,265,45,312,123,205,1.01924355491064
5,"x13",1,11,204,45,251,124,204,1.03203064994887
6,"x18",1,6,402,45,449,125,157,1.04242469498422
7,"x41",1,6,173,45,220,126,173,1.05233271396719
8,"x26",1,4,180,45,227,127,97,1.06431360996794
9,"x31",1,3,137,45,184,128,89,1.07370718801394
10,"x14",1,3,89,45,136,129,89,1.07755873200949
11,"x9",1,3,89,45,136,130,89,1.0813277119305
12,"x19",0,3,89,45,136,131,89,1.08507612592075
13,"x11",1,2,91,45,138,132,83,1.08887744694948
14,"x10",0,2,83,45,130,133,83,1.09259754791856
15,"x33",0,2,83,45,130,134,83,1.09768090199213
16,"x27",0,2,83,45,130,135,83,1.10293349297717
17,"x25",1,1,97,45,144,136,46,1.10812343296129
18,"x44",1,1,46,45,93,137,46,1.11146136000752
19,"x45",0,1,46,45,93,138,46,1.11474889190868
20,"x17",1,1,46,45,93,139,46,1.11802817496937
21,"x43",1,1,46,45,93,140,46,1.12129450892098
22,"x4",0,1,46,45,93,141,46,1.12456889194436
23,"x32",1,1,46,45,93,142,46,1.1278397149872
24,"x39",0,1,46,45,93,143,46,1.13111345598008
25,"x40",0,1,46,45,93,144,46,1.13443357194774
26,"x5",1,1,46,45,93,145,46,1.13778529700357
27,"x15",1,1,46,45,93,146,46,1.14115948101971
28,"x30",0,1,46,45,93,147,46,1.14450808090623
29,"x36",0,1,46,45,93,148,46,1.14785708195996
30,"x20",1,1,46,45,93,149,46,1.15120852401014
31,"x21",1,1,46,45,93,150,46,1.15454328700434
32,"x37",0,1,46,45,93,151,46,1.15789971395861
33,"x34",0,1,46,45,93,152,46,1.16127163998317
34,"x35",1,1,46,45,93,153,46,1.16468399390578
35,"x2",0,1,46,45,93,154,46,1.16807917098049
36,"x16",0,1,46,45,93,155,46,1.1714852489531
37,"x23",0,1,46,45,93,156,46,1.1748725239886
38,"x7",1,1,46,45,93,157,46,1.17826279590372
39,"x42",1,1,46,45,93,158,46,1.18165514001157
40,"x3",0,1,46,45,93,159,46,1.18502601701766
41,"x38",0,1,46,45,93,160,46,1.18838376691565
42,"x6",1,1,46,45,93,161,46,1.19175641995389
43,"x1",0,1,46,45,93,162,46,1.19512591592502
44,"x8",0,1,46,45,93,163,46,1.19846486090682
45,"x29",1,1,46,45,93,164,46,1.20182896999177
"./iscas/iscas99/b02.cnf",,,,,,,,,
"p","var","value","MC","BDD len","n_vars","n_nodes","n_reorderings","dag_size","time"
0,-1,-1,16,148,26,176,66,145,0.296485298895277
1,"x21",1,12,151,26,179,66,123,0.358425712911412
2,"x5",0,8,182,26,210,67,87,0.365046149934642
3,"x18",0,5,131,26,159,68,52,0.37022459297441
4,"x11",0,4,61,26,89,69,46,0.373772628954612
5,"x7",1,4,44,26,72,70,44,0.377483699005097
6,"x17",1,4,44,26,72,71,44,0.380817250930704
7,"x20",1,2,46,26,74,72,40,0.387634166982025
8,"x9",1,1,49,26,77,73,27,0.391142988926731
9,"x16",1,1,27,26,55,74,27,0.39410454290919
10,"x10",0,1,27,26,55,75,27,0.39708626200445
11,"x6",1,1,27,26,55,76,27,0.4001037129201
12,"x14",1,1,27,26,55,77,27,0.403086458914913
13,"x13",0,1,27,26,55,78,27,0.40604223695118
14,"x26",0,1,27,26,55,79,27,0.409056470962241
15,"x23",1,1,27,26,55,80,27,0.412103164941072
16,"x8",1,1,27,26,55,81,27,0.415157472947612
17,"x12",1,1,27,26,55,82,27,0.418178491992876
18,"x24",1,1,27,26,55,83,27,0.421192794921808
19,"x22",1,1,27,26,55,84,27,0.424170926911756
20,"x2",0,1,27,26,55,85,27,0.427180679980666
21,"x19",1,1,27,26,55,86,27,0.430133200949058
22,"x3",1,1,27,26,55,87,27,0.433091923943721
23,"x1",0,1,27,26,55,88,27,0.436046474962495
24,"x4",1,1,27,26,55,89,27,0.43897943792399
25,"x15",0,1,27,26,55,90,27,0.441901971935295
26,"x25",1,1,27,26,55,91,27,0.444829178974032
"./iscas/iscas99/b03.cnf",,,,,,,,,
"p","var","value","MC","BDD len","n_vars","n_nodes","n_reorderings","dag_size","time"
0,-1,-1,17179869184,9789,156,9946,376,9786,44.4063326030737
1,"x70",1,8589934592,15268,156,15426,376,6645,44.5089036900317
2,"x139",1,4294967296,6671,156,6829,377,6606,45.0599956989754
3,"x107",1,2147483648,14498,156,14656,378,5673,45.3681561700068
4,"x78",1,2147483648,5621,156,5779,379,5621,45.8269204180688
5,"x33",1,1728053248,5726,156,5884,380,5560,46.1134418220026
6,"x16",0,1249902592,5535,156,5693,381,4447,46.4070994650247
7,"x31",1,1249902592,4402,156,4560,382,4402,46.6973115630681
8,"x141",1,624951296,4759,156,4917,383,3799,46.8881644300418
9,"x116",1,312475648,7794,156,7952,384,3057,47.0823235500138
10,"x37",1,286261248,4554,156,4712,385,3004,47.3258041790687
11,"x71",1,143130624,7524,156,7682,386,2812,47.4954017640557
12,"x75",0,74448896,3358,156,3516,387,1725,47.6994758499786
13,"x137",0,40894464,3020,156,3178,388,1658,47.8537819450721
14,"x52",1,40894464,1655,156,1813,389,1655,47.9635552479886
15,"x90",1,30932992,2888,156,3046,390,1557,48.0585838210536
16,"x14",1,28049408,2066,156,2224,391,1380,48.1580513269873
17,"x57",1,26607616,1445,156,1603,392,1372,48.2591530820355
18,"x142",0,14024704,1374,156,1532,393,1368,48.3506689100759
19,"x102",1,11730944,1902,156,2060,394,1329,48.4382545910776
20,"x88",1,11108352,2201,156,2359,395,1319,48.5347052139696
21,"x51",1,5865472,1353,156,1511,396,1298,48.6333469139645
22,"x38",1,5554176,1302,156,1460,397,1292,48.721882767044
23,"x110",1,5554176,1292,156,1450,398,1292,48.8088600810152
24,"x69",0,5554176,1292,156,1450,399,1292,48.8928722160636
25,"x101",0,3325952,2156,156,2314,400,1274,48.9801070330432
26,"x48",1,3325952,1276,156,1434,401,1276,49.0784407430328
27,"x115",1,2211840,2219,156,2377,402,1144,49.1604721409967
28,"x81",1,1163264,1226,156,1384,403,873,49.26025642897
29,"x154",0,876544,1244,156,1402,404,874,49.3409717240138
30,"x97",1,581632,1989,156,2147,405,910,49.4214705909835
31,"x41",1,524288,919,156,1077,406,519,49.5056841940386
32,"x131",1,524288,510,156,668,407,510,49.587602255051
33,"x144",1,262144,751,156,909,408,434,49.6481156829977
34,"x58",1,196608,506,156,664,409,362,49.703478105017
35,"x95",0,131072,732,156,890,410,357,49.7600063179852
36,"x94",1,98304,760,156,918,411,353,49.8155408140738
37,"x56",1,98304,353,156,511,412,353,49.8700101510622
38,"x11",1,49152,474,156,632,413,338,49.9246542140609
39,"x121",1,24576,589,156,747,414,322,49.9792967970716
40,"x79",1,24576,322,156,480,415,322,50.0364084000466
41,"x13",0,24576,322,156,480,416,322,50.0869395580376
42,"x42",1,12288,418,156,576,417,320,50.1365171220386
43,"x132",0,12288,320,156,478,418,320,50.1881207709666
44,"x126",1,12288,320,156,478,419,320,50.2361881789984
45,"x25",1,12288,320,156,478,420,320,50.2856464040233
46,"x117",0,8192,428,156,586,421,179,50.334449484013
47,"x99",1,4096,521,156,679,422,176,50.3890139830764
48,"x87",1,4096,176,156,334,423,176,50.4292335429927
49,"x55",1,2048,244,156,402,424,173,50.4588003440294
50,"x82",1,2048,173,156,331,425,173,50.4880506460322
51,"x92",1,1024,175,156,333,426,171,50.5027116140118
52,"x27",1,1024,171,156,329,427,171,50.5190704710549
53,"x128",1,1024,171,156,329,428,171,50.5291904300684
54,"x65",0,1024,171,156,329,429,171,50.5424305070192
55,"x145",1,1024,171,156,329,430,171,50.5523184529739
56,"x130",1,1024,171,156,329,431,171,50.5635979910148
57,"x111",0,1024,171,156,329,432,171,50.5749273380498
58,"x63",1,1024,171,156,329,433,171,50.5862411060371
59,"x53",1,1024,171,156,329,434,171,50.5975536269834
60,"x34",1,512,223,156,381,435,168,50.6096673010616
61,"x93",0,512,168,156,326,436,168,50.6176496749977
62,"x138",1,512,168,156,326,437,168,50.6313649719814
63,"x29",1,512,168,156,326,438,168,50.6391454780241
64,"x100",1,512,168,156,326,439,168,50.6469574220246
65,"x67",0,512,168,156,326,440,168,50.6547546340153
66,"x73",1,256,234,156,392,441,154,50.6635088489857
67,"x103",1,256,154,156,312,442,154,50.6807587139774
68,"x74",0,256,154,156,312,443,154,50.6878984390059
69,"x44",0,256,154,156,312,444,154,50.6949854979757
70,"x96",1,256,154,156,312,445,154,50.7020792029798
71,"x143",1,128,156,156,314,446,152,50.7100504679838
72,"x50",0,128,152,156,310,447,152,50.7173896309687
73,"x80",0,128,152,156,310,448,152,50.7253508700524
74,"x60",1,128,152,156,310,449,152,50.7314399799798
75,"x77",0,128,152,156,310,450,152,50.7375669580651
76,"x122",0,128,152,156,310,451,152,50.7436929430114
77,"x20",1,128,152,156,310,452,152,50.7497986879898
78,"x118",1,128,152,156,310,453,152,50.7559376349673
79,"x135",0,128,152,156,310,454,152,50.761971028056
80,"x123",1,64,154,156,312,455,151,50.7688601380214
81,"x36",0,64,151,156,309,456,151,50.7750798569759
82,"x54",0,64,151,156,309,457,151,50.7811728400411
83,"x6",0,64,151,156,309,458,151,50.7872309570666
84,"x114",0,64,151,156,309,459,151,50.7933345750207
85,"x40",0,64,151,156,309,460,151,50.7994912409922
86,"x104",0,64,151,156,309,461,151,50.8055370959919
87,"x112",1,64,151,156,309,462,151,50.8115997749846
88,"x15",1,64,151,156,309,463,151,50.8176075699739
89,"x45",1,64,151,156,309,464,151,50.8236715960084
90,"x136",0,64,151,156,309,465,151,50.8297008110676
91,"x105",1,64,151,156,309,466,151,50.8357228050008
92,"x28",1,64,151,156,309,467,151,50.84176626103
93,"x134",1,64,151,156,309,468,151,50.8478255530354
94,"x98",0,64,151,156,309,469,151,50.8538773490582
95,"x21",1,64,151,156,309,470,151,50.8599120459985
96,"x133",1,64,151,156,309,471,151,50.865921025048
97,"x76",1,64,151,156,309,472,151,50.8719362800475
98,"x108",0,64,151,156,309,473,151,50.8779522470431
99,"x7",1,64,151,156,309,474,151,50.8839048249647
