./iscas/iscas99/b01.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,32,514,45,561,120,513,1.0590199609287083
1,x29,0,16,516,45,563,120,244,1.2389664999209344
2,x45,1,16,242,45,289,121,242,1.248107179068029
3,x30,1,16,242,45,289,122,242,1.2571055120788515
4,x31,1,16,242,45,289,123,242,1.266142925946042
5,x22,1,12,277,45,324,124,184,1.2751468480564654
6,x37,0,12,184,45,231,125,184,1.2829936079215258
7,x24,1,12,184,45,231,126,184,1.290843287948519
8,x6,1,12,184,45,231,127,184,1.2986852619796991
9,x41,1,10,202,45,249,128,166,1.3065037080086768
10,x35,1,8,179,45,226,129,153,1.313551550032571
11,x7,1,8,153,45,200,130,153,1.3189628329128027
12,x44,1,6,164,45,211,131,133,1.3243495558854192
13,x9,1,5,154,45,201,132,117,1.328694306081161
14,x13,1,5,117,45,164,133,117,1.333351094974205
15,x14,1,3,118,45,165,134,73,1.3379929889924824
16,x34,0,3,73,45,120,135,73,1.3419274969492108
17,x1,0,2,94,45,141,136,50,1.345869038021192
18,x32,0,2,50,45,97,137,50,1.3508204920217395
19,x36,1,2,50,45,97,138,50,1.3540590719785541
20,x40,1,2,50,45,97,139,50,1.3572733420878649
21,x15,1,2,50,45,97,140,50,1.3605094000231475
22,x16,1,2,50,45,97,141,50,1.3637414008844644
23,x19,0,2,50,45,97,142,50,1.366973249008879
24,x20,0,2,50,45,97,143,50,1.3702020640484989
25,x38,0,0,50,45,97,144,1,1.3732203769031912
26,x25,1,0,1,45,49,145,1,1.3763587020803243
27,x12,1,0,1,45,49,146,1,1.379523267969489
28,x28,1,0,1,45,49,147,1,1.3826929370407015
29,x5,1,0,1,45,49,148,1,1.3858749060891569
30,x21,0,0,1,45,49,149,1,1.3890685769729316
31,x4,1,0,1,45,49,150,1,1.3922342960722744
32,x8,1,0,1,45,49,151,1,1.3954001299571246
33,x23,0,0,1,45,49,152,1,1.398576166946441
34,x27,1,0,1,45,49,153,1,1.4017340869177133
35,x39,1,0,1,45,49,154,1,1.4048971300944686
36,x43,1,0,1,45,49,155,1,1.408060071989894
37,x33,0,0,1,45,49,156,1,1.4112303690053523
38,x42,1,0,1,45,49,157,1,1.4144023470580578
39,x11,1,0,1,45,49,158,1,1.4175627690274268
40,x18,1,0,1,45,49,159,1,1.4207249919418246
41,x2,0,0,1,45,49,160,1,1.4238880588673055
42,x17,1,0,1,45,49,161,1,1.42706203693524
43,x3,0,0,1,45,49,162,1,1.4302254898939282
44,x10,1,0,1,45,49,163,1,1.4333879458718002
45,x26,0,0,1,45,49,164,1,1.4365977109409869
./iscas/iscas99/b02.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,16,148,26,176,66,145,0.4210016159340739
1,x11,0,8,146,26,174,66,74,0.5397053509950638
2,x4,1,8,71,26,99,67,71,0.5443830830045044
3,x17,1,8,65,26,93,68,65,0.5488914509769529
4,x1,0,6,86,26,114,69,57,0.5530150679405779
5,x22,1,6,55,26,83,70,55,0.5569344190880656
6,x7,1,6,53,26,81,71,53,0.5613404349423945
7,x24,1,6,52,26,80,72,52,0.565821428084746
8,x21,1,6,52,26,80,73,52,0.5705656260251999
9,x25,1,6,52,26,80,74,52,0.5753154470585287
10,x6,1,6,52,26,80,75,52,0.5800484579522163
11,x20,1,3,58,26,86,76,42,0.584798757918179
12,x23,1,3,41,26,69,77,41,0.5896897709462792
13,x18,1,1,52,26,80,78,27,0.5945145329460502
14,x5,0,1,27,26,55,79,27,0.5974573250859976
15,x19,1,0,27,26,55,80,1,0.6002773749642074
16,x15,0,0,1,26,30,81,1,0.6031109469477087
17,x3,1,0,1,26,30,82,1,0.6059168931096792
18,x26,1,0,1,26,30,83,1,0.6087093180976808
19,x9,1,0,1,26,30,84,1,0.6114739940967411
20,x16,0,0,1,26,30,85,1,0.6142709110863507
21,x8,1,0,1,26,30,86,1,0.6170939160510898
22,x13,0,0,1,26,30,87,1,0.6198993639554828
23,x14,1,0,1,26,30,88,1,0.6226966469548643
24,x12,1,0,1,26,30,89,1,0.6255086059682071
25,x2,0,0,1,26,30,90,1,0.6283144541084766
26,x10,1,0,1,26,30,91,1,0.6311147480737418
./iscas/iscas99/b03.cnf
p,var,value,MC,BDD len,n_vars,n_nodes,n_reorderings,dag_size,time
0,-1,-1,17179869184,9789,156,9946,376,9786,44.32652590004727
1,x126,1,8053063680,10292,156,10450,376,3085,46.329702561954036
2,x65,0,8053063680,2705,156,2863,377,2705,46.475534348981455
3,x4,1,8053063680,2678,156,2836,378,2678,46.59509528800845
4,x6,1,4026531840,2717,156,2875,379,1240,46.72636159695685
5,x7,0,4026531840,872,156,1030,380,872,46.78309772303328
6,x115,0,2147483648,1044,156,1202,381,588,46.839942096034065
